idx	marker_handle	box	layer	type	subType	message
1	0x7f2543766530	{1038.8 718.64 1041.04 719.44}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: FE_RC_115_0/vddi; Direction: INOUT; Use: POWER;
2	0x7f24a6168a70	{997.14 735.93 998.04 736.56}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[8][30]/vddi; Direction: INOUT; Use: POWER;
3	0x7f24a6168aa0	{1038.12 682.17 1039.02 682.8}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[10][29]/vddi; Direction: INOUT; Use: POWER;
4	0x7f24a6168ad0	{1035.32 701.52 1036.22 702.15}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[11][11]/vddi; Direction: INOUT; Use: POWER;
5	0x7f24a6168b00	{1020.76 744.89 1021.66 745.52}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[12][30]/vddi; Direction: INOUT; Use: POWER;
6	0x7f24a6168b30	{1016.28 735.93 1017.18 736.56}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[13][30]/vddi; Direction: INOUT; Use: POWER;
7	0x7f24a6168bf0	{959.06 744.89 959.96 745.52}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[24][30]/vddi; Direction: INOUT; Use: POWER;
8	0x7f24a6168c50	{979.32 735.93 980.22 736.56}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[29][30]/vddi; Direction: INOUT; Use: POWER;
9	0x7f24a6169340	{933.26 762.605 933.6 763.44}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_ns_q_reg[0]/vddi; Direction: INOUT; Use: POWER;
10	0x7f24a6169370	{933.26 771.565 933.6 772.4}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_ns_q_reg[1]/vddi; Direction: INOUT; Use: POWER;
11	0x7f24a616c7d0	{932.18 708.52 932.49 708.82}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g75805/vddi; Direction: INOUT; Use: POWER;
12	0x7f24a6171d60	{1015.28 682.8 1018.64 683.6}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9962/vddi; Direction: INOUT; Use: POWER;
13	0x7f24a6171dc0	{995.12 682.8 998.48 683.6}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9966/vddi; Direction: INOUT; Use: POWER;
14	0x7f25437667a0	{798.56 754.48 800.8 755.28}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: FE_OFC1126_u_core_n_67407/vddi; Direction: INOUT; Use: POWER;
15	0x7f25437678e0	{812.3 753.645 812.64 754.48}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_rst_fifo_sync/sync_q_reg[1]/vddi; Direction: INOUT; Use: POWER;
16	0x7f2543767f70	{895.44 763.44 901.04 764.24}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g44325/vddi; Direction: INOUT; Use: POWER;
17	0x7f2543767fa0	{896.18 771.77 896.47 772.4}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g44378/vddi; Direction: INOUT; Use: POWER;
18	0x7f24a6168020	{912.8 763.44 917.28 764.24}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g44389/vddi; Direction: INOUT; Use: POWER;
19	0x7f24a61680e0	{898.8 781.36 901.6 782.16}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g44415/vddi; Direction: INOUT; Use: POWER;
20	0x7f24a61692b0	{858.4 780.525 858.74 781.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_hit_idx_q_reg[1]/vddi; Direction: INOUT; Use: POWER;
21	0x7f24a61692e0	{874.08 780.525 874.42 781.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_hit_idx_q_reg[2]/vddi; Direction: INOUT; Use: POWER;
22	0x7f24a61693a0	{914.22 771.565 914.56 772.4}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_ns_q_reg[2]/vddi; Direction: INOUT; Use: POWER;
23	0x7f24a61693d0	{824.24 780.525 824.58 781.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_state_q_reg[0]/vddi; Direction: INOUT; Use: POWER;
24	0x7f24a6169c10	{821.43 774.06 821.74 774.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g71464/vddi; Direction: INOUT; Use: POWER;
25	0x7f24a616c3e0	{811.78 735.4 812.09 735.7}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g74847/vddi; Direction: INOUT; Use: POWER;
26	0x7f24a616c560	{796.1 738.22 796.41 738.52}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g75221/vddi; Direction: INOUT; Use: POWER;
27	0x7f24a616d490	{896.47 744.36 896.78 744.66}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g79060/vddi; Direction: INOUT; Use: POWER;
28	0x7f24a616d4c0	{797.35 771.24 797.66 771.54}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g79064/vddi; Direction: INOUT; Use: POWER;
29	0x7f24a616db50	{847.28 754.48 850.08 755.28}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g79694/vddi; Direction: INOUT; Use: POWER;
30	0x7f24a6170110	{856.24 754.48 860.72 755.28}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g80389/vddi; Direction: INOUT; Use: POWER;
31	0x7f24a6170230	{847.28 772.4 849.52 773.2}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g80480/vddi; Direction: INOUT; Use: POWER;
32	0x7f24a61702f0	{918.96 763.44 921.2 764.24}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g80500/vddi; Direction: INOUT; Use: POWER;
33	0x7f24a61703b0	{830.1 780.72 831.71 781.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_state_q_reg[1]/vddi; Direction: INOUT; Use: POWER;
34	0x7f24a6171e80	{801.92 736.56 805.28 737.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g10034/vddi; Direction: INOUT; Use: POWER;
35	0x7f24a6168a40	{914.36 682.17 915.26 682.8}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[5][33]/vddi; Direction: INOUT; Use: POWER;
36	0x7f24a6171130	{865.76 682.8 869.12 683.6}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g8876/vddi; Direction: INOUT; Use: POWER;
37	0x7f24a6171700	{824.88 718.64 828.24 719.44}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9331/vddi; Direction: INOUT; Use: POWER;
38	0x7f24a61718e0	{922.32 691.76 925.68 692.56}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9541/vddi; Direction: INOUT; Use: POWER;
39	0x7f24a6171cd0	{893.2 727.6 896.56 728.4}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9892/vddi; Direction: INOUT; Use: POWER;
40	0x7f2543767910	{696.0 762.605 696.34 763.44}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_rst_tx_sync/sync_q_reg[3]/vddi; Direction: INOUT; Use: POWER;
41	0x7f24a6168050	{766.64 781.36 769.44 782.16}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g44412/vddi; Direction: INOUT; Use: POWER;
42	0x7f24a61680b0	{714.56 781.36 717.36 782.16}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g44414/vddi; Direction: INOUT; Use: POWER;
