timestamp,stage,status
"2026-06-30 15:23:04 CEST","source_gate","start"
"2026-06-30 15:23:04 CEST","source_gate","done"
"2026-06-30 15:23:04 CEST","import_mmmc","start"
"2026-06-30 15:23:08 CEST","import_mmmc","done"
"2026-06-30 15:23:08 CEST","post_import_gate","start"
"2026-06-30 15:23:08 CEST","post_import_gate","done"
"2026-06-30 15:23:08 CEST","post_import_tc_timing","start"
"2026-06-30 15:23:18 CEST","post_import_tc_timing","done"
"2026-06-30 15:23:18 CEST","floorplan","start"
"2026-06-30 15:23:20 CEST","floorplan","done"
"2026-06-30 15:23:20 CEST","io_placement","start"
"2026-06-30 15:23:20 CEST","io_placement","done"
"2026-06-30 15:23:20 CEST","ro_macro_placement","start"
"2026-06-30 15:23:20 CEST","ro_macro_placement","done"
"2026-06-30 15:23:20 CEST","pg_connectivity","start"
"2026-06-30 15:23:20 CEST","pg_connectivity","done"
"2026-06-30 15:23:20 CEST","pd_matrix_placement","start"
"2026-06-30 15:23:23 CEST","pd_matrix_placement","done"
"2026-06-30 15:23:23 CEST","phase_buffer_placement","start"
"2026-06-30 15:23:26 CEST","phase_buffer_placement","done"
"2026-06-30 15:23:26 CEST","row_infrastructure","start"
"2026-06-30 15:23:26 CEST","row_infrastructure","done"
"2026-06-30 15:23:26 CEST","placement","start"
"2026-06-30 15:27:48 CEST","placement","done"
"2026-06-30 15:27:48 CEST","cts","start"
"2026-06-30 15:35:23 CEST","cts","done"
"2026-06-30 15:35:23 CEST","route","start"
"2026-06-30 15:40:53 CEST","route","fail"
