tile,ns,nf,instance,llx,lly,urx,ury,center_x,center_y,leaf_count,bbox_source,expected_llx,expected_lly,expected_urx,expected_ury,dx,dy,status
0_0,0,0,u_core_gen_pd_row[0].gen_pd_col[0].u_pd,292.88,624.96,328.72,674.24,310.8,649.6,25,hier_leaf_aggregate,50.4,250.88,87.9,288.38,241.65,379.97,OUTSIDE_TILE_REGION
0_1,0,1,u_core_gen_pd_row[0].gen_pd_col[1].u_pd,275.52,571.2,315.28,624.96,295.4,598.08,25,hier_leaf_aggregate,50.4,288.38,87.9,325.88,226.25,290.95,OUTSIDE_TILE_REGION
0_2,0,2,u_core_gen_pd_row[0].gen_pd_col[2].u_pd,429.52,504.0,512.4,544.32,470.96,524.16,26,hier_leaf_aggregate,50.4,325.88,87.9,363.38,401.81,179.53,OUTSIDE_TILE_REGION
0_3,0,3,u_core_gen_pd_row[0].gen_pd_col[3].u_pd,515.2,427.84,612.08,521.92,563.64,474.88,27,hier_leaf_aggregate,50.4,363.38,87.9,400.88,494.49,92.75,OUTSIDE_TILE_REGION
0_4,0,4,u_core_gen_pd_row[0].gen_pd_col[4].u_pd,372.96,400.96,460.32,517.44,416.64,459.2,29,hier_leaf_aggregate,50.4,400.88,87.9,438.38,347.49,39.57,OUTSIDE_TILE_REGION
0_5,0,5,u_core_gen_pd_row[0].gen_pd_col[5].u_pd,447.44,356.16,498.4,521.92,472.92,439.04,25,hier_leaf_aggregate,50.4,438.38,87.9,475.88,403.77,-18.09,OUTSIDE_TILE_REGION
0_6,0,6,u_core_gen_pd_row[0].gen_pd_col[6].u_pd,61.04,517.44,119.28,580.16,90.16,548.8,30,hier_leaf_aggregate,50.4,475.88,87.9,513.38,21.01,54.17,OUTSIDE_TILE_REGION
0_7,0,7,u_core_gen_pd_row[0].gen_pd_col[7].u_pd,137.76,526.4,178.64,584.64,158.2,555.52,25,hier_leaf_aggregate,50.4,513.38,87.9,550.88,89.05,23.39,OUTSIDE_TILE_REGION
1_0,1,0,u_core_gen_pd_row[1].gen_pd_col[0].u_pd,220.08,616.0,324.24,701.12,272.16,658.56,25,hier_leaf_aggregate,87.9,250.88,125.4,288.38,165.51,388.93,OUTSIDE_TILE_REGION
1_1,1,1,u_core_gen_pd_row[1].gen_pd_col[1].u_pd,220.08,571.2,312.48,624.96,266.28,598.08,31,hier_leaf_aggregate,87.9,288.38,125.4,325.88,159.63,290.95,OUTSIDE_TILE_REGION
