idx	marker_handle	box	layer	type	subType	message
1	0x7f25034c7730	{1038.8 718.64 1041.04 719.44}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: FE_RC_115_0/vddi; Direction: INOUT; Use: POWER;
2	0x7f24a86bbc70	{997.14 735.93 998.04 736.56}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[8][30]/vddi; Direction: INOUT; Use: POWER;
3	0x7f24a86bbca0	{1038.12 682.17 1039.02 682.8}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[10][29]/vddi; Direction: INOUT; Use: POWER;
4	0x7f24a86bbcd0	{1035.32 701.52 1036.22 702.15}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[11][11]/vddi; Direction: INOUT; Use: POWER;
5	0x7f24a86bbd00	{1020.76 744.89 1021.66 745.52}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[12][30]/vddi; Direction: INOUT; Use: POWER;
6	0x7f24a86bbd30	{1016.28 735.93 1017.18 736.56}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[13][30]/vddi; Direction: INOUT; Use: POWER;
7	0x7f24a86bbdf0	{959.06 744.89 959.96 745.52}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[24][30]/vddi; Direction: INOUT; Use: POWER;
8	0x7f24a86bbe50	{979.32 735.93 980.22 736.56}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[29][30]/vddi; Direction: INOUT; Use: POWER;
9	0x7f24a86bc590	{933.26 762.605 933.6 763.44}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_ns_q_reg[0]/vddi; Direction: INOUT; Use: POWER;
10	0x7f24a86bc5c0	{933.26 771.565 933.6 772.4}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_ns_q_reg[1]/vddi; Direction: INOUT; Use: POWER;
11	0x7f24a86bd9d0	{932.18 708.52 932.49 708.82}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g75805/vddi; Direction: INOUT; Use: POWER;
12	0x7f24a86c2fb0	{1015.28 682.8 1018.64 683.6}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9962/vddi; Direction: INOUT; Use: POWER;
13	0x7f24a86c3010	{995.12 682.8 998.48 683.6}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9966/vddi; Direction: INOUT; Use: POWER;
14	0x7f24a8700110	{1022.0 681.64 1027.6 684.185}	POLY1	Connectivity	Open	Net VDD
15	0x7f24a8700140	{1000.72 681.64 1014.72 684.76}	POLY1	Connectivity	Open	Net VDD
16	0x7f24a8700860	{961.52 726.92 978.88 729.56}	POLY1	Connectivity	Open	Net VDD
17	0x7f24a87008f0	{959.28 709.095 964.88 711.64}	POLY1	Connectivity	Open	Net VDD
18	0x7f24a8700920	{955.36 727.19 960.4 728.985}	POLY1	Connectivity	Open	Net VDD
19	0x7f24a8700a70	{965.44 708.52 999.04 711.64}	POLY1	Connectivity	Open	Net VDD
20	0x7f24a8700b00	{1014.16 727.015 1023.68 729.56}	POLY1	Connectivity	Open	Net VDD
21	0x7f24a8700b60	{1007.44 700.04 1018.08 702.105}	POLY1	Connectivity	Open	Net VDD
22	0x7f24a8700b90	{1001.28 717.48 1018.64 720.12}	POLY1	Connectivity	Open	Net VDD
23	0x7f25034c79a0	{798.56 754.48 800.8 755.28}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: FE_OFC1126_u_core_n_67407/vddi; Direction: INOUT; Use: POWER;
24	0x7f24a86bab30	{812.3 753.645 812.64 754.48}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_rst_fifo_sync/sync_q_reg[1]/vddi; Direction: INOUT; Use: POWER;
25	0x7f24a86bb1c0	{895.44 763.44 901.04 764.24}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g44325/vddi; Direction: INOUT; Use: POWER;
26	0x7f24a86bb1f0	{896.18 771.77 896.47 772.4}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g44378/vddi; Direction: INOUT; Use: POWER;
27	0x7f24a86bb220	{912.8 763.44 917.28 764.24}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g44389/vddi; Direction: INOUT; Use: POWER;
28	0x7f24a86bb2e0	{898.8 781.36 901.6 782.16}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g44415/vddi; Direction: INOUT; Use: POWER;
29	0x7f24a86bc500	{858.4 780.525 858.74 781.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_hit_idx_q_reg[1]/vddi; Direction: INOUT; Use: POWER;
30	0x7f24a86bc530	{874.08 780.525 874.42 781.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_hit_idx_q_reg[2]/vddi; Direction: INOUT; Use: POWER;
31	0x7f24a86bc5f0	{914.22 771.565 914.56 772.4}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_ns_q_reg[2]/vddi; Direction: INOUT; Use: POWER;
32	0x7f24a86bc620	{824.24 780.525 824.58 781.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_state_q_reg[0]/vddi; Direction: INOUT; Use: POWER;
33	0x7f24a86bce60	{821.43 774.06 821.74 774.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g71464/vddi; Direction: INOUT; Use: POWER;
34	0x7f24a86bd5e0	{811.78 735.4 812.09 735.7}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g74847/vddi; Direction: INOUT; Use: POWER;
35	0x7f24a86bd760	{796.1 738.22 796.41 738.52}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g75221/vddi; Direction: INOUT; Use: POWER;
36	0x7f24a86c06e0	{896.47 744.36 896.78 744.66}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g79060/vddi; Direction: INOUT; Use: POWER;
37	0x7f24a86c0710	{797.35 771.24 797.66 771.54}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g79064/vddi; Direction: INOUT; Use: POWER;
38	0x7f24a86c0da0	{847.28 754.48 850.08 755.28}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g79694/vddi; Direction: INOUT; Use: POWER;
39	0x7f24a86c1310	{856.24 754.48 860.72 755.28}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g80389/vddi; Direction: INOUT; Use: POWER;
40	0x7f24a86c1430	{847.28 772.4 849.52 773.2}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g80480/vddi; Direction: INOUT; Use: POWER;
41	0x7f24a86c14f0	{918.96 763.44 921.2 764.24}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g80500/vddi; Direction: INOUT; Use: POWER;
42	0x7f24a86c15b0	{830.1 780.72 831.71 781.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_state_q_reg[1]/vddi; Direction: INOUT; Use: POWER;
43	0x7f24a86c30d0	{801.92 736.56 805.28 737.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g10034/vddi; Direction: INOUT; Use: POWER;
44	0x7f24a86c3310	{860.72 763.13 865.2 764.825}	POLY1	Connectivity	Open	Net VDD
45	0x7f24a86e77f0	{838.32 735.975 842.8 738.52}	POLY1	Connectivity	Open	Net VDD
46	0x7f24a86bbc40	{914.36 682.17 915.26 682.8}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[5][33]/vddi; Direction: INOUT; Use: POWER;
47	0x7f24a86c2380	{865.76 682.8 869.12 683.6}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g8876/vddi; Direction: INOUT; Use: POWER;
48	0x7f24a86c2950	{824.88 718.64 828.24 719.44}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9331/vddi; Direction: INOUT; Use: POWER;
49	0x7f24a86c2b30	{922.32 691.76 925.68 692.56}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9541/vddi; Direction: INOUT; Use: POWER;
50	0x7f24a86c2f20	{893.2 727.6 896.56 728.4}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9892/vddi; Direction: INOUT; Use: POWER;
51	0x7f24a86e77c0	{825.44 708.52 874.16 711.64}	POLY1	Connectivity	Open	Net VDD
52	0x7f24a86e7820	{814.24 699.56 888.72 702.68}	POLY1	Connectivity	Open	Net VDD
53	0x7f24a86e7850	{829.92 717.96 876.96 720.6}	POLY1	Connectivity	Open	Net VDD
54	0x7f24a8700050	{884.24 672.68 915.04 675.8}	POLY1	Connectivity	Open	Net VDD
55	0x7f24a87001a0	{920.64 709.095 924.56 710.79}	POLY1	Connectivity	Open	Net VDD
56	0x7f24a8700230	{901.04 708.52 918.4 711.16}	POLY1	Connectivity	Open	Net VDD
57	0x7f24a87009b0	{820.96 672.68 883.12 675.8}	POLY1	Connectivity	Open	Net VDD
58	0x7f24a87009e0	{870.8 682.12 893.2 684.76}	POLY1	Connectivity	Open	Net VDD
59	0x7f24a8700bf0	{882.56 709.095 887.04 711.065}	POLY1	Connectivity	Open	Net VDD
60	0x7f24a8700c50	{899.92 726.44 922.32 729.08}	POLY1	Connectivity	Open	Net VDD
61	0x7f24a8700cb0	{878.08 717.48 913.36 720.6}	POLY1	Connectivity	Open	Net VDD
62	0x7f24a86e7ee0	{901.6 699.56 1000.72 702.68}	POLY1	Connectivity	Open	Net VDD
63	0x7f24a86e7f10	{926.24 690.6 1013.6 693.72}	POLY1	Connectivity	Open	Net VDD
64	0x7f24a8700260	{926.24 708.52 930.72 711.065}	POLY1	Connectivity	Open	Net VDD
65	0x7f24a87002c0	{914.48 717.96 933.52 720.12}	POLY1	Connectivity	Open	Net VDD
66	0x7f24a8700800	{922.88 726.44 953.68 729.56}	POLY1	Connectivity	Open	Net VDD
67	0x7f24a86bab60	{696.0 762.605 696.34 763.44}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_rst_tx_sync/sync_q_reg[3]/vddi; Direction: INOUT; Use: POWER;
68	0x7f24a86bb250	{766.64 781.36 769.44 782.16}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g44412/vddi; Direction: INOUT; Use: POWER;
69	0x7f24a86bb2b0	{714.56 781.36 717.36 782.16}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g44414/vddi; Direction: INOUT; Use: POWER;
70	0x7f24a86bb340	{728.18 771.82 728.47 772.4}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g44421/vddi; Direction: INOUT; Use: POWER;
71	0x7f24a86bbc10	{683.64 753.85 684.54 754.48}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[3][7]/vddi; Direction: INOUT; Use: POWER;
72	0x7f24a86bc4d0	{735.02 771.565 735.36 772.4}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_flags_q_reg[closed_by_watchdog]/vddi; Direction: INOUT; Use: POWER;
73	0x7f24a86bc560	{720.64 773.2 720.98 774.035}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_packet_tx_nfast_q_reg[5]/vddi; Direction: INOUT; Use: POWER;
74	0x7f24a86bd340	{731.83 735.4 732.14 735.7}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g73770/vddi; Direction: INOUT; Use: POWER;
75	0x7f24a86bd370	{706.5 675.5 706.81 675.8}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g73775/vddi; Direction: INOUT; Use: POWER;
76	0x7f24a86bd3d0	{683.11 720.3 683.42 720.6}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g73864/vddi; Direction: INOUT; Use: POWER;
77	0x7f24a86bd7f0	{729.03 666.54 729.34 666.84}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g75345/vddi; Direction: INOUT; Use: POWER;
78	0x7f24a86bdbb0	{717.83 753.32 718.14 753.62}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g76768/vddi; Direction: INOUT; Use: POWER;
79	0x7f24a86c2440	{762.16 682.8 765.52 683.6}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g8954/vddi; Direction: INOUT; Use: POWER;
80	0x7f24a86c29e0	{770.0 736.56 773.36 737.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9413/vddi; Direction: INOUT; Use: POWER;
81	0x7f24a86c2a70	{665.28 682.8 668.64 683.6}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9445/vddi; Direction: INOUT; Use: POWER;
82	0x7f24a86e7010	{724.08 673.16 735.84 675.8}	POLY1	Connectivity	Open	Net VDD
83	0x7f24a86e75b0	{786.8 735.975 791.28 738.52}	POLY1	Connectivity	Open	Net VDD
84	0x7f24a86e75e0	{785.12 727.015 790.72 729.56}	POLY1	Connectivity	Open	Net VDD
85	0x7f24a86e78b0	{697.76 726.44 702.24 728.985}	POLY1	Connectivity	Open	Net VDD
86	0x7f24a86e7910	{690.48 717.48 718.48 720.12}	POLY1	Connectivity	Open	Net VDD
87	0x7f24a86e7970	{688.24 735.975 693.28 738.52}	POLY1	Connectivity	Open	Net VDD
88	0x7f24a86bab90	{654.94 755.28 655.28 756.115}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_rst_tx_sync/sync_q_reg[0]/vddi; Direction: INOUT; Use: POWER;
89	0x7f24a86bafb0	{536.96 780.525 537.3 781.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_slow_epoch_johnson_o_reg[50]/vddi; Direction: INOUT; Use: POWER;
90	0x7f24a86bafe0	{550.96 780.525 551.3 781.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_slow_epoch_johnson_o_reg[51]/vddi; Direction: INOUT; Use: POWER;
91	0x7f24a86bb010	{568.88 780.525 569.22 781.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_slow_epoch_johnson_o_reg[52]/vddi; Direction: INOUT; Use: POWER;
92	0x7f24a86bb040	{584.56 780.525 584.9 781.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_slow_epoch_johnson_o_reg[53]/vddi; Direction: INOUT; Use: POWER;
93	0x7f24a86bb070	{598.56 780.525 598.9 781.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_slow_epoch_johnson_o_reg[54]/vddi; Direction: INOUT; Use: POWER;
94	0x7f24a86bb0a0	{617.04 780.525 617.38 781.36}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_slow_epoch_johnson_o_reg[56]/vddi; Direction: INOUT; Use: POWER;
95	0x7f24a86bb0d0	{605.66 737.36 606.0 738.195}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_slow_epoch_johnson_o_reg[60]/vddi; Direction: INOUT; Use: POWER;
96	0x7f24a86bb160	{550.96 771.565 551.3 772.4}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_stop_epoch_capture_slow_epoch_johnson_stop_o_reg[50]/vddi; Direction: INOUT; Use: POWER;
97	0x7f24a86bb280	{633.45 762.86 633.78 763.44}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g44413/vddi; Direction: INOUT; Use: POWER;
98	0x7f24a86bbbe0	{655.64 735.93 656.54 736.56}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[2][8]/vddi; Direction: INOUT; Use: POWER;
99	0x7f24a86c0cb0	{574.0 745.52 576.8 746.32}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g79633/vddi; Direction: INOUT; Use: POWER;
100	0x7f24a86c0ce0	{563.54 764.24 563.83 764.82}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g79663/vddi; Direction: INOUT; Use: POWER;
101	0x7f24a86c13d0	{557.76 763.44 560.0 764.24}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g80452/vddi; Direction: INOUT; Use: POWER;
102	0x7f24a86e6bf0	{572.88 771.76 602.56 774.035}	POLY1	Connectivity	Open	Net VDD
103	0x7f24a86e6c80	{537.04 753.9 556.08 755.92}	POLY1	Connectivity	Open	Net VDD
104	0x7f24a86e6cb0	{553.84 771.76 571.76 774.035}	POLY1	Connectivity	Open	Net VDD
105	0x7f24a86e6ce0	{584.64 744.685 617.12 748.2}	POLY1	Connectivity	Open	Net VDD
106	0x7f24a86e6dd0	{589.12 753.84 619.92 756.115}	POLY1	Connectivity	Open	Net VDD
107	0x7f24a86bc4a0	{609.16 726.97 610.06 727.6}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_hit_capture_bridge_snapshot_q_reg[nslow_snap][1]/vddi; Direction: INOUT; Use: POWER;
108	0x7f24a86bdb80	{584.82 673.26 585.11 673.84}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g76755/vddi; Direction: INOUT; Use: POWER;
109	0x7f24a86bdc70	{633.36 682.8 637.28 683.6}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g76792/vddi; Direction: INOUT; Use: POWER;
110	0x7f24a86bdd90	{610.96 682.8 615.44 683.6}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g77418/vddi; Direction: INOUT; Use: POWER;
111	0x7f24a86c0410	{599.2 673.84 603.68 674.64}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g78755/vddi; Direction: INOUT; Use: POWER;
112	0x7f24a86c0440	{542.64 673.84 547.12 674.64}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g78798/vddi; Direction: INOUT; Use: POWER;
113	0x7f24a86c1040	{572.88 691.76 576.24 692.56}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g80098/vddi; Direction: INOUT; Use: POWER;
114	0x7f24a86e6290	{547.68 673.16 571.76 675.78}	POLY1	Connectivity	Open	Net VDD
115	0x7f24a86e6440	{539.84 691.08 571.2 693.395}	POLY1	Connectivity	Open	Net VDD
116	0x7f24a86e6920	{540.96 681.965 606.48 684.74}	POLY1	Connectivity	Open	Net VDD
117	0x7f24a86e6e30	{558.88 708.845 583.52 711.12}	POLY1	Connectivity	Open	Net VDD
118	0x7f24a86e7640	{778.96 717.96 799.12 720.6}	POLY1	Connectivity	Open	Net VDD
119	0x7f24a86bd3a0	{996.71 618.92 997.02 619.22}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g73839/vddi; Direction: INOUT; Use: POWER;
120	0x7f24a86bd640	{988.18 567.98 988.49 568.28}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_g74989/vddi; Direction: INOUT; Use: POWER;
121	0x7f24a86c2470	{1006.32 557.36 1009.68 558.16}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g8959/vddi; Direction: INOUT; Use: POWER;
122	0x7f24a86c24a0	{955.36 557.36 959.28 558.16}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g8962/vddi; Direction: INOUT; Use: POWER;
123	0x7f24a86c2620	{1018.08 539.44 1021.44 540.24}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9149/vddi; Direction: INOUT; Use: POWER;
124	0x7f24a86c26e0	{960.4 557.36 963.76 558.16}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9206/vddi; Direction: INOUT; Use: POWER;
125	0x7f24a86c2d40	{1007.44 548.4 1010.8 549.2}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9744/vddi; Direction: INOUT; Use: POWER;
126	0x7f24a86c2e30	{1025.92 655.92 1029.28 656.72}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9814/vddi; Direction: INOUT; Use: POWER;
127	0x7f24a86c2e90	{1002.4 629.04 1005.76 629.84}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9844/vddi; Direction: INOUT; Use: POWER;
128	0x7f24a86c3100	{931.84 566.32 935.2 567.12}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g10072/vddi; Direction: INOUT; Use: POWER;
129	0x7f24a87011c0	{949.76 636.84 962.08 639.48}	POLY1	Connectivity	Open	Net VDD
130	0x7f24a8701250	{976.08 637.415 980.56 639.96}	POLY1	Connectivity	Open	Net VDD
131	0x7f24a87012b0	{941.36 628.36 969.92 631.0}	POLY1	Connectivity	Open	Net VDD
132	0x7f24a87012e0	{962.64 636.84 973.84 639.48}	POLY1	Connectivity	Open	Net VDD
133	0x7f24a8701460	{1007.44 627.88 1027.04 630.52}	POLY1	Connectivity	Open	Net VDD
134	0x7f24a86c2320	{883.68 575.28 887.04 576.08}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g8853/vddi; Direction: INOUT; Use: POWER;
135	0x7f24a86c23e0	{924.0 664.88 927.36 665.68}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g8943/vddi; Direction: INOUT; Use: POWER;
136	0x7f24a86c2560	{817.04 548.4 820.4 549.2}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g8989/vddi; Direction: INOUT; Use: POWER;
137	0x7f24a86c2920	{869.12 557.36 872.48 558.16}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9323/vddi; Direction: INOUT; Use: POWER;
138	0x7f24a86c2f80	{798.0 548.4 801.36 549.2}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g9940/vddi; Direction: INOUT; Use: POWER;
139	0x7f24a86e70a0	{912.8 574.6 924.0 577.24}	POLY1	Connectivity	Open	Net VDD
140	0x7f24a86e72e0	{825.44 556.2 829.92 558.745}	POLY1	Connectivity	Open	Net VDD
141	0x7f24a86e7310	{817.6 565.16 828.24 567.8}	POLY1	Connectivity	Open	Net VDD
142	0x7f24a86e7400	{806.4 565.16 817.04 567.8}	POLY1	Connectivity	Open	Net VDD
143	0x7f24a86e7670	{817.6 618.92 833.84 622.04}	POLY1	Connectivity	Open	Net VDD
144	0x7f24a86e76a0	{800.8 637.32 834.96 639.96}	POLY1	Connectivity	Open	Net VDD
145	0x7f24a86e7700	{803.04 628.36 826.56 630.52}	POLY1	Connectivity	Open	Net VDD
146	0x7f24a86e7730	{801.36 592.04 845.6 595.16}	POLY1	Connectivity	Open	Net VDD
147	0x7f24a86e79d0	{921.76 592.89 926.24 594.585}	POLY1	Connectivity	Open	Net VDD
148	0x7f24a8700500	{822.64 547.24 858.48 549.88}	POLY1	Connectivity	Open	Net VDD
149	0x7f24a8700620	{814.24 556.68 824.88 559.32}	POLY1	Connectivity	Open	Net VDD
150	0x7f24a8700680	{804.16 547.24 816.48 549.88}	POLY1	Connectivity	Open	Net VDD
151	0x7f24a8701340	{864.08 618.92 875.84 621.56}	POLY1	Connectivity	Open	Net VDD
152	0x7f24a8701370	{851.2 627.88 926.24 631.0}	POLY1	Connectivity	Open	Net VDD
153	0x7f24a87013d0	{880.88 610.44 893.76 613.08}	POLY1	Connectivity	Open	Net VDD
154	0x7f24a8701400	{890.4 618.92 899.36 621.465}	POLY1	Connectivity	Open	Net VDD
155	0x7f24a86c2230	{927.36 655.92 931.84 656.72}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: g8767/vddi; Direction: INOUT; Use: POWER;
156	0x7f24a86e6fe0	{919.52 565.64 930.16 567.705}	POLY1	Connectivity	Open	Net VDD
157	0x7f24a86bbd60	{1029.06 450.64 1029.96 451.27}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_fifo_mem_reg[13][49]/vddi; Direction: INOUT; Use: POWER;
