row,col,bit,endpoint_pin,driver_pin,driver_instance,current_cell,status,method,candidate_count,score
0,0,0,"u_core_gen_pd_row[0].gen_pd_col[0].u_pd/nfast_hit_latched_reg[0]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
0,0,2,"u_core_gen_pd_row[0].gen_pd_col[0].u_pd/nfast_hit_latched_reg[2]/D","u_core_gen_pd_row[0].gen_pd_col[0].u_pd/g437__2802/Q","u_core_gen_pd_row[0].gen_pd_col[0].u_pd/g437__2802",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,0,1,"u_core_gen_pd_row[0].gen_pd_col[0].u_pd/nfast_hit_latched_reg[1]/D","u_core_gen_pd_row[0].gen_pd_col[0].u_pd/g438__1705/Q","u_core_gen_pd_row[0].gen_pd_col[0].u_pd/g438__1705",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,0,5,"u_core_gen_pd_row[0].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D","u_core_gen_pd_row[0].gen_pd_col[0].u_pd/g442__6131/Q","u_core_gen_pd_row[0].gen_pd_col[0].u_pd/g442__6131",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,0,3,"u_core_gen_pd_row[0].gen_pd_col[0].u_pd/nfast_hit_latched_reg[3]/D","u_core_gen_pd_row[0].gen_pd_col[0].u_pd/g436__1617/Q","u_core_gen_pd_row[0].gen_pd_col[0].u_pd/g436__1617",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,0,6,"u_core_gen_pd_row[0].gen_pd_col[0].u_pd/nfast_hit_latched_reg[6]/D","u_core_gen_pd_row[0].gen_pd_col[0].u_pd/g441__7098/Q","u_core_gen_pd_row[0].gen_pd_col[0].u_pd/g441__7098",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,0,4,"u_core_gen_pd_row[0].gen_pd_col[0].u_pd/nfast_hit_latched_reg[4]/D","u_core_gen_pd_row[0].gen_pd_col[0].u_pd/g439__5122/Q","u_core_gen_pd_row[0].gen_pd_col[0].u_pd/g439__5122",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,1,0,"u_core_gen_pd_row[0].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]/D","","",NO_ON22JIHDX0_DRIVER,NO_SOURCE_DRIVER,NONE,0,0
0,1,2,"u_core_gen_pd_row[0].gen_pd_col[1].u_pd/nfast_hit_latched_reg[2]/D","u_core_gen_pd_row[0].gen_pd_col[1].u_pd/g437__9945/Q","u_core_gen_pd_row[0].gen_pd_col[1].u_pd/g437__9945",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
0,1,1,"u_core_gen_pd_row[0].gen_pd_col[1].u_pd/nfast_hit_latched_reg[1]/D","u_core_gen_pd_row[0].gen_pd_col[1].u_pd/g438__2883/Q","u_core_gen_pd_row[0].gen_pd_col[1].u_pd/g438__2883",ON22JIHDX0,MATCH,TIMING_REPORT_NEAREST_ON22,1,0
