instance,tap_index,bit_index,mapped_cell,drive_strength,role,appears_in_top_timing_paths,top_timing_path_count
nfast_hit_latched_reg[6],NA,6,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[4],NA,4,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[1],NA,1,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[5],NA,5,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[3],NA,3,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[2],NA,2,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[0],NA,0,DFRSJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[6],NA,6,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[4],NA,4,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[1],NA,1,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[5],NA,5,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[3],NA,3,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[2],NA,2,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[0],NA,0,DFRSJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[0],NA,0,DFRSQJIHDX4,4,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[6],NA,6,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[4],NA,4,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[1],NA,1,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[5],NA,5,DFRJIHDX1,1,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[3],NA,3,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[2],NA,2,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[6],NA,6,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[4],NA,4,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
nfast_hit_latched_reg[1],NA,1,DFRJIHDX2,2,nfast_hit_endpoint,NO,0
