tap,bit,pin_name,object
0,5,q,"u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/Q"
0,6,q,"u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[6]/Q"
1,5,q,"u_core_gen_fast_tag_col[1].u_fast_tag_tag_o_reg[5]/Q"
1,6,q,"u_core_gen_fast_tag_col[1].u_fast_tag_tag_o_reg[6]/Q"
2,5,q,"u_core_gen_fast_tag_col[2].u_fast_tag_tag_o_reg[5]/Q"
2,6,q,"u_core_gen_fast_tag_col[2].u_fast_tag_tag_o_reg[6]/Q"
3,5,q,"u_core_gen_fast_tag_col[3].u_fast_tag_tag_o_reg[5]/Q"
3,6,q,"u_core_gen_fast_tag_col[3].u_fast_tag_tag_o_reg[6]/Q"
4,5,q,"u_core_gen_fast_tag_col[4].u_fast_tag_tag_o_reg[5]/Q"
4,6,q,"u_core_gen_fast_tag_col[4].u_fast_tag_tag_o_reg[6]/Q"
5,5,q,"u_core_gen_fast_tag_col[5].u_fast_tag_tag_o_reg[5]/Q"
5,6,q,"u_core_gen_fast_tag_col[5].u_fast_tag_tag_o_reg[6]/Q"
6,5,q,"u_core_gen_fast_tag_col[6].u_fast_tag_tag_o_reg[5]/Q"
6,6,q,"u_core_gen_fast_tag_col[6].u_fast_tag_tag_o_reg[6]/Q"
7,5,q,"u_core_gen_fast_tag_col[7].u_fast_tag_tag_o_reg[5]/Q"
7,6,q,"u_core_gen_fast_tag_col[7].u_fast_tag_tag_o_reg[6]/Q"
0,0,q,"u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[0]/Q"
1,0,q,"u_core_gen_fast_tag_col[1].u_fast_tag_tag_o_reg[0]/Q"
2,0,q,"u_core_gen_fast_tag_col[2].u_fast_tag_tag_o_reg[0]/Q"
3,0,q,"u_core_gen_fast_tag_col[3].u_fast_tag_tag_o_reg[0]/Q"
4,0,q,"u_core_gen_fast_tag_col[4].u_fast_tag_tag_o_reg[0]/Q"
5,0,q,"u_core_gen_fast_tag_col[5].u_fast_tag_tag_o_reg[0]/Q"
6,0,q,"u_core_gen_fast_tag_col[6].u_fast_tag_tag_o_reg[0]/Q"
7,0,q,"u_core_gen_fast_tag_col[7].u_fast_tag_tag_o_reg[0]/Q"
