timestamp,stage,status
"2026-07-06 15:40:46 CEST","source_gate","start"
"2026-07-06 15:40:46 CEST","source_gate","done"
"2026-07-06 15:40:46 CEST","import_mmmc","start"
"2026-07-06 15:40:50 CEST","import_mmmc","done"
"2026-07-06 15:40:50 CEST","post_import_gate","start"
"2026-07-06 15:40:50 CEST","post_import_gate","done"
"2026-07-06 15:40:50 CEST","post_import_tc_timing","start"
"2026-07-06 15:41:00 CEST","post_import_tc_timing","done"
"2026-07-06 15:41:00 CEST","floorplan","start"
"2026-07-06 15:41:02 CEST","floorplan","done"
"2026-07-06 15:41:02 CEST","io_placement","start"
"2026-07-06 15:41:02 CEST","io_placement","done"
"2026-07-06 15:41:02 CEST","ro_macro_placement","start"
"2026-07-06 15:41:02 CEST","ro_macro_placement","done"
"2026-07-06 15:41:02 CEST","pg_connectivity","start"
"2026-07-06 15:41:02 CEST","pg_connectivity","done"
"2026-07-06 15:41:02 CEST","pd_matrix_placement","start"
"2026-07-06 15:41:05 CEST","pd_matrix_placement","done"
"2026-07-06 15:41:05 CEST","phase_buffer_placement","start"
"2026-07-06 15:41:08 CEST","phase_buffer_placement","done"
"2026-07-06 15:41:08 CEST","row_infrastructure","start"
"2026-07-06 15:41:08 CEST","row_infrastructure","done"
"2026-07-06 15:41:08 CEST","placement","start"
"2026-07-06 15:45:21 CEST","placement","done"
"2026-07-06 15:45:21 CEST","cts","start"
"2026-07-06 15:53:37 CEST","cts","done"
"2026-07-06 15:53:37 CEST","route","start"
"2026-07-06 16:18:07 CEST","route","done"
"2026-07-06 16:18:07 CEST","extraction_sta","start"
"2026-07-06 16:18:30 CEST","extraction_sta","done"
"2026-07-06 16:18:30 CEST","phase_and_backend_reports","start"
"2026-07-06 16:18:33 CEST","phase_and_backend_reports","done"
"2026-07-06 16:18:33 CEST","physical_verification_package","start"
"2026-07-06 16:18:33 CEST","physical_verification_package","done"
