pin,direction,side,layer,status
"async_rst_n",in,SOUTH,MET3,REQUESTED
"busy_o",out,EAST,MET3,REQUESTED
"cal_start_async_i",in,WEST,MET3,REQUESTED
"cal_stop_async_i",in,WEST,MET3,REQUESTED
"clk_sys",in,EAST,MET3,REQUESTED
"conv_arm_i",in,EAST,MET3,REQUESTED
"fifo_clr_i",in,EAST,MET3,REQUESTED
"fifo_full_o",out,EAST,MET3,REQUESTED
"input_sel_i[0]",in,EAST,MET3,REQUESTED
"max_hits_i[0]",in,EAST,MET3,REQUESTED
"max_hits_i[1]",in,EAST,MET3,REQUESTED
"max_hits_i[2]",in,EAST,MET3,REQUESTED
"max_hits_i[3]",in,EAST,MET3,REQUESTED
"packet_active_o",out,NORTH,MET3,REQUESTED
"packet_pending_o",out,NORTH,MET3,REQUESTED
"pkt_data_o[0]",out,NORTH,MET3,REQUESTED
"pkt_data_o[1]",out,NORTH,MET3,REQUESTED
"pkt_data_o[2]",out,NORTH,MET3,REQUESTED
"pkt_data_o[3]",out,NORTH,MET3,REQUESTED
"pkt_data_o[4]",out,NORTH,MET3,REQUESTED
"pkt_data_o[5]",out,NORTH,MET3,REQUESTED
"pkt_data_o[6]",out,NORTH,MET3,REQUESTED
"pkt_data_o[7]",out,NORTH,MET3,REQUESTED
"pkt_data_o[8]",out,NORTH,MET3,REQUESTED
"pkt_data_o[9]",out,NORTH,MET3,REQUESTED
"pkt_data_o[10]",out,NORTH,MET3,REQUESTED
"pkt_data_o[11]",out,NORTH,MET3,REQUESTED
"pkt_data_o[12]",out,NORTH,MET3,REQUESTED
"pkt_data_o[13]",out,NORTH,MET3,REQUESTED
"pkt_data_o[14]",out,NORTH,MET3,REQUESTED
"pkt_data_o[15]",out,NORTH,MET3,REQUESTED
"pkt_eop_o",out,NORTH,MET3,REQUESTED
"pkt_ready_i",in,EAST,MET3,REQUESTED
"pkt_sop_o",out,NORTH,MET3,REQUESTED
"pkt_valid_o",out,NORTH,MET3,REQUESTED
"ready_o",out,EAST,MET3,REQUESTED
"ro_fast_code_i[0]",in,EAST,MET3,REQUESTED
"ro_fast_code_i[1]",in,EAST,MET3,REQUESTED
"ro_fast_code_i[2]",in,EAST,MET3,REQUESTED
"ro_fast_code_i[3]",in,EAST,MET3,REQUESTED
"ro_fast_code_i[4]",in,EAST,MET3,REQUESTED
"ro_fast_code_i[5]",in,EAST,MET3,REQUESTED
"ro_fast_code_i[6]",in,EAST,MET3,REQUESTED
"ro_fast_code_i[7]",in,EAST,MET3,REQUESTED
"ro_fast_tap0_o",out,EAST,MET3,REQUESTED
"ro_slow_code_i[0]",in,EAST,MET3,REQUESTED
"ro_slow_code_i[1]",in,EAST,MET3,REQUESTED
"ro_slow_code_i[2]",in,EAST,MET3,REQUESTED
"ro_slow_code_i[3]",in,EAST,MET3,REQUESTED
"ro_slow_code_i[4]",in,EAST,MET3,REQUESTED
"ro_slow_code_i[5]",in,EAST,MET3,REQUESTED
"ro_slow_code_i[6]",in,EAST,MET3,REQUESTED
"ro_slow_code_i[7]",in,EAST,MET3,REQUESTED
"ro_slow_tap0_o",out,EAST,MET3,REQUESTED
"soft_reset_i",in,EAST,MET3,REQUESTED
"start_spad_async_i",in,WEST,MET3,REQUESTED
"stop_spad_async_i",in,WEST,MET3,REQUESTED
