tile,ns,nf,instance,llx,lly,urx,ury,center_x,center_y,leaf_count,bbox_source,expected_llx,expected_lly,expected_urx,expected_ury,dx,dy,status
0_0,0,0,u_core_gen_pd_row[0].gen_pd_col[0].u_pd,346.08,400.96,395.92,445.76,371.0,423.36,26,hier_leaf_aggregate,50.4,250.88,87.9,288.38,301.85,153.73,OUTSIDE_TILE_REGION
0_1,0,1,u_core_gen_pd_row[0].gen_pd_col[1].u_pd,201.04,405.44,264.32,463.68,232.68,434.56,25,hier_leaf_aggregate,50.4,288.38,87.9,325.88,163.53,127.43,OUTSIDE_TILE_REGION
0_2,0,2,u_core_gen_pd_row[0].gen_pd_col[2].u_pd,458.64,441.28,501.76,521.92,480.2,481.6,26,hier_leaf_aggregate,50.4,325.88,87.9,363.38,411.05,136.97,OUTSIDE_TILE_REGION
0_3,0,3,u_core_gen_pd_row[0].gen_pd_col[3].u_pd,411.04,427.84,462.0,499.52,436.52,463.68,26,hier_leaf_aggregate,50.4,363.38,87.9,400.88,367.37,81.55,OUTSIDE_TILE_REGION
0_4,0,4,u_core_gen_pd_row[0].gen_pd_col[4].u_pd,192.08,414.4,261.52,472.64,226.8,443.52,31,hier_leaf_aggregate,50.4,400.88,87.9,438.38,157.65,23.89,OUTSIDE_TILE_REGION
0_5,0,5,u_core_gen_pd_row[0].gen_pd_col[5].u_pd,387.52,409.92,457.52,436.8,422.52,423.36,25,hier_leaf_aggregate,50.4,438.38,87.9,475.88,353.37,-33.77,OUTSIDE_TILE_REGION
0_6,0,6,u_core_gen_pd_row[0].gen_pd_col[6].u_pd,49.84,441.28,112.56,499.52,81.2,470.4,30,hier_leaf_aggregate,50.4,475.88,87.9,513.38,12.05,-24.23,OK
0_7,0,7,u_core_gen_pd_row[0].gen_pd_col[7].u_pd,114.24,441.28,173.04,472.64,143.64,456.96,25,hier_leaf_aggregate,50.4,513.38,87.9,550.88,74.49,-75.17,OUTSIDE_TILE_REGION
1_0,1,0,u_core_gen_pd_row[1].gen_pd_col[0].u_pd,342.72,629.44,493.36,701.12,418.04,665.28,26,hier_leaf_aggregate,87.9,250.88,125.4,288.38,311.39,395.65,OUTSIDE_TILE_REGION
1_1,1,1,u_core_gen_pd_row[1].gen_pd_col[1].u_pd,203.84,486.08,256.48,530.88,230.16,508.48,31,hier_leaf_aggregate,87.9,288.38,125.4,325.88,123.51,201.35,OUTSIDE_TILE_REGION
1_2,1,2,u_core_gen_pd_row[1].gen_pd_col[2].u_pd,486.08,517.44,534.8,580.16,510.44,548.8,25,hier_leaf_aggregate,87.9,325.88,125.4,363.38,403.79,204.17,OUTSIDE_TILE_REGION
1_3,1,3,u_core_gen_pd_row[1].gen_pd_col[3].u_pd,415.52,499.52,495.6,544.32,455.56,521.92,26,hier_leaf_aggregate,87.9,363.38,125.4,400.88,348.91,139.79,OUTSIDE_TILE_REGION
1_4,1,4,u_core_gen_pd_row[1].gen_pd_col[4].u_pd,220.08,616.0,252.0,660.8,236.04,638.4,25,hier_leaf_aggregate,87.9,400.88,125.4,438.38,129.39,218.77,OUTSIDE_TILE_REGION
1_5,1,5,u_core_gen_pd_row[1].gen_pd_col[5].u_pd,430.64,638.4,496.16,683.2,463.4,660.8,25,hier_leaf_aggregate,87.9,438.38,125.4,475.88,356.75,203.67,OUTSIDE_TILE_REGION
1_6,1,6,u_core_gen_pd_row[1].gen_pd_col[6].u_pd,48.72,499.52,119.28,544.32,84.0,521.92,25,hier_leaf_aggregate,87.9,475.88,125.4,513.38,-22.65,27.29,OK
1_7,1,7,u_core_gen_pd_row[1].gen_pd_col[7].u_pd,104.72,495.04,183.68,526.4,144.2,510.72,32,hier_leaf_aggregate,87.9,513.38,125.4,550.88,37.55,-21.41,OUTSIDE_TILE_REGION
2_0,2,0,u_core_gen_pd_row[2].gen_pd_col[0].u_pd,338.24,651.84,385.28,732.48,361.76,692.16,25,hier_leaf_aggregate,125.4,250.88,162.9,288.38,217.61,422.53,OUTSIDE_TILE_REGION
2_1,2,1,u_core_gen_pd_row[2].gen_pd_col[1].u_pd,183.68,530.88,245.84,566.72,214.76,548.8,25,hier_leaf_aggregate,125.4,288.38,162.9,325.88,70.61,241.67,OUTSIDE_TILE_REGION
2_2,2,2,u_core_gen_pd_row[2].gen_pd_col[2].u_pd,478.24,575.68,560.0,620.48,519.12,598.08,26,hier_leaf_aggregate,125.4,325.88,162.9,363.38,374.97,253.45,OUTSIDE_TILE_REGION
2_3,2,3,u_core_gen_pd_row[2].gen_pd_col[3].u_pd,423.36,526.4,479.92,584.64,451.64,555.52,25,hier_leaf_aggregate,125.4,363.38,162.9,400.88,307.49,173.39,OUTSIDE_TILE_REGION
2_4,2,4,u_core_gen_pd_row[2].gen_pd_col[4].u_pd,213.36,660.8,253.12,732.48,233.24,696.64,30,hier_leaf_aggregate,125.4,400.88,162.9,438.38,89.09,277.01,OUTSIDE_TILE_REGION
2_5,2,5,u_core_gen_pd_row[2].gen_pd_col[5].u_pd,423.92,687.68,468.72,728.0,446.32,707.84,24,hier_leaf_aggregate,125.4,438.38,162.9,475.88,302.17,250.71,OUTSIDE_TILE_REGION
2_6,2,6,u_core_gen_pd_row[2].gen_pd_col[6].u_pd,66.08,499.52,126.0,544.32,96.04,521.92,30,hier_leaf_aggregate,125.4,475.88,162.9,513.38,-48.11,27.29,OUTSIDE_TILE_REGION
2_7,2,7,u_core_gen_pd_row[2].gen_pd_col[7].u_pd,113.68,486.08,175.28,517.44,144.48,501.76,24,hier_leaf_aggregate,125.4,513.38,162.9,550.88,0.33,-30.37,OK
3_0,3,0,u_core_gen_pd_row[3].gen_pd_col[0].u_pd,339.92,647.36,384.72,714.56,362.32,680.96,24,hier_leaf_aggregate,162.9,250.88,200.4,288.38,180.67,411.33,OUTSIDE_TILE_REGION
3_1,3,1,u_core_gen_pd_row[3].gen_pd_col[1].u_pd,184.8,512.96,255.36,553.28,220.08,533.12,25,hier_leaf_aggregate,162.9,288.38,200.4,325.88,38.43,225.99,OUTSIDE_TILE_REGION
3_2,3,2,u_core_gen_pd_row[3].gen_pd_col[2].u_pd,476.56,571.2,560.56,620.48,518.56,595.84,26,hier_leaf_aggregate,162.9,325.88,200.4,363.38,336.91,251.21,OUTSIDE_TILE_REGION
3_3,3,3,u_core_gen_pd_row[3].gen_pd_col[3].u_pd,408.8,535.36,490.56,575.68,449.68,555.52,31,hier_leaf_aggregate,162.9,363.38,200.4,400.88,268.03,173.39,OUTSIDE_TILE_REGION
3_4,3,4,u_core_gen_pd_row[3].gen_pd_col[4].u_pd,220.64,647.36,255.92,710.08,238.28,678.72,30,hier_leaf_aggregate,162.9,400.88,200.4,438.38,56.63,259.09,OUTSIDE_TILE_REGION
3_5,3,5,u_core_gen_pd_row[3].gen_pd_col[5].u_pd,429.52,651.84,484.4,696.64,456.96,674.24,24,hier_leaf_aggregate,162.9,438.38,200.4,475.88,275.31,217.11,OUTSIDE_TILE_REGION
3_6,3,6,u_core_gen_pd_row[3].gen_pd_col[6].u_pd,52.08,392.0,164.08,450.24,108.08,421.12,30,hier_leaf_aggregate,162.9,475.88,200.4,513.38,-73.57,-73.51,OUTSIDE_TILE_REGION
3_7,3,7,u_core_gen_pd_row[3].gen_pd_col[7].u_pd,125.44,405.44,168.56,445.76,147.0,425.6,24,hier_leaf_aggregate,162.9,513.38,200.4,550.88,-34.65,-106.53,OUTSIDE_TILE_REGION
4_0,4,0,u_core_gen_pd_row[4].gen_pd_col[0].u_pd,351.12,356.16,408.8,409.92,379.96,383.04,30,hier_leaf_aggregate,200.4,250.88,237.9,288.38,160.81,113.41,OUTSIDE_TILE_REGION
4_1,4,1,u_core_gen_pd_row[4].gen_pd_col[1].u_pd,197.12,369.6,262.64,405.44,229.88,387.52,30,hier_leaf_aggregate,200.4,288.38,237.9,325.88,10.73,80.39,OUTSIDE_TILE_REGION
4_2,4,2,u_core_gen_pd_row[4].gen_pd_col[2].u_pd,440.72,271.04,488.32,351.68,464.52,311.36,26,hier_leaf_aggregate,200.4,325.88,237.9,363.38,245.37,-33.27,OUTSIDE_TILE_REGION
4_3,4,3,u_core_gen_pd_row[4].gen_pd_col[3].u_pd,420.0,315.84,458.64,378.56,439.32,347.2,24,hier_leaf_aggregate,200.4,363.38,237.9,400.88,220.17,-34.93,OUTSIDE_TILE_REGION
4_4,4,4,u_core_gen_pd_row[4].gen_pd_col[4].u_pd,196.0,338.24,258.72,383.04,227.36,360.64,30,hier_leaf_aggregate,200.4,400.88,237.9,438.38,8.21,-58.99,OUTSIDE_TILE_REGION
4_5,4,5,u_core_gen_pd_row[4].gen_pd_col[5].u_pd,397.6,360.64,440.16,418.88,418.88,389.76,30,hier_leaf_aggregate,200.4,438.38,237.9,475.88,199.73,-67.37,OUTSIDE_TILE_REGION
4_6,4,6,u_core_gen_pd_row[4].gen_pd_col[6].u_pd,56.0,324.8,141.12,387.52,98.56,356.16,25,hier_leaf_aggregate,200.4,475.88,237.9,513.38,-120.59,-138.47,OUTSIDE_TILE_REGION
4_7,4,7,u_core_gen_pd_row[4].gen_pd_col[7].u_pd,124.88,297.92,170.8,387.52,147.84,342.72,25,hier_leaf_aggregate,200.4,513.38,237.9,550.88,-71.31,-189.41,OUTSIDE_TILE_REGION
5_0,5,0,u_core_gen_pd_row[5].gen_pd_col[0].u_pd,346.08,275.52,414.4,320.32,380.24,297.92,29,hier_leaf_aggregate,237.9,250.88,275.4,288.38,123.59,28.29,OUTSIDE_TILE_REGION
5_1,5,1,u_core_gen_pd_row[5].gen_pd_col[1].u_pd,208.88,271.04,252.56,311.36,230.72,291.2,25,hier_leaf_aggregate,237.9,288.38,275.4,325.88,-25.93,-15.93,OK
5_2,5,2,u_core_gen_pd_row[5].gen_pd_col[2].u_pd,467.6,203.84,515.2,271.04,491.4,237.44,26,hier_leaf_aggregate,237.9,325.88,275.4,363.38,234.75,-107.19,OUTSIDE_TILE_REGION
5_3,5,3,u_core_gen_pd_row[5].gen_pd_col[3].u_pd,421.12,253.12,463.68,284.48,442.4,268.8,24,hier_leaf_aggregate,237.9,363.38,275.4,400.88,185.75,-113.33,OUTSIDE_TILE_REGION
5_4,5,4,u_core_gen_pd_row[5].gen_pd_col[4].u_pd,192.64,217.28,263.2,253.12,227.92,235.2,31,hier_leaf_aggregate,237.9,400.88,275.4,438.38,-28.73,-184.43,OUTSIDE_TILE_REGION
5_5,5,5,u_core_gen_pd_row[5].gen_pd_col[5].u_pd,386.96,208.32,448.56,248.64,417.76,228.48,25,hier_leaf_aggregate,237.9,438.38,275.4,475.88,161.11,-228.65,OUTSIDE_TILE_REGION
5_6,5,6,u_core_gen_pd_row[5].gen_pd_col[6].u_pd,62.72,244.16,215.6,284.48,139.16,264.32,25,hier_leaf_aggregate,237.9,475.88,275.4,513.38,-117.49,-230.31,OUTSIDE_TILE_REGION
5_7,5,7,u_core_gen_pd_row[5].gen_pd_col[7].u_pd,147.84,266.56,215.6,297.92,181.72,282.24,26,hier_leaf_aggregate,237.9,513.38,275.4,550.88,-74.93,-249.89,OUTSIDE_TILE_REGION
6_0,6,0,u_core_gen_pd_row[6].gen_pd_col[0].u_pd,351.68,172.48,412.16,221.76,381.92,197.12,31,hier_leaf_aggregate,275.4,250.88,312.9,288.38,87.77,-72.51,OUTSIDE_TILE_REGION
6_1,6,1,u_core_gen_pd_row[6].gen_pd_col[1].u_pd,202.16,176.96,265.44,217.28,233.8,197.12,26,hier_leaf_aggregate,275.4,288.38,312.9,325.88,-60.35,-110.01,OUTSIDE_TILE_REGION
6_2,6,2,u_core_gen_pd_row[6].gen_pd_col[2].u_pd,458.64,154.56,518.56,185.92,488.6,170.24,26,hier_leaf_aggregate,275.4,325.88,312.9,363.38,194.45,-174.39,OUTSIDE_TILE_REGION
6_3,6,3,u_core_gen_pd_row[6].gen_pd_col[3].u_pd,404.32,168.0,479.36,203.84,441.84,185.92,24,hier_leaf_aggregate,275.4,363.38,312.9,400.88,147.69,-196.21,OUTSIDE_TILE_REGION
6_4,6,4,u_core_gen_pd_row[6].gen_pd_col[4].u_pd,206.64,60.48,263.2,114.24,234.92,87.36,31,hier_leaf_aggregate,275.4,400.88,312.9,438.38,-59.23,-332.27,OUTSIDE_TILE_REGION
6_5,6,5,u_core_gen_pd_row[6].gen_pd_col[5].u_pd,398.16,56.0,458.08,109.76,428.12,82.88,25,hier_leaf_aggregate,275.4,438.38,312.9,475.88,133.97,-374.25,OUTSIDE_TILE_REGION
6_6,6,6,u_core_gen_pd_row[6].gen_pd_col[6].u_pd,64.4,203.84,128.8,239.68,96.6,221.76,24,hier_leaf_aggregate,275.4,475.88,312.9,513.38,-197.55,-272.87,OUTSIDE_TILE_REGION
6_7,6,7,u_core_gen_pd_row[6].gen_pd_col[7].u_pd,122.08,208.32,197.12,244.16,159.6,226.24,24,hier_leaf_aggregate,275.4,513.38,312.9,550.88,-134.55,-305.89,OUTSIDE_TILE_REGION
7_0,7,0,u_core_gen_pd_row[7].gen_pd_col[0].u_pd,343.28,185.92,411.6,230.72,377.44,208.32,26,hier_leaf_aggregate,312.9,250.88,350.4,288.38,45.79,-61.31,OUTSIDE_TILE_REGION
7_1,7,1,u_core_gen_pd_row[7].gen_pd_col[1].u_pd,201.6,172.48,253.12,235.2,227.36,203.84,31,hier_leaf_aggregate,312.9,288.38,350.4,325.88,-104.29,-103.29,OUTSIDE_TILE_REGION
7_2,7,2,u_core_gen_pd_row[7].gen_pd_col[2].u_pd,478.8,154.56,542.64,199.36,510.72,176.96,26,hier_leaf_aggregate,312.9,325.88,350.4,363.38,179.07,-167.67,OUTSIDE_TILE_REGION
7_3,7,3,u_core_gen_pd_row[7].gen_pd_col[3].u_pd,405.44,176.96,488.88,212.8,447.16,194.88,25,hier_leaf_aggregate,312.9,363.38,350.4,400.88,115.51,-187.25,OUTSIDE_TILE_REGION
7_4,7,4,u_core_gen_pd_row[7].gen_pd_col[4].u_pd,204.4,73.92,262.08,114.24,233.24,94.08,26,hier_leaf_aggregate,312.9,400.88,350.4,438.38,-98.41,-325.55,OUTSIDE_TILE_REGION
7_5,7,5,u_core_gen_pd_row[7].gen_pd_col[5].u_pd,407.68,73.92,462.56,114.24,435.12,94.08,25,hier_leaf_aggregate,312.9,438.38,350.4,475.88,103.47,-363.05,OUTSIDE_TILE_REGION
7_6,7,6,u_core_gen_pd_row[7].gen_pd_col[6].u_pd,53.76,280.0,123.2,320.32,88.48,300.16,25,hier_leaf_aggregate,312.9,475.88,350.4,513.38,-243.17,-194.47,OUTSIDE_TILE_REGION
7_7,7,7,u_core_gen_pd_row[7].gen_pd_col[7].u_pd,104.16,284.48,184.24,387.52,144.2,336.0,31,hier_leaf_aggregate,312.9,513.38,350.4,550.88,-187.45,-196.13,OUTSIDE_TILE_REGION
