family,tap,driver_pin,net,driver_cell_type,driver_output_max_cap_ff,actual_output_cap_ff,output_cap_ratio,actual_transition_ns,transition_status,equivalent_DFRRQHDX1_clk_loads,equivalent_DFRRQHDX2_clk_loads,equivalent_DFRQHDX2_clk_loads,equivalent_DFRHDX1_clk_loads,sink_classification,pd_load_count,fast_tag_load_count,slow_epoch_load_count,metadata_load_count,other_load_count,notes
slow,0,u_core_u_phase_buf_slow/gen_phase_buf[0].u_drv/Q,ro_slow_tap0_o,BUJIHDX12,,623.00,,,UNKNOWN_TRANSITION,172.1,180.6,171.6,171.6,PD=0;FAST_TAG=0;SLOW_EPOCH=0;METADATA=0;OTHER=0,0,0,0,0,0,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,1,u_core_u_phase_buf_slow/gen_phase_buf[1].u_drv/Q,u_core_slow_phase[1],BUJIHDX12,,169.00,,,UNKNOWN_TRANSITION,46.7,49.0,46.6,46.6,PD=0;FAST_TAG=0;SLOW_EPOCH=0;METADATA=0;OTHER=0,0,0,0,0,0,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,2,u_core_u_phase_buf_slow/gen_phase_buf[2].u_drv/Q,u_core_slow_phase[2],BUJIHDX12,,168.00,,,UNKNOWN_TRANSITION,46.4,48.7,46.3,46.3,PD=0;FAST_TAG=0;SLOW_EPOCH=0;METADATA=0;OTHER=0,0,0,0,0,0,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,3,u_core_u_phase_buf_slow/gen_phase_buf[3].u_drv/Q,u_core_slow_phase[3],BUJIHDX12,,191.00,,,UNKNOWN_TRANSITION,52.8,55.4,52.6,52.6,PD=0;FAST_TAG=0;SLOW_EPOCH=0;METADATA=0;OTHER=0,0,0,0,0,0,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,4,u_core_u_phase_buf_slow/gen_phase_buf[4].u_drv/Q,u_core_slow_phase[4],BUJIHDX12,,136.00,,,UNKNOWN_TRANSITION,37.6,39.4,37.5,37.5,PD=0;FAST_TAG=0;SLOW_EPOCH=0;METADATA=0;OTHER=0,0,0,0,0,0,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,5,u_core_u_phase_buf_slow/gen_phase_buf[5].u_drv/Q,u_core_slow_phase[5],BUJIHDX12,,158.00,,,UNKNOWN_TRANSITION,43.6,45.8,43.5,43.5,PD=0;FAST_TAG=0;SLOW_EPOCH=0;METADATA=0;OTHER=0,0,0,0,0,0,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,6,u_core_u_phase_buf_slow/gen_phase_buf[6].u_drv/Q,u_core_slow_phase[6],BUJIHDX12,,207.00,,,UNKNOWN_TRANSITION,57.2,60.0,57.0,57.0,PD=0;FAST_TAG=0;SLOW_EPOCH=0;METADATA=0;OTHER=0,0,0,0,0,0,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,7,u_core_u_phase_buf_slow/gen_phase_buf[7].u_drv/Q,u_core_slow_phase[7],BUJIHDX12,,209.00,,,UNKNOWN_TRANSITION,57.7,60.6,57.6,57.6,PD=0;FAST_TAG=0;SLOW_EPOCH=0;METADATA=0;OTHER=0,0,0,0,0,0,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,0,u_core_u_phase_buf_fast/gen_phase_buf[0].u_drv/Q,ro_fast_tap0_o,BUJIHDX12,,779.00,,,UNKNOWN_TRANSITION,215.2,225.8,214.6,214.6,PD=0;FAST_TAG=0;SLOW_EPOCH=0;METADATA=0;OTHER=0,0,0,0,0,0,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,1,u_core_u_phase_buf_fast/gen_phase_buf[1].u_drv/Q,u_core_fast_phase[1],BUJIHDX12,,589.00,,,UNKNOWN_TRANSITION,162.7,170.7,162.3,162.3,PD=0;FAST_TAG=0;SLOW_EPOCH=0;METADATA=0;OTHER=0,0,0,0,0,0,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
