family,tap,stage,buffer_instance,buffer_cell_type,x,y,llx,lly,urx,ury,ro_instance,ro_x,ro_y,dx_from_ro,dy_from_ro,manhattan_from_ro,pd_center_x,pd_center_y,manhattan_to_pd_center,status,notes
slow,0,isolation,u_core_u_phase_buf_slow/gen_phase_buf[0].u_iso,BUJIHDX4,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,0,driver,u_core_u_phase_buf_slow/gen_phase_buf[0].u_drv,BUJIHDX12,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,1,isolation,u_core_u_phase_buf_slow/gen_phase_buf[1].u_iso,BUJIHDX4,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,1,driver,u_core_u_phase_buf_slow/gen_phase_buf[1].u_drv,BUJIHDX12,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,2,isolation,u_core_u_phase_buf_slow/gen_phase_buf[2].u_iso,BUJIHDX4,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,2,driver,u_core_u_phase_buf_slow/gen_phase_buf[2].u_drv,BUJIHDX12,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,3,isolation,u_core_u_phase_buf_slow/gen_phase_buf[3].u_iso,BUJIHDX4,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,3,driver,u_core_u_phase_buf_slow/gen_phase_buf[3].u_drv,BUJIHDX12,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,4,isolation,u_core_u_phase_buf_slow/gen_phase_buf[4].u_iso,BUJIHDX4,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,4,driver,u_core_u_phase_buf_slow/gen_phase_buf[4].u_drv,BUJIHDX12,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,5,isolation,u_core_u_phase_buf_slow/gen_phase_buf[5].u_iso,BUJIHDX4,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,5,driver,u_core_u_phase_buf_slow/gen_phase_buf[5].u_drv,BUJIHDX12,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,6,isolation,u_core_u_phase_buf_slow/gen_phase_buf[6].u_iso,BUJIHDX4,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,6,driver,u_core_u_phase_buf_slow/gen_phase_buf[6].u_drv,BUJIHDX12,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,7,isolation,u_core_u_phase_buf_slow/gen_phase_buf[7].u_iso,BUJIHDX4,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
slow,7,driver,u_core_u_phase_buf_slow/gen_phase_buf[7].u_drv,BUJIHDX12,,,,,,,u_core_u_osc_slow_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
fast,0,isolation,u_core_u_phase_buf_fast/gen_phase_buf[0].u_iso,BUJIHDX4,,,,,,,u_core_u_osc_fast_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
fast,0,driver,u_core_u_phase_buf_fast/gen_phase_buf[0].u_drv,BUJIHDX12,,,,,,,u_core_u_osc_fast_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
fast,1,isolation,u_core_u_phase_buf_fast/gen_phase_buf[1].u_iso,BUJIHDX4,,,,,,,u_core_u_osc_fast_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
fast,1,driver,u_core_u_phase_buf_fast/gen_phase_buf[1].u_drv,BUJIHDX12,,,,,,,u_core_u_osc_fast_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
fast,2,isolation,u_core_u_phase_buf_fast/gen_phase_buf[2].u_iso,BUJIHDX4,,,,,,,u_core_u_osc_fast_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
fast,2,driver,u_core_u_phase_buf_fast/gen_phase_buf[2].u_drv,BUJIHDX12,,,,,,,u_core_u_osc_fast_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
fast,3,isolation,u_core_u_phase_buf_fast/gen_phase_buf[3].u_iso,BUJIHDX4,,,,,,,u_core_u_osc_fast_u_ro_tune4,,,,,,,,,PLACEMENT_UNKNOWN,buffer_location_unavailable
