family,tap,raw_net,raw_route_length_um,raw_total_cap_pf,isolation_net,isolation_route_length_um,isolation_total_cap_pf,buffered_net,buffered_route_length_um,buffered_total_cap_pf,buffered_wire_cap_pf,buffered_pin_cap_pf,buffered_res_ohm,status,notes
slow,0,u_core_slow_phase_raw[0],84.375000,0.024,u_core_u_phase_buf_slow/gen_phase_buf[0].iso_tap,12.280000,,ro_slow_tap0_o,1512.300000,0.623,0.264,0.358,889.483,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,1,u_core_slow_phase_raw[1],64.640000,0.022,u_core_u_phase_buf_slow/gen_phase_buf[1].iso_tap,12.280000,,u_core_slow_phase[1],663.080000,0.169,0.118,0.051,301.612,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,2,u_core_slow_phase_raw[2],82.000000,0.024,u_core_u_phase_buf_slow/gen_phase_buf[2].iso_tap,12.980000,,u_core_slow_phase[2],703.560000,0.168,0.117,0.051,316.549,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,3,u_core_slow_phase_raw[3],37.990000,0.018,u_core_u_phase_buf_slow/gen_phase_buf[3].iso_tap,12.280000,,u_core_slow_phase[3],830.875000,0.191,0.136,0.055,293.007,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,4,u_core_slow_phase_raw[4],92.010000,0.025,u_core_u_phase_buf_slow/gen_phase_buf[4].iso_tap,12.280000,,u_core_slow_phase[4],551.130000,0.136,0.081,0.055,210.807,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,5,u_core_slow_phase_raw[5],81.005000,0.025,u_core_u_phase_buf_slow/gen_phase_buf[5].iso_tap,12.280000,,u_core_slow_phase[5],617.850000,0.158,0.103,0.055,229.254,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,6,u_core_slow_phase_raw[6],62.955000,0.023,u_core_u_phase_buf_slow/gen_phase_buf[6].iso_tap,12.280000,,u_core_slow_phase[6],870.485000,0.207,0.156,0.051,353.523,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,7,u_core_slow_phase_raw[7],111.640000,0.029,u_core_u_phase_buf_slow/gen_phase_buf[7].iso_tap,12.280000,,u_core_slow_phase[7],907.280000,0.209,0.158,0.051,319.496,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,0,u_core_fast_phase_raw[0],75.975000,0.023,u_core_u_phase_buf_fast/gen_phase_buf[0].iso_tap,12.280000,,ro_fast_tap0_o,1657.195000,0.779,0.359,0.420,1306.931,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,1,u_core_fast_phase_raw[1],55.420000,0.021,u_core_u_phase_buf_fast/gen_phase_buf[1].iso_tap,12.280000,,u_core_fast_phase[1],517.550000,0.589,0.178,0.410,816.138,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,2,u_core_fast_phase_raw[2],73.470000,0.023,u_core_u_phase_buf_fast/gen_phase_buf[2].iso_tap,12.280000,,u_core_fast_phase[2],1006.350000,0.659,0.247,0.412,1055.598,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,3,u_core_fast_phase_raw[3],27.720000,0.017,u_core_u_phase_buf_fast/gen_phase_buf[3].iso_tap,12.280000,,u_core_fast_phase[3],866.990000,0.659,0.247,0.412,1075.319,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,4,u_core_fast_phase_raw[4],86.145000,0.025,u_core_u_phase_buf_fast/gen_phase_buf[4].iso_tap,12.280000,,u_core_fast_phase[4],734.950000,0.619,0.210,0.409,805.640,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,5,u_core_fast_phase_raw[5],71.480000,0.024,u_core_u_phase_buf_fast/gen_phase_buf[5].iso_tap,12.280000,,u_core_fast_phase[5],963.440000,0.677,0.264,0.413,976.607,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,6,u_core_fast_phase_raw[6],53.575000,0.020,u_core_u_phase_buf_fast/gen_phase_buf[6].iso_tap,12.820000,,u_core_fast_phase[6],543.900000,0.578,0.168,0.411,756.217,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,7,u_core_fast_phase_raw[7],98.680000,0.027,u_core_u_phase_buf_fast/gen_phase_buf[7].iso_tap,12.280000,,u_core_fast_phase[7],468.240000,0.574,0.163,0.411,790.179,FINAL_DRIVER_OUTPUT_QUANTIFIED,raw_iso_and_final_driver_route_from_report_property_safe_snapshot_or_dbget_when_available;RAW_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;ISO_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate;BUFFERED_ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
