family,tap,buffer_chain_depth,cell_sequence,input_net,isolation_net,output_net,status,notes
slow,0,2,BUJIHDX4;BUJIHDX12,u_core_slow_phase_raw[0],u_core_u_phase_buf_slow/gen_phase_buf[0].iso_tap,ro_slow_tap0_o,TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
slow,1,2,BUJIHDX4;BUJIHDX12,u_core_slow_phase_raw[1],u_core_u_phase_buf_slow/gen_phase_buf[1].iso_tap,u_core_slow_phase[1],TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
slow,2,2,BUJIHDX4;BUJIHDX12,u_core_slow_phase_raw[2],u_core_u_phase_buf_slow/gen_phase_buf[2].iso_tap,u_core_slow_phase[2],TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
slow,3,2,BUJIHDX4;BUJIHDX12,u_core_slow_phase_raw[3],u_core_u_phase_buf_slow/gen_phase_buf[3].iso_tap,u_core_slow_phase[3],TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
slow,4,2,BUJIHDX4;BUJIHDX12,u_core_slow_phase_raw[4],u_core_u_phase_buf_slow/gen_phase_buf[4].iso_tap,u_core_slow_phase[4],TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
slow,5,2,BUJIHDX4;BUJIHDX12,u_core_slow_phase_raw[5],u_core_u_phase_buf_slow/gen_phase_buf[5].iso_tap,u_core_slow_phase[5],TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
slow,6,2,BUJIHDX4;BUJIHDX12,u_core_slow_phase_raw[6],u_core_u_phase_buf_slow/gen_phase_buf[6].iso_tap,u_core_slow_phase[6],TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
slow,7,2,BUJIHDX4;BUJIHDX12,u_core_slow_phase_raw[7],u_core_u_phase_buf_slow/gen_phase_buf[7].iso_tap,u_core_slow_phase[7],TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
fast,0,2,BUJIHDX4;BUJIHDX12,u_core_fast_phase_raw[0],u_core_u_phase_buf_fast/gen_phase_buf[0].iso_tap,ro_fast_tap0_o,TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
fast,1,2,BUJIHDX4;BUJIHDX12,u_core_fast_phase_raw[1],u_core_u_phase_buf_fast/gen_phase_buf[1].iso_tap,u_core_fast_phase[1],TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
fast,2,2,BUJIHDX4;BUJIHDX12,u_core_fast_phase_raw[2],u_core_u_phase_buf_fast/gen_phase_buf[2].iso_tap,u_core_fast_phase[2],TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
fast,3,2,BUJIHDX4;BUJIHDX12,u_core_fast_phase_raw[3],u_core_u_phase_buf_fast/gen_phase_buf[3].iso_tap,u_core_fast_phase[3],TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
fast,4,2,BUJIHDX4;BUJIHDX12,u_core_fast_phase_raw[4],u_core_u_phase_buf_fast/gen_phase_buf[4].iso_tap,u_core_fast_phase[4],TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
fast,5,2,BUJIHDX4;BUJIHDX12,u_core_fast_phase_raw[5],u_core_u_phase_buf_fast/gen_phase_buf[5].iso_tap,u_core_fast_phase[5],TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
fast,6,2,BUJIHDX4;BUJIHDX12,u_core_fast_phase_raw[6],u_core_u_phase_buf_fast/gen_phase_buf[6].iso_tap,u_core_fast_phase[6],TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
fast,7,2,BUJIHDX4;BUJIHDX12,u_core_fast_phase_raw[7],u_core_u_phase_buf_fast/gen_phase_buf[7].iso_tap,u_core_fast_phase[7],TOPOLOGY_MATCH,CELL_SEQUENCE=BUJIHDX4;BUJIHDX12;ISO_CELL_SOURCE=rtl_instance_fallback;DRV_CELL_SOURCE=rtl_instance_fallback
