family,tap,stage,source_pin,net,actual_cap_pf,actual_cap_fF,cap_bound_fF,analog_budget_ratio_strict,analog_budget_ratio_cn,equivalent_DFRRQHDX2_D_inputs,equivalent_DFRRQHDX2_C_inputs,equivalent_DFRRQHDX2_RN_inputs,driver_cell_type,driver_input_cap_fF,driver_output_max_cap_fF,driver_output_max_fanout,phase_driver_suitability,notes
slow,0,raw_ro_source,u_core_u_osc_slow_u_ro_tune4/S[0],u_core_slow_phase_raw[0],0.024,24.00,,0.41,0.32,7.5,7.0,3.7,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
slow,0,final_phase_driver_output,u_core_u_phase_buf_slow/gen_phase_buf[0].u_drv/Q,ro_slow_tap0_o,0.623,623.00,,10.61,8.24,194.7,180.6,95.7,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=264.00;pin_cap_ff=358.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
slow,1,raw_ro_source,u_core_u_osc_slow_u_ro_tune4/S[1],u_core_slow_phase_raw[1],0.022,22.00,,0.37,0.29,6.9,6.4,3.4,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
slow,1,final_phase_driver_output,u_core_u_phase_buf_slow/gen_phase_buf[1].u_drv/Q,u_core_slow_phase[1],0.169,169.00,,2.88,2.24,52.8,49.0,26.0,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=118.00;pin_cap_ff=51.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
slow,2,raw_ro_source,u_core_u_osc_slow_u_ro_tune4/S[2],u_core_slow_phase_raw[2],0.024,24.00,,0.41,0.32,7.5,7.0,3.7,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
slow,2,final_phase_driver_output,u_core_u_phase_buf_slow/gen_phase_buf[2].u_drv/Q,u_core_slow_phase[2],0.168,168.00,,2.86,2.22,52.5,48.7,25.8,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=117.00;pin_cap_ff=51.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
slow,3,raw_ro_source,u_core_u_osc_slow_u_ro_tune4/S[3],u_core_slow_phase_raw[3],0.018,18.00,,0.31,0.24,5.6,5.2,2.8,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
slow,3,final_phase_driver_output,u_core_u_phase_buf_slow/gen_phase_buf[3].u_drv/Q,u_core_slow_phase[3],0.191,191.00,,3.25,2.53,59.7,55.4,29.3,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=136.00;pin_cap_ff=55.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
slow,4,raw_ro_source,u_core_u_osc_slow_u_ro_tune4/S[4],u_core_slow_phase_raw[4],0.025,25.00,,0.43,0.33,7.8,7.2,3.8,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
slow,4,final_phase_driver_output,u_core_u_phase_buf_slow/gen_phase_buf[4].u_drv/Q,u_core_slow_phase[4],0.136,136.00,,2.32,1.80,42.5,39.4,20.9,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=81.00;pin_cap_ff=55.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
slow,5,raw_ro_source,u_core_u_osc_slow_u_ro_tune4/S[5],u_core_slow_phase_raw[5],0.025,25.00,,0.43,0.33,7.8,7.2,3.8,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
slow,5,final_phase_driver_output,u_core_u_phase_buf_slow/gen_phase_buf[5].u_drv/Q,u_core_slow_phase[5],0.158,158.00,,2.69,2.09,49.4,45.8,24.3,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=103.00;pin_cap_ff=55.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
slow,6,raw_ro_source,u_core_u_osc_slow_u_ro_tune4/S[6],u_core_slow_phase_raw[6],0.023,23.00,,0.39,0.30,7.2,6.7,3.5,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
slow,6,final_phase_driver_output,u_core_u_phase_buf_slow/gen_phase_buf[6].u_drv/Q,u_core_slow_phase[6],0.207,207.00,,3.53,2.74,64.7,60.0,31.8,BUJIHDX12,,,,BUJIHDX12_SUITABLE_FOR_O13_REVIEW,wire_cap_ff=156.00;pin_cap_ff=51.00;pd_load_count=0;fast_tag_load_count=0;slow_epoch_load_count=0;metadata_load_count=0;other_load_count=0
slow,7,raw_ro_source,u_core_u_osc_slow_u_ro_tune4/S[7],u_core_slow_phase_raw[7],0.029,29.00,,0.49,0.38,9.1,8.4,4.5,RO_tune4,,,,OK_STRICT,receiver_cell=BUJIHDX4;receiver_input_cap_ff=;raw_ro_load_budget_is_analog_authoritative;requires_jihd_liberty_pin_cap_report
