family,tap,metric,unit,count,min,max,mean,absolute_spread,percentage_spread,worst_tap,best_tap
slow,ALL,raw_route_length_um,um,8,37.990000,111.640000,77.076875,73.650000,95.554,7,3
slow,ALL,raw_total_cap_pf,pf,8,0.018000,0.029000,0.023750,0.011000,46.316,7,3
slow,ALL,isolation_route_length_um,um,8,12.280000,12.980000,12.367500,0.700000,5.66,2,0
slow,ALL,isolation_total_cap_pf,pf,0,,,,,,,
slow,ALL,buffered_route_length_um,um,8,551.130000,1512.300000,832.070000,961.170000,115.516,0,4
slow,ALL,buffered_total_cap_pf,pf,8,0.136000,0.623000,0.232625,0.487000,209.35,0,4
slow,ALL,buffered_wire_cap_pf,pf,8,0.081000,0.264000,0.141625,0.183000,129.214,0,4
slow,ALL,buffered_pin_cap_pf,pf,8,0.051000,0.358000,0.090875,0.307000,337.827,0,1
slow,ALL,buffered_res_ohm,ohm,8,210.807000,889.483000,364.216375,678.676000,186.339,0,4
fast,ALL,raw_route_length_um,um,8,27.720000,98.680000,67.808125,70.960000,104.648,7,3
fast,ALL,raw_total_cap_pf,pf,8,0.017000,0.027000,0.022500,0.010000,44.444,7,3
fast,ALL,isolation_route_length_um,um,8,12.280000,12.820000,12.347500,0.540000,4.373,6,0
fast,ALL,isolation_total_cap_pf,pf,0,,,,,,,
fast,ALL,buffered_route_length_um,um,8,468.240000,1657.195000,844.826875,1188.955000,140.734,0,7
fast,ALL,buffered_total_cap_pf,pf,8,0.574000,0.779000,0.641750,0.205000,31.944,0,7
fast,ALL,buffered_wire_cap_pf,pf,8,0.163000,0.359000,0.229500,0.196000,85.403,0,7
fast,ALL,buffered_pin_cap_pf,pf,8,0.409000,0.420000,0.412250,0.011000,2.668,0,4
fast,ALL,buffered_res_ohm,ohm,8,756.217000,1306.931000,947.828625,550.714000,58.103,0,6
