timestamp,stage,status
"2026-07-06 14:58:25 CEST","source_gate","start"
"2026-07-06 14:58:25 CEST","source_gate","done"
"2026-07-06 14:58:25 CEST","import_mmmc","start"
"2026-07-06 14:58:30 CEST","import_mmmc","done"
"2026-07-06 14:58:30 CEST","post_import_gate","start"
"2026-07-06 14:58:30 CEST","post_import_gate","done"
"2026-07-06 14:58:30 CEST","post_import_tc_timing","start"
"2026-07-06 14:58:39 CEST","post_import_tc_timing","done"
"2026-07-06 14:58:39 CEST","floorplan","start"
"2026-07-06 14:58:41 CEST","floorplan","done"
"2026-07-06 14:58:41 CEST","io_placement","start"
"2026-07-06 14:58:41 CEST","io_placement","done"
"2026-07-06 14:58:41 CEST","ro_macro_placement","start"
"2026-07-06 14:58:41 CEST","ro_macro_placement","done"
"2026-07-06 14:58:41 CEST","pg_connectivity","start"
"2026-07-06 14:58:41 CEST","pg_connectivity","done"
"2026-07-06 14:58:41 CEST","pd_matrix_placement","start"
"2026-07-06 14:58:44 CEST","pd_matrix_placement","done"
"2026-07-06 14:58:44 CEST","phase_buffer_placement","start"
"2026-07-06 14:58:47 CEST","phase_buffer_placement","done"
"2026-07-06 14:58:47 CEST","row_infrastructure","start"
"2026-07-06 14:58:47 CEST","row_infrastructure","done"
"2026-07-06 14:58:47 CEST","placement","start"
"2026-07-06 15:02:46 CEST","placement","done"
"2026-07-06 15:02:46 CEST","cts","start"
"2026-07-06 15:09:42 CEST","cts","done"
"2026-07-06 15:09:42 CEST","route","start"
"2026-07-06 15:31:32 CEST","route","fail"
