tile,ns,nf,instance,llx,lly,urx,ury,center_x,center_y,leaf_count,bbox_source,expected_llx,expected_lly,expected_urx,expected_ury,dx,dy,status
0_0,0,0,u_core_gen_pd_row[0].gen_pd_col[0].u_pd,371.28,203.84,429.52,239.68,400.4,221.76,31,hier_leaf_aggregate,50.4,250.88,87.9,288.38,331.25,-47.87,OUTSIDE_TILE_REGION
0_1,0,1,u_core_gen_pd_row[0].gen_pd_col[1].u_pd,220.64,127.68,257.6,181.44,239.12,154.56,25,hier_leaf_aggregate,50.4,288.38,87.9,325.88,169.97,-152.57,OUTSIDE_TILE_REGION
0_2,0,2,u_core_gen_pd_row[0].gen_pd_col[2].u_pd,503.44,176.96,553.84,208.32,528.64,192.64,26,hier_leaf_aggregate,50.4,325.88,87.9,363.38,459.49,-151.99,OUTSIDE_TILE_REGION
0_3,0,3,u_core_gen_pd_row[0].gen_pd_col[3].u_pd,489.44,150.08,553.28,199.36,521.36,174.72,25,hier_leaf_aggregate,50.4,363.38,87.9,400.88,452.21,-207.41,OUTSIDE_TILE_REGION
0_4,0,4,u_core_gen_pd_row[0].gen_pd_col[4].u_pd,217.84,47.04,309.12,91.84,263.48,69.44,30,hier_leaf_aggregate,50.4,400.88,87.9,438.38,194.33,-350.19,OUTSIDE_TILE_REGION
0_5,0,5,u_core_gen_pd_row[0].gen_pd_col[5].u_pd,415.52,47.04,472.64,91.84,444.08,69.44,24,hier_leaf_aggregate,50.4,438.38,87.9,475.88,374.93,-387.69,OUTSIDE_TILE_REGION
0_6,0,6,u_core_gen_pd_row[0].gen_pd_col[6].u_pd,54.88,239.68,112.56,266.56,83.72,253.12,30,hier_leaf_aggregate,50.4,475.88,87.9,513.38,14.57,-241.51,OUTSIDE_TILE_REGION
0_7,0,7,u_core_gen_pd_row[0].gen_pd_col[7].u_pd,110.32,226.24,165.2,262.08,137.76,244.16,24,hier_leaf_aggregate,50.4,513.38,87.9,550.88,68.61,-287.97,OUTSIDE_TILE_REGION
1_0,1,0,u_core_gen_pd_row[1].gen_pd_col[0].u_pd,360.64,217.28,444.64,271.04,402.64,244.16,25,hier_leaf_aggregate,87.9,250.88,125.4,288.38,295.99,-25.47,OUTSIDE_TILE_REGION
1_1,1,1,u_core_gen_pd_row[1].gen_pd_col[1].u_pd,182.56,181.44,263.2,230.72,222.88,206.08,32,hier_leaf_aggregate,87.9,288.38,125.4,325.88,116.23,-101.05,OUTSIDE_TILE_REGION
