idx	marker_handle	box	layer	type	subType	message
1	0x7f7455a6b610	{221.745 681.16 221.745 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
2	0x7f7455a6b640	{48.0 681.16 48.0 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
3	0x7f7455f8ffa0	{204.13 610.4 204.41 612.67}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[6] Type: Metal Short # -1 -1 9 2 : 203.9900 610.2600 204.5500 612.8100 2: 203.9900 610.2600 204.5500 612.8100 2
4	0x7f7455a6bc10	{204.13 610.4 204.41 612.67}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[6] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 203.9900 610.2600 204.5500 612.8100 2: 203.9900 610.2600 204.5500 612.8100 2
5	0x7f7455f8ff10	{183.555 610.4 183.835 612.67}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[7] Type: Metal Short # -1 -1 9 2 : 183.4150 610.2600 183.9750 612.8100 2: 183.4150 610.2600 183.9750 612.8100 2
6	0x7f7455f8ff70	{187.905 610.4 188.185 612.67}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[2] Type: Metal Short # -1 -1 9 2 : 187.7650 610.2600 188.3250 612.8100 2: 187.7650 610.2600 188.3250 612.8100 2
7	0x7f7455a6a0b0	{167.33 610.4 167.61 612.59}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[3] Type: Metal Short # -1 -1 9 2 : 167.1900 610.2600 167.7500 612.7300 3: 167.1900 610.2600 167.7500 612.7300 3
8	0x7f7455a6bbb0	{183.555 610.4 183.835 612.67}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[7] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 183.4150 610.2600 183.9750 612.8100 2: 183.4150 610.2600 183.9750 612.8100 2
9	0x7f7455a6bbe0	{187.905 610.4 188.185 612.67}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[2] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 187.7650 610.2600 188.3250 612.8100 2: 187.7650 610.2600 188.3250 612.8100 2
10	0x7f7455a6bca0	{167.33 610.4 167.61 612.59}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[3] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 167.1900 610.2600 167.7500 612.7300 3: 167.1900 610.2600 167.7500 612.7300 3
11	0x7f7455f8fe80	{163.01 610.4 163.29 612.67}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[5] Type: Metal Short # -1 -1 9 2 : 162.8700 610.2600 163.4300 612.8100 2: 162.8700 610.2600 163.4300 612.8100 2
12	0x7f7455a6a020	{142.405 610.4 142.685 612.59}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[0] Type: Metal Short # -1 -1 9 2 : 142.2650 610.2600 142.8250 612.7300 3: 142.2650 610.2600 142.8250 612.7300 3
13	0x7f7455a6a080	{146.755 610.4 147.035 612.59}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[1] Type: Metal Short # -1 -1 9 2 : 146.6150 610.2600 147.1750 612.7300 3: 146.6150 610.2600 147.1750 612.7300 3
14	0x7f7455a6bb80	{163.01 610.4 163.29 612.67}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[5] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 162.8700 610.2600 163.4300 612.8100 2: 162.8700 610.2600 163.4300 612.8100 2
15	0x7f7455a6bc40	{142.405 610.4 142.685 612.59}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[0] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 142.2650 610.2600 142.8250 612.7300 3: 142.2650 610.2600 142.8250 612.7300 3
16	0x7f7455a6bc70	{146.755 610.4 147.035 612.59}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[1] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 146.6150 610.2600 147.1750 612.7300 3: 146.6150 610.2600 147.1750 612.7300 3
17	0x7f7455f8fd60	{114.805 610.4 115.085 612.67}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_fe_osc_slow_en Type: Metal Short # -1 -1 9 2 : 114.6650 610.2600 115.2250 612.8100 2: 114.6650 610.2600 115.2250 612.8100 2
18	0x7f7455f8fdf0	{126.18 610.4 126.46 612.67}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[4] Type: Metal Short # -1 -1 9 2 : 126.0400 610.2600 126.6000 612.8100 2: 126.0400 610.2600 126.6000 612.8100 2
19	0x7f7455a6baf0	{54.0 610.4 56.0 626.935}	MET1	Geometry	Metal_Short	Special Wire of Net VDD & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 53.8850 610.2850 56.1150 627.0500 1: 53.8850 610.2850 56.1150 627.0500 1
20	0x7f7455a6bb20	{114.805 610.4 115.085 612.67}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_fe_osc_slow_en & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 114.6650 610.2600 115.2250 612.8100 2: 114.6650 610.2600 115.2250 612.8100 2
21	0x7f7455a6bb50	{126.18 610.4 126.46 612.67}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[4] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 126.0400 610.2600 126.6000 612.8100 2: 126.0400 610.2600 126.6000 612.8100 2
22	0x7f7455a6ba00	{340.01 384.3 340.39 384.58}	MET1	Geometry	Minimal_Area	Regular Wire of Net u_core_n_57561 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
23	0x7f7455a6ba30	{340.57 382.06 340.95 382.34}	MET1	Geometry	Minimal_Area	Regular Wire of Net u_core_n_57560 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
24	0x7f7455a6ba60	{346.22 389.85 346.5 390.23}	MET1	Geometry	Minimal_Area	Regular Wire of Net u_core_n_57557 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
25	0x7f7455a6ba90	{350.09 374.78 350.47 375.06}	MET1	Geometry	Minimal_Area	Regular Wire of Net u_core_n_57562 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
26	0x7f7455a6bac0	{356.81 365.82 357.19 366.1}	MET1	Geometry	Minimal_Area	Regular Wire of Net u_core_n_57563 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
27	0x7f7455a6a0e0	{203.98 188.71 204.26 190.9}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[6] Type: Metal Short # -1 -1 9 2 : 203.8400 188.5700 204.4000 191.0400 3: 203.8400 188.5700 204.4000 191.0400 3
28	0x7f7455a6b970	{203.98 188.71 204.26 190.9}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[6] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 203.8400 188.5700 204.4000 191.0400 3: 203.8400 188.5700 204.4000 191.0400 3
29	0x7f7455f8feb0	{167.33 188.63 167.61 190.9}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[3] Type: Metal Short # -1 -1 9 2 : 167.1900 188.4900 167.7500 191.0400 2: 167.1900 188.4900 167.7500 191.0400 2
30	0x7f7455f8fee0	{183.555 188.63 183.835 190.9}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[7] Type: Metal Short # -1 -1 9 2 : 183.4150 188.4900 183.9750 191.0400 2: 183.4150 188.4900 183.9750 191.0400 2
31	0x7f7455f8ff40	{187.905 188.63 188.185 190.9}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[2] Type: Metal Short # -1 -1 9 2 : 187.7650 188.4900 188.3250 191.0400 2: 187.7650 188.4900 188.3250 191.0400 2
32	0x7f7455a6b8b0	{167.33 188.63 167.61 190.9}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[3] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 167.1900 188.4900 167.7500 191.0400 2: 167.1900 188.4900 167.7500 191.0400 2
33	0x7f7455a6b8e0	{183.555 188.63 183.835 190.9}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[7] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 183.4150 188.4900 183.9750 191.0400 2: 183.4150 188.4900 183.9750 191.0400 2
34	0x7f7455a6b910	{187.905 188.63 188.185 190.9}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[2] & Blockage of Cell u_core_u_osc_fast_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 187.7650 188.4900 188.3250 191.0400 2: 187.7650 188.4900 188.3250 191.0400 2
35	0x7f7455f8fe20	{142.405 188.63 142.685 190.9}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[0] Type: Metal Short # -1 -1 9 2 : 142.2650 188.4900 142.8250 191.0400 2: 142.2650 188.4900 142.8250 191.0400 2
36	0x7f7455f8fe50	{163.01 188.63 163.29 190.9}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[5] Type: Metal Short # -1 -1 9 2 : 162.8700 188.4900 163.4300 191.0400 2: 162.8700 188.4900 163.4300 191.0400 2
37	0x7f7455a6a050	{146.755 188.71 147.035 190.9}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_fast_phase_raw[1] Type: Metal Short # -1 -1 9 2 : 146.6150 188.5700 147.1750 191.0400 3: 146.6150 188.5700 147.1750 191.0400 3
