timestamp,stage,status
"2026-07-06 14:40:47 CEST","source_gate","start"
"2026-07-06 14:40:47 CEST","source_gate","done"
"2026-07-06 14:40:47 CEST","import_mmmc","start"
"2026-07-06 14:40:52 CEST","import_mmmc","done"
"2026-07-06 14:40:52 CEST","post_import_gate","start"
"2026-07-06 14:40:52 CEST","post_import_gate","done"
"2026-07-06 14:40:52 CEST","post_import_tc_timing","start"
"2026-07-06 14:41:01 CEST","post_import_tc_timing","done"
"2026-07-06 14:41:01 CEST","floorplan","start"
"2026-07-06 14:41:03 CEST","floorplan","done"
"2026-07-06 14:41:03 CEST","io_placement","start"
"2026-07-06 14:41:03 CEST","io_placement","done"
"2026-07-06 14:41:03 CEST","ro_macro_placement","start"
"2026-07-06 14:41:03 CEST","ro_macro_placement","done"
"2026-07-06 14:41:03 CEST","pg_connectivity","start"
"2026-07-06 14:41:03 CEST","pg_connectivity","done"
"2026-07-06 14:41:03 CEST","pd_matrix_placement","start"
"2026-07-06 14:41:06 CEST","pd_matrix_placement","done"
"2026-07-06 14:41:06 CEST","phase_buffer_placement","start"
"2026-07-06 14:41:09 CEST","phase_buffer_placement","done"
"2026-07-06 14:41:09 CEST","row_infrastructure","start"
"2026-07-06 14:41:09 CEST","row_infrastructure","done"
"2026-07-06 14:41:09 CEST","placement","start"
"2026-07-06 14:45:06 CEST","placement","done"
"2026-07-06 14:45:06 CEST","cts","start"
"2026-07-06 14:51:55 CEST","cts","done"
"2026-07-06 14:51:55 CEST","route","start"
"2026-07-06 14:52:12 CEST","route","fail"
