timestamp,stage,status
"2026-07-07 11:53:27 CEST","source_gate","start"
"2026-07-07 11:53:27 CEST","source_gate","done"
"2026-07-07 11:53:27 CEST","import_mmmc","start"
"2026-07-07 11:53:32 CEST","import_mmmc","done"
"2026-07-07 11:53:32 CEST","post_import_gate","start"
"2026-07-07 11:53:32 CEST","post_import_gate","done"
"2026-07-07 11:53:32 CEST","post_import_tc_timing","start"
"2026-07-07 11:53:41 CEST","post_import_tc_timing","done"
"2026-07-07 11:53:41 CEST","floorplan","start"
"2026-07-07 11:53:43 CEST","floorplan","done"
"2026-07-07 11:53:43 CEST","io_placement","start"
"2026-07-07 11:53:43 CEST","io_placement","done"
"2026-07-07 11:53:43 CEST","ro_macro_placement","start"
"2026-07-07 11:53:43 CEST","ro_macro_placement","done"
"2026-07-07 11:53:43 CEST","pg_connectivity","start"
"2026-07-07 11:53:44 CEST","pg_connectivity","done"
"2026-07-07 11:53:44 CEST","pd_matrix_placement","start"
"2026-07-07 11:53:46 CEST","pd_matrix_placement","done"
"2026-07-07 11:53:46 CEST","phase_buffer_placement","start"
"2026-07-07 11:53:49 CEST","phase_buffer_placement","done"
"2026-07-07 11:53:49 CEST","row_infrastructure","start"
"2026-07-07 11:53:49 CEST","row_infrastructure","done"
"2026-07-07 11:53:49 CEST","placement","start"
"2026-07-07 11:57:36 CEST","placement","done"
"2026-07-07 11:57:36 CEST","cts","start"
"2026-07-07 12:03:42 CEST","cts","done"
"2026-07-07 12:03:42 CEST","route","start"
"2026-07-07 12:43:11 CEST","route","fail"
