tile,ns,nf,instance,llx,lly,urx,ury,center_x,center_y,leaf_count,bbox_source,expected_llx,expected_lly,expected_urx,expected_ury,dx,dy,status
0_0,0,0,u_core_gen_pd_row[0].gen_pd_col[0].u_pd,407.12,405.44,446.88,450.24,427.0,427.84,25,hier_leaf_aggregate,50.4,235.2,87.9,272.7,357.85,173.89,OUTSIDE_TILE_REGION
0_1,0,1,u_core_gen_pd_row[0].gen_pd_col[1].u_pd,329.28,409.92,379.12,450.24,354.2,430.08,25,hier_leaf_aggregate,50.4,272.7,87.9,310.2,285.05,138.63,OUTSIDE_TILE_REGION
0_2,0,2,u_core_gen_pd_row[0].gen_pd_col[2].u_pd,425.6,463.68,477.12,530.88,451.36,497.28,26,hier_leaf_aggregate,50.4,310.2,87.9,347.7,382.21,168.33,OUTSIDE_TILE_REGION
0_3,0,3,u_core_gen_pd_row[0].gen_pd_col[3].u_pd,388.08,441.28,444.08,481.6,416.08,461.44,25,hier_leaf_aggregate,50.4,347.7,87.9,385.2,346.93,94.99,OUTSIDE_TILE_REGION
0_4,0,4,u_core_gen_pd_row[0].gen_pd_col[4].u_pd,105.84,436.8,174.16,463.68,140.0,450.24,30,hier_leaf_aggregate,50.4,385.2,87.9,422.7,70.85,46.29,OUTSIDE_TILE_REGION
0_5,0,5,u_core_gen_pd_row[0].gen_pd_col[5].u_pd,220.08,409.92,266.56,459.2,243.32,434.56,25,hier_leaf_aggregate,50.4,422.7,87.9,460.2,174.17,-6.89,OUTSIDE_TILE_REGION
0_6,0,6,u_core_gen_pd_row[0].gen_pd_col[6].u_pd,25.2,432.32,86.8,472.64,56.0,452.48,30,hier_leaf_aggregate,50.4,460.2,87.9,497.7,-13.15,-26.47,OK
0_7,0,7,u_core_gen_pd_row[0].gen_pd_col[7].u_pd,136.64,427.84,198.24,481.6,167.44,454.72,25,hier_leaf_aggregate,50.4,497.7,87.9,535.2,98.29,-61.73,OUTSIDE_TILE_REGION
1_0,1,0,u_core_gen_pd_row[1].gen_pd_col[0].u_pd,428.4,669.76,497.28,710.08,462.84,689.92,25,hier_leaf_aggregate,87.9,235.2,125.4,272.7,356.19,435.97,OUTSIDE_TILE_REGION
1_1,1,1,u_core_gen_pd_row[1].gen_pd_col[1].u_pd,337.12,566.72,369.6,674.24,353.36,620.48,30,hier_leaf_aggregate,87.9,272.7,125.4,310.2,246.71,329.03,OUTSIDE_TILE_REGION
