timestamp,stage,status
"2026-08-24 15:18:21 CEST","source_gate","start"
"2026-08-24 15:18:21 CEST","source_gate","done"
"2026-08-24 15:18:21 CEST","import_mmmc","start"
"2026-08-24 15:18:25 CEST","import_mmmc","done"
"2026-08-24 15:18:25 CEST","post_import_gate","start"
"2026-08-24 15:18:25 CEST","post_import_gate","done"
"2026-08-24 15:18:25 CEST","post_import_tc_timing","start"
"2026-08-24 15:18:34 CEST","post_import_tc_timing","done"
"2026-08-24 15:18:34 CEST","floorplan","start"
"2026-08-24 15:18:37 CEST","floorplan","done"
"2026-08-24 15:18:37 CEST","io_placement","start"
"2026-08-24 15:18:37 CEST","io_placement","done"
"2026-08-24 15:18:37 CEST","ro_macro_placement","start"
"2026-08-24 15:18:37 CEST","ro_macro_placement","done"
"2026-08-24 15:18:37 CEST","pg_connectivity","start"
"2026-08-24 15:18:37 CEST","pg_connectivity","done"
"2026-08-24 15:18:37 CEST","pd_matrix_placement","start"
"2026-08-24 15:18:40 CEST","pd_matrix_placement","done"
"2026-08-24 15:18:40 CEST","phase_buffer_placement","start"
"2026-08-24 15:18:43 CEST","phase_buffer_placement","done"
"2026-08-24 15:18:43 CEST","row_infrastructure","start"
"2026-08-24 15:18:43 CEST","row_infrastructure","done"
"2026-08-24 15:18:43 CEST","placement","start"
"2026-08-24 15:23:02 CEST","placement","done"
"2026-08-24 15:23:02 CEST","cts","start"
"2026-08-24 15:29:27 CEST","cts","done"
"2026-08-24 15:29:27 CEST","route","start"
"2026-08-24 15:29:52 CEST","route","fail"
