idx	marker_handle	box	layer	type	subType	message
1	0x7f1e0f90dc10	{476.14 550.01 476.42 550.39}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_4 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
2	0x7f1e0f90dc40	{476.7 556.17 476.98 556.55}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_4 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
3	0x7f1e0f90dc70	{480.06 574.09 480.34 574.47}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_4 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
4	0x7f1e0f90dca0	{483.98 567.93 484.26 568.31}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_4 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
5	0x7f1e0f90da30	{476.14 550.01 476.21 550.39}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_4 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][352] Type: Metal Short # -1 -1 9 2 : 476.1400 550.0100 476.2100 550.3900 1: 476.1400 550.0100 476.2100 550.3900 1
6	0x7f1e0f90d160	{476.7 556.17 476.98 556.42}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_4 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][352] Type: Metal Short # -1 -1 9 2 : 476.7000 556.1700 476.9800 556.4200 1: 476.7000 556.1700 476.9800 556.4200 1
7	0x7f1e0f90d190	{480.06 574.09 480.34 574.34}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_4 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][357] Type: Metal Short # -1 -1 9 2 : 480.0600 574.0900 480.3400 574.3400 1: 480.0600 574.0900 480.3400 574.3400 1
8	0x7f1e0f90d1c0	{483.98 567.93 484.05 568.31}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_4 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][357] Type: Metal Short # -1 -1 9 2 : 483.9800 567.9300 484.0500 568.3100 1: 483.9800 567.9300 484.0500 568.3100 1
9	0x7f1e0f90d1f0	{476.14 549.805 476.42 550.01}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_4 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][352] Actual: 0.205000 Required: 0.230000 Type: ParallelRunLength Spacing # 205 230 3 2 : 476.1400 549.4300 476.4200 549.8050 1: 476.1400 550.0100 476.4200 550.2900 1     LEF Description:  SPACING 0.230000 
10	0x7f1e0f90d220	{476.42 550.14 476.5 550.39}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_4 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][352] Actual: 0.080000 Required: 0.230000 Type: ParallelRunLength Spacing # 80 230 3 2 : 476.1400 550.1100 476.4200 550.3900 1: 476.5000 550.1400 476.7500 550.3900 1     LEF Description:  SPACING 0.230000 
11	0x7f1e0f90d250	{476.7 556.55 476.84 556.755}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_4 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][352] Actual: 0.205000 Required: 0.230000 Type: ParallelRunLength Spacing # 205 230 3 2 : 476.4650 556.7550 476.8400 557.1300 1: 476.7000 556.2700 476.9800 556.5500 1     LEF Description:  SPACING 0.230000 
