timestamp,stage,status
"2026-08-24 15:41:43 CEST","source_gate","start"
"2026-08-24 15:41:43 CEST","source_gate","done"
"2026-08-24 15:41:43 CEST","import_mmmc","start"
"2026-08-24 15:41:47 CEST","import_mmmc","done"
"2026-08-24 15:41:47 CEST","post_import_gate","start"
"2026-08-24 15:41:47 CEST","post_import_gate","done"
"2026-08-24 15:41:47 CEST","post_import_tc_timing","start"
"2026-08-24 15:41:56 CEST","post_import_tc_timing","done"
"2026-08-24 15:41:56 CEST","floorplan","start"
"2026-08-24 15:41:58 CEST","floorplan","done"
"2026-08-24 15:41:58 CEST","io_placement","start"
"2026-08-24 15:41:59 CEST","io_placement","done"
"2026-08-24 15:41:59 CEST","ro_macro_placement","start"
"2026-08-24 15:41:59 CEST","ro_macro_placement","done"
"2026-08-24 15:41:59 CEST","pg_connectivity","start"
"2026-08-24 15:41:59 CEST","pg_connectivity","done"
"2026-08-24 15:41:59 CEST","pd_matrix_placement","start"
"2026-08-24 15:42:02 CEST","pd_matrix_placement","done"
"2026-08-24 15:42:02 CEST","phase_buffer_placement","start"
"2026-08-24 15:42:05 CEST","phase_buffer_placement","done"
"2026-08-24 15:42:05 CEST","row_infrastructure","start"
"2026-08-24 15:42:05 CEST","row_infrastructure","done"
"2026-08-24 15:42:05 CEST","placement","start"
"2026-08-24 15:46:11 CEST","placement","done"
"2026-08-24 15:46:11 CEST","cts","start"
"2026-08-24 15:52:04 CEST","cts","done"
"2026-08-24 15:52:04 CEST","route","start"
"2026-08-24 15:58:42 CEST","route","fail"
