tile,ns,nf,instance,llx,lly,urx,ury,center_x,center_y,leaf_count,bbox_source,expected_llx,expected_lly,expected_urx,expected_ury,dx,dy,status
0_0,0,0,u_core_gen_pd_row[0].gen_pd_col[0].u_pd,295.68,73.92,348.88,118.72,322.28,96.32,25,hier_leaf_aggregate,50.4,291.2,87.9,328.7,253.13,-213.63,OUTSIDE_TILE_REGION
0_1,0,1,u_core_gen_pd_row[0].gen_pd_col[1].u_pd,221.2,82.88,273.84,123.2,247.52,103.04,25,hier_leaf_aggregate,50.4,328.7,87.9,366.2,178.37,-244.41,OUTSIDE_TILE_REGION
0_2,0,2,u_core_gen_pd_row[0].gen_pd_col[2].u_pd,552.16,150.08,603.68,181.44,577.92,165.76,26,hier_leaf_aggregate,50.4,366.2,87.9,403.7,508.77,-219.19,OUTSIDE_TILE_REGION
0_3,0,3,u_core_gen_pd_row[0].gen_pd_col[3].u_pd,526.96,172.48,593.6,217.28,560.28,194.88,25,hier_leaf_aggregate,50.4,403.7,87.9,441.2,491.13,-227.57,OUTSIDE_TILE_REGION
0_4,0,4,u_core_gen_pd_row[0].gen_pd_col[4].u_pd,440.16,73.92,486.64,127.68,463.4,100.8,30,hier_leaf_aggregate,50.4,441.2,87.9,478.7,394.25,-359.15,OUTSIDE_TILE_REGION
0_5,0,5,u_core_gen_pd_row[0].gen_pd_col[5].u_pd,435.68,172.48,480.48,203.84,458.08,188.16,25,hier_leaf_aggregate,50.4,478.7,87.9,516.2,388.93,-309.29,OUTSIDE_TILE_REGION
0_6,0,6,u_core_gen_pd_row[0].gen_pd_col[6].u_pd,110.88,235.2,173.04,271.04,141.96,253.12,30,hier_leaf_aggregate,50.4,516.2,87.9,553.7,72.81,-281.83,OUTSIDE_TILE_REGION
0_7,0,7,u_core_gen_pd_row[0].gen_pd_col[7].u_pd,220.64,221.76,277.2,266.56,248.92,244.16,25,hier_leaf_aggregate,50.4,553.7,87.9,591.2,179.77,-328.29,OUTSIDE_TILE_REGION
1_0,1,0,u_core_gen_pd_row[1].gen_pd_col[0].u_pd,296.24,87.36,355.04,123.2,325.64,105.28,25,hier_leaf_aggregate,87.9,291.2,125.4,328.7,218.99,-204.67,OUTSIDE_TILE_REGION
1_1,1,1,u_core_gen_pd_row[1].gen_pd_col[1].u_pd,220.64,96.32,267.68,154.56,244.16,125.44,31,hier_leaf_aggregate,87.9,328.7,125.4,366.2,137.51,-222.01,OUTSIDE_TILE_REGION
