family,tap,metric,unit,count,min,max,mean,absolute_spread,percentage_spread,worst_tap,best_tap
slow,ALL,raw_route_length_um,um,8,100.000000,107.000000,103.500000,7.000000,6.763,7,0
slow,ALL,raw_total_cap_pf,pf,8,0.020000,0.020000,0.020000,0.000000,0.0,0,0
slow,ALL,isolation_route_length_um,um,8,101.000000,108.000000,104.500000,7.000000,6.699,7,0
slow,ALL,isolation_total_cap_pf,pf,8,0.024000,0.024000,0.024000,0.000000,0.0,0,0
slow,ALL,buffered_route_length_um,um,8,102.000000,109.000000,105.500000,7.000000,6.635,7,0
slow,ALL,buffered_total_cap_pf,pf,8,0.030000,0.030000,0.030000,0.000000,0.0,0,0
slow,ALL,buffered_wire_cap_pf,pf,8,0.012000,0.012000,0.012000,0.000000,0.0,0,0
slow,ALL,buffered_pin_cap_pf,pf,8,0.018000,0.018000,0.018000,0.000000,0.0,0,0
slow,ALL,buffered_res_ohm,ohm,8,10.000000,10.000000,10.000000,0.000000,0.0,0,0
fast,ALL,raw_route_length_um,um,8,100.000000,107.000000,103.500000,7.000000,6.763,7,0
fast,ALL,raw_total_cap_pf,pf,8,0.020000,0.020000,0.020000,0.000000,0.0,0,0
fast,ALL,isolation_route_length_um,um,8,101.000000,108.000000,104.500000,7.000000,6.699,7,0
fast,ALL,isolation_total_cap_pf,pf,8,0.024000,0.024000,0.024000,0.000000,0.0,0,0
fast,ALL,buffered_route_length_um,um,8,102.000000,109.000000,105.500000,7.000000,6.635,7,0
fast,ALL,buffered_total_cap_pf,pf,8,0.030000,0.030000,0.030000,0.000000,0.0,0,0
fast,ALL,buffered_wire_cap_pf,pf,8,0.012000,0.012000,0.012000,0.000000,0.0,0,0
fast,ALL,buffered_pin_cap_pf,pf,8,0.018000,0.018000,0.018000,0.000000,0.0,0,0
fast,ALL,buffered_res_ohm,ohm,8,10.000000,10.000000,10.000000,0.000000,0.0,0,0
