idx	marker_handle	box	layer	type	subType	message
1	0x7f51aa3c8080	{20.5 474.66 21.5 475.66}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net input_sel_i[0] Actual: 1534.517000 Required: 380.000000 Type: Antenna Side Area Ratio # 1534517 380000 50 0 PIN: g154__6783 (MU2JIHDX2) S  LAYER MET3: Area(322.6752) S.Area(1303.7262) G.Area(0.8496) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (1534.5176 / 380.0000) 
2	0x7f51aa3c8290	{681.86 460.66 682.86 461.66}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[1] Actual: 578.369000 Required: 380.000000 Type: Antenna Side Area Ratio # 578369 380000 50 0 PIN: u_core_g79664 (ON22JIHDX0) C  LAYER MET3: Area(135.0864) S.Area(546.0386) G.Area(0.9441) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (578.3694 / 380.0000) 
3	0x7f51aa3c82c0	{682.42 460.66 683.42 461.66}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[0] Actual: 777.708000 Required: 380.000000 Type: Antenna Side Area Ratio # 777708 380000 50 0 PIN: u_core_g79664 (ON22JIHDX0) A  LAYER MET3: Area(141.8288) S.Area(573.2490) G.Area(0.7371) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (777.7086 / 380.0000) 
4	0x7f51aa3c82f0	{685.78 461.22 686.78 462.22}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[1] Actual: 578.369000 Required: 380.000000 Type: Antenna Side Area Ratio # 578369 380000 50 0 PIN: u_core_g80417 (NA2JIHDX1) B  LAYER MET3: Area(135.0864) S.Area(546.0386) G.Area(0.9441) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (578.3694 / 380.0000) 
5	0x7f51aa3c8320	{686.9 443.3 687.9 444.3}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[1] Actual: 578.369000 Required: 380.000000 Type: Antenna Side Area Ratio # 578369 380000 50 0 PIN: u_core_g71578 (AO222JIHDX0) E  LAYER MET3: Area(135.0864) S.Area(546.0386) G.Area(0.9441) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (578.3694 / 380.0000) 
6	0x7f51aa3c83b0	{691.38 443.3 692.38 444.3}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[1] Actual: 578.369000 Required: 380.000000 Type: Antenna Side Area Ratio # 578369 380000 50 0 PIN: u_core_g80072 (OR3JIHDX0) C  LAYER MET3: Area(135.0864) S.Area(546.0386) G.Area(0.9441) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (578.3694 / 380.0000) 
7	0x7f51aa3c83e0	{692.5 441.62 693.5 442.62}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[3] Actual: 462.733000 Required: 380.000000 Type: Antenna Side Area Ratio # 462733 380000 50 0 PIN: u_core_g80072 (OR3JIHDX0) B  LAYER MET3: Area(132.1576) S.Area(533.9024) G.Area(1.1538) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (462.7339 / 380.0000) 
8	0x7f51aa3c8440	{693.06 443.86 694.06 444.86}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[2] Actual: 584.490000 Required: 380.000000 Type: Antenna Side Area Ratio # 584490 380000 50 0 PIN: u_core_g80072 (OR3JIHDX0) A  LAYER MET3: Area(134.3024) S.Area(542.8746) G.Area(0.9288) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (584.4903 / 380.0000) 
9	0x7f51aa3c84a0	{695.3 446.66 696.3 447.66}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[2] Actual: 584.490000 Required: 380.000000 Type: Antenna Side Area Ratio # 584490 380000 50 0 PIN: u_core_g80485 (NA2I1JIHDX1) B  LAYER MET3: Area(134.3024) S.Area(542.8746) G.Area(0.9288) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (584.4903 / 380.0000) 
10	0x7f51aa3c8530	{697.54 443.3 698.54 444.3}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[3] Actual: 462.733000 Required: 380.000000 Type: Antenna Side Area Ratio # 462733 380000 50 0 PIN: u_core_g71580 (AO222JIHDX0) E  LAYER MET3: Area(132.1576) S.Area(533.9024) G.Area(1.1538) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (462.7339 / 380.0000) 
11	0x7f51aa3c8560	{698.1 451.7 699.1 452.7}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[3] Actual: 462.733000 Required: 380.000000 Type: Antenna Side Area Ratio # 462733 380000 50 0 PIN: u_core_g80434 (NO2I1JIHDX1) B  LAYER MET3: Area(132.1576) S.Area(533.9024) G.Area(1.1538) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (462.7339 / 380.0000) 
12	0x7f51aa3c85c0	{700.9 447.78 701.9 448.78}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[2] Actual: 584.490000 Required: 380.000000 Type: Antenna Side Area Ratio # 584490 380000 50 0 PIN: u_core_g79862 (NA3I1JIHDX1) AN  LAYER MET3: Area(134.3024) S.Area(542.8746) G.Area(0.9288) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (584.4903 / 380.0000) 
13	0x7f51aa3c85f0	{702.02 452.26 703.02 453.26}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[3] Actual: 462.733000 Required: 380.000000 Type: Antenna Side Area Ratio # 462733 380000 50 0 PIN: u_core_g80510 (NA2I1JIHDX1) B  LAYER MET3: Area(132.1576) S.Area(533.9024) G.Area(1.1538) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (462.7339 / 380.0000) 
14	0x7f51aa3c89b0	{48.0 681.16 48.0 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
15	0x7f51aa3c8a10	{221.75 681.16 221.75 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
16	0x7f51aa3c8aa0	{48.0 685.16 48.0 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
17	0x7f51aa3c8b00	{221.75 685.16 221.75 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
18	0x7f51aa3c8b60	{125.16 721.75 125.16 721.75}	METTP	Connectivity	ConnectivityAntenna	Net VSS
19	0x7f51aa3c80b0	{671.78 228.26 672.78 229.26}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net ro_slow_code_i[2] Actual: 2666.623000 Required: 380.000000 Type: Antenna Side Area Ratio # 2666623 380000 50 0 PIN: u_core_g76775 (MU2JIHDX0) IN0  LAYER MET3: Area(135.4504) S.Area(547.1912) G.Area(0.2052) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2666.6238 / 380.0000) 
20	0x7f51aa3c80e0	{672.34 219.3 673.34 220.3}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net ro_slow_code_i[3] Actual: 2697.461000 Required: 380.000000 Type: Antenna Side Area Ratio # 2697461 380000 50 0 PIN: u_core_g76774 (MU2JIHDX0) IN0  LAYER MET3: Area(137.0184) S.Area(553.5192) G.Area(0.2052) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2697.4620 / 380.0000) 
21	0x7f51aa3c8110	{672.9 214.26 673.9 215.26}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net ro_slow_code_i[6] Actual: 2648.671000 Required: 380.000000 Type: Antenna Side Area Ratio # 2648671 380000 50 0 PIN: u_core_g76772 (MU2JIHDX0) IN0  LAYER MET3: Area(134.4592) S.Area(543.5074) G.Area(0.2052) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2648.6715 / 380.0000) 
22	0x7f51aa3c8140	{674.02 196.34 675.02 197.34}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net ro_slow_code_i[7] Actual: 2611.114000 Required: 380.000000 Type: Antenna Side Area Ratio # 2611114 380000 50 0 PIN: u_core_g76770 (MU2JIHDX0) IN0  LAYER MET3: Area(132.6280) S.Area(535.8008) G.Area(0.2052) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2611.1150 / 380.0000) 
23	0x7f51aa3c8170	{674.58 183.46 675.58 184.46}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net ro_fast_code_i[4] Actual: 2647.570000 Required: 380.000000 Type: Antenna Side Area Ratio # 2647570 380000 50 0 PIN: u_core_g76783 (MU2JIHDX0) IN0  LAYER MET3: Area(134.5600) S.Area(543.2814) G.Area(0.2052) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2647.5702 / 380.0000) 
24	0x7f51aa3c81a0	{676.26 201.38 677.26 202.38}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net ro_fast_code_i[2] Actual: 2678.408000 Required: 380.000000 Type: Antenna Side Area Ratio # 2678408 380000 50 0 PIN: u_core_g76779 (MU2JIHDX0) IN0  LAYER MET3: Area(136.1280) S.Area(549.6094) G.Area(0.2052) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2678.4084 / 380.0000) 
25	0x7f51aa3c81d0	{676.82 187.38 677.82 188.38}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net ro_slow_code_i[5] Actual: 2632.701000 Required: 380.000000 Type: Antenna Side Area Ratio # 2632701 380000 50 0 PIN: u_core_g76773 (MU2JIHDX0) IN0  LAYER MET3: Area(133.7256) S.Area(540.2304) G.Area(0.2052) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2632.7017 / 380.0000) 
26	0x7f51aa3c8200	{678.5 205.3 679.5 206.3}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net ro_fast_code_i[7] Actual: 2607.480000 Required: 380.000000 Type: Antenna Side Area Ratio # 2607480 380000 50 0 PIN: u_core_g76778 (MU2JIHDX0) IN0  LAYER MET3: Area(132.5216) S.Area(535.0550) G.Area(0.2052) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2607.4805 / 380.0000) 
27	0x7f51aa3c8230	{680.18 183.46 681.18 184.46}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net ro_fast_code_i[0] Actual: 2666.623000 Required: 380.000000 Type: Antenna Side Area Ratio # 2666623 380000 50 0 PIN: u_core_g76769 (MU2JIHDX0) IN0  LAYER MET3: Area(135.4504) S.Area(547.1912) G.Area(0.2052) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (2666.6238 / 380.0000) 
