idx	marker_handle	box	layer	type	subType	message
1	0x7fd77ae32620	{125.16 648.32 125.16 648.32}	METTP	Connectivity	ConnectivityAntenna	Net VSS
2	0x7fd77ae32650	{125.16 721.75 125.16 721.75}	METTP	Connectivity	ConnectivityAntenna	Net VSS
3	0x7fd77ae32680	{205.16 648.32 205.16 648.32}	METTP	Connectivity	ConnectivityAntenna	Net VSS
4	0x7fd77ae326b0	{205.16 723.62 205.16 723.62}	METTP	Connectivity	ConnectivityAntenna	Net VSS
5	0x7fd77ae326e0	{48.0 685.16 48.0 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
6	0x7fd77ae32710	{221.75 685.16 221.75 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
7	0x7fd77ae32740	{50.41 691.915 52.09 693.585}	METTP	Connectivity	UnConnectedPin	Net VSS Pin: u_core_u_osc_slow_u_ro_tune4/VSS; Direction: INOUT; Use: GROUND;
8	0x7fd77ae32770	{121.16 648.32 121.16 648.32}	METTP	Connectivity	ConnectivityAntenna	Net VDD
9	0x7fd77ae327a0	{121.16 721.75 121.16 721.75}	METTP	Connectivity	ConnectivityAntenna	Net VDD
10	0x7fd77ae327d0	{201.16 648.32 201.16 648.32}	METTP	Connectivity	ConnectivityAntenna	Net VDD
11	0x7fd77ae32800	{201.16 723.62 201.16 723.62}	METTP	Connectivity	ConnectivityAntenna	Net VDD
12	0x7fd77ae32830	{48.0 681.16 48.0 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
13	0x7fd77ae32860	{221.75 681.16 221.75 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
14	0x7fd77ae32890	{50.405 707.285 52.435 709.12}	MET3	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_osc_slow_u_ro_tune4/VDD; Direction: INOUT; Use: POWER;
15	0x7fd77ae32410	{205.16 233.62 205.16 233.62}	METTP	Connectivity	ConnectivityAntenna	Net VSS
16	0x7fd77ae32560	{201.16 233.62 201.16 233.62}	METTP	Connectivity	ConnectivityAntenna	Net VDD
17	0x7fd763017a90	{219.67 219.67 219.93 219.93}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net u_core_n_65126 Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 219.6600 219.6600 219.9400 219.9400 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
18	0x7fd7630209e0	{231.43 219.67 231.69 219.93}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net u_core_n_65138 Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 231.4200 219.6600 231.7000 220.2090 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
19	0x7fd763020c20	{233.11 216.31 233.37 216.57}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net FE_OFN174_u_core_drain_read_ctx_0 Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 233.1000 216.0310 233.3800 216.5800 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
20	0x7fd763020da0	{233.67 214.63 233.93 214.89}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net u_core_u_ctx_bank_ctx_snapshot_q[0][nfast_hit_packed][100] Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 233.6600 214.6200 233.9400 214.9000 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
21	0x7fd763036950	{219.67 219.67 219.93 219.93}	VIA2	Geometry	Cut_Enclosure	Regular Wire of Net u_core_n_65126 Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 219.6600 219.6600 219.9400 219.9400 2     LEF Description:   ENCLOSURE BELOW   0.010000 0.060000 ;
22	0x7fd763037070	{223.59 219.67 223.85 219.93}	VIA2	Geometry	Cut_Enclosure	Regular Wire of Net u_core_n_65126 Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 223.5800 219.6600 223.8600 220.2090 2     LEF Description:   ENCLOSURE BELOW   0.010000 0.060000 ;
23	0x7fd762e44080	{229.75 216.87 230.01 217.13}	VIA2	Geometry	Cut_Enclosure	Regular Wire of Net u_core_u_ctx_bank_ctx_snapshot_q[0][nfast_hit_packed][100] Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 229.7400 216.8600 230.0200 217.4090 2     LEF Description:   ENCLOSURE BELOW   0.010000 0.060000 ;
24	0x7fd762e44290	{230.31 214.63 230.57 214.89}	VIA2	Geometry	Cut_Enclosure	Regular Wire of Net u_core_u_ctx_bank_ctx_snapshot_q[0][nfast_hit_packed][100] Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 230.3000 214.6200 230.5800 215.1690 2     LEF Description:   ENCLOSURE BELOW   0.010000 0.060000 ;
