candidate,run_id,rc,strict_pg_clean,strict_pg_reasons,drc,shorts,regular_bad,special_bad,special_raw_bad,special_filter_status,special_filtered_ro,special_non_ro,unrouted,route_gate_pass,checkpoint,status_report
corepin_ring,20260824_mptdc_bufftap0_pgsweep_125418_corepin_ring,0,FAIL,shorts_46+special_raw_1+special_bad_1+drc_144,144,46,1,1,1,FAIL,4,34,UNKNOWN,0,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_corepin_ring/checkpoints/repaired_route.enc.dat,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_corepin_ring/reports/checkpoint_repair_status.rpt
corepin_first_after_row_end,20260824_mptdc_bufftap0_pgsweep_125418_corepin_first_after_row_end,0,FAIL,shorts_46+special_raw_1+special_bad_1+drc_144,144,46,1,1,1,FAIL,4,34,UNKNOWN,0,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_corepin_first_after_row_end/checkpoints/repaired_route.enc.dat,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_corepin_first_after_row_end/reports/checkpoint_repair_status.rpt
core_block_ring,20260824_mptdc_bufftap0_pgsweep_125418_core_block_ring,0,FAIL,shorts_46+special_raw_1+special_bad_1+drc_144,144,46,1,1,1,FAIL,0,34,UNKNOWN,0,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_ring/checkpoints/repaired_route.enc.dat,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_ring/reports/checkpoint_repair_status.rpt
core_block_pad_ring,20260824_mptdc_bufftap0_pgsweep_125418_core_block_pad_ring,0,FAIL,shorts_46+special_raw_1+special_bad_1+drc_144,144,46,1,1,1,FAIL,0,34,UNKNOWN,0,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_pad_ring/checkpoints/repaired_route.enc.dat,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_pad_ring/reports/checkpoint_repair_status.rpt
core_block_via_closest,20260824_mptdc_bufftap0_pgsweep_125418_core_block_via_closest,0,FAIL,shorts_46+special_raw_1+special_bad_1+drc_144,144,46,1,1,1,FAIL,0,34,UNKNOWN,0,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_via_closest/checkpoints/repaired_route.enc.dat,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_via_closest/reports/checkpoint_repair_status.rpt
core_block_connect_broken,20260824_mptdc_bufftap0_pgsweep_125418_core_block_connect_broken,0,FAIL,shorts_46+special_raw_1+special_bad_1+drc_144,144,46,1,1,1,FAIL,0,34,UNKNOWN,0,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_connect_broken/checkpoints/repaired_route.enc.dat,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_connect_broken/reports/checkpoint_repair_status.rpt
core_block_pin_width,20260824_mptdc_bufftap0_pgsweep_125418_core_block_pin_width,0,FAIL,shorts_46+special_raw_1+special_bad_1+drc_144,144,46,1,1,1,FAIL,0,34,UNKNOWN,0,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_pin_width/checkpoints/repaired_route.enc.dat,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_pin_width/reports/checkpoint_repair_status.rpt
core_block_pin_corners,20260824_mptdc_bufftap0_pgsweep_125418_core_block_pin_corners,0,FAIL,shorts_46+special_raw_1+special_bad_1+drc_144,144,46,1,1,1,FAIL,0,34,UNKNOWN,0,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_pin_corners/checkpoints/repaired_route.enc.dat,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_pin_corners/reports/checkpoint_repair_status.rpt
core_block_target_80,20260824_mptdc_bufftap0_pgsweep_125418_core_block_target_80,0,FAIL,shorts_46+special_raw_1+special_bad_1+drc_144,144,46,1,1,1,FAIL,0,34,UNKNOWN,0,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_target_80/checkpoints/repaired_route.enc.dat,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_target_80/reports/checkpoint_repair_status.rpt
core_block_target_250,20260824_mptdc_bufftap0_pgsweep_125418_core_block_target_250,0,FAIL,shorts_46+special_raw_1+special_bad_1+drc_144,144,46,1,1,1,FAIL,0,34,UNKNOWN,0,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_target_250/checkpoints/repaired_route.enc.dat,/sim/ksabra/SPADMIC_work/innovus/20260824_mptdc_bufftap0_pgsweep_125418_core_block_target_250/reports/checkpoint_repair_status.rpt
