timestamp,stage,status
"2026-08-24 13:51:43 CEST","source_gate","start"
"2026-08-24 13:51:43 CEST","source_gate","done"
"2026-08-24 13:51:43 CEST","import_mmmc","start"
"2026-08-24 13:51:47 CEST","import_mmmc","done"
"2026-08-24 13:51:47 CEST","post_import_gate","start"
"2026-08-24 13:51:47 CEST","post_import_gate","done"
"2026-08-24 13:51:47 CEST","post_import_tc_timing","start"
"2026-08-24 13:51:56 CEST","post_import_tc_timing","done"
"2026-08-24 13:51:56 CEST","floorplan","start"
"2026-08-24 13:51:59 CEST","floorplan","done"
"2026-08-24 13:51:59 CEST","io_placement","start"
"2026-08-24 13:51:59 CEST","io_placement","done"
"2026-08-24 13:51:59 CEST","ro_macro_placement","start"
"2026-08-24 13:51:59 CEST","ro_macro_placement","done"
"2026-08-24 13:51:59 CEST","pg_connectivity","start"
"2026-08-24 13:51:59 CEST","pg_connectivity","done"
"2026-08-24 13:51:59 CEST","pd_matrix_placement","start"
"2026-08-24 13:52:02 CEST","pd_matrix_placement","done"
"2026-08-24 13:52:02 CEST","phase_buffer_placement","start"
"2026-08-24 13:52:05 CEST","phase_buffer_placement","done"
"2026-08-24 13:52:05 CEST","row_infrastructure","start"
"2026-08-24 13:52:05 CEST","row_infrastructure","done"
"2026-08-24 13:52:05 CEST","placement","start"
"2026-08-24 13:56:17 CEST","placement","done"
"2026-08-24 13:56:17 CEST","cts","start"
"2026-08-24 14:03:36 CEST","cts","done"
"2026-08-24 14:03:36 CEST","route","start"
"2026-08-24 14:04:01 CEST","route","done"
