timestamp,stage,status
"2026-08-24 14:37:55 CEST","source_gate","start"
"2026-08-24 14:37:55 CEST","source_gate","done"
"2026-08-24 14:37:55 CEST","import_mmmc","start"
"2026-08-24 14:37:59 CEST","import_mmmc","done"
"2026-08-24 14:37:59 CEST","post_import_gate","start"
"2026-08-24 14:37:59 CEST","post_import_gate","done"
"2026-08-24 14:37:59 CEST","post_import_tc_timing","start"
"2026-08-24 14:38:09 CEST","post_import_tc_timing","done"
"2026-08-24 14:38:09 CEST","floorplan","start"
"2026-08-24 14:38:11 CEST","floorplan","done"
"2026-08-24 14:38:11 CEST","io_placement","start"
"2026-08-24 14:38:11 CEST","io_placement","done"
"2026-08-24 14:38:11 CEST","ro_macro_placement","start"
"2026-08-24 14:38:11 CEST","ro_macro_placement","done"
"2026-08-24 14:38:11 CEST","pg_connectivity","start"
"2026-08-24 14:38:11 CEST","pg_connectivity","done"
"2026-08-24 14:38:11 CEST","pd_matrix_placement","start"
"2026-08-24 14:38:14 CEST","pd_matrix_placement","done"
"2026-08-24 14:38:14 CEST","phase_buffer_placement","start"
"2026-08-24 14:38:17 CEST","phase_buffer_placement","done"
"2026-08-24 14:38:17 CEST","row_infrastructure","start"
"2026-08-24 14:38:17 CEST","row_infrastructure","done"
"2026-08-24 14:38:17 CEST","placement","start"
"2026-08-24 14:42:28 CEST","placement","done"
"2026-08-24 14:42:28 CEST","cts","start"
"2026-08-24 14:49:39 CEST","cts","done"
"2026-08-24 14:49:39 CEST","route","start"
"2026-08-24 14:57:07 CEST","route","fail"
