idx	marker_handle	box	layer	type	subType	message
1	0x7f99a0b59130	{219.58 683.2 219.58 683.2}	MET1	Connectivity	ConnectivityAntenna	Net VDD
2	0x7f99a0b590d0	{219.58 692.16 219.58 692.16}	MET1	Connectivity	ConnectivityAntenna	Net VDD
3	0x7f99a0b59070	{219.58 701.12 219.58 701.12}	MET1	Connectivity	ConnectivityAntenna	Net VDD
4	0x7f99a0b59010	{219.58 710.08 219.58 710.08}	MET1	Connectivity	ConnectivityAntenna	Net VDD
5	0x7f99a0b58fb0	{221.75 681.16 221.75 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
6	0x7f99a0b58e90	{219.58 669.76 219.58 669.76}	MET1	Connectivity	ConnectivityAntenna	Net VSS
7	0x7f99a0b58e60	{221.75 685.16 221.75 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
8	0x7f9a2ce07130	{219.94 657.915 219.96 658.645}	MET2	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_n_65559 & Special Wire of Net VDD Actual: 0.020000 Required: 0.280000 Type: ParallelRunLength Spacing # 20 280 3 2 : 219.9600 657.9150 220.7600 658.6450 2: 219.6600 657.9150 219.9400 658.6450 2
9	0x7f9a2ce07280	{146.78 650.72 147.22 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[1] Type: Metal Short # -1 -1 9 2 : 146.5600 650.5000 147.4400 652.6300 4: 146.5600 650.5000 147.4400 652.6300 4
10	0x7f9a2ce072e0	{162.935 650.72 163.375 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[5] Type: Metal Short # -1 -1 9 2 : 162.7150 650.5000 163.5950 652.6300 4: 162.7150 650.5000 163.5950 652.6300 4
11	0x7f9a2ce07340	{166.94 650.72 167.38 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[3] Type: Metal Short # -1 -1 9 2 : 166.7200 650.5000 167.6000 652.6300 4: 166.7200 650.5000 167.6000 652.6300 4
12	0x7f9a2ce073a0	{183.74 650.72 184.18 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[7] Type: Metal Short # -1 -1 9 2 : 183.5200 650.5000 184.4000 652.6300 4: 183.5200 650.5000 184.4000 652.6300 4
13	0x7f9a2ce07400	{188.22 650.72 188.66 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[2] Type: Metal Short # -1 -1 9 2 : 188.0000 650.5000 188.8800 652.6300 4: 188.0000 650.5000 188.8800 652.6300 4
14	0x7f9a2ce07460	{203.9 650.72 204.34 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[6] Type: Metal Short # -1 -1 9 2 : 203.6800 650.5000 204.5600 652.6300 4: 203.6800 650.5000 204.5600 652.6300 4
15	0x7f99a0b59190	{50.17 665.28 50.17 665.28}	MET1	Connectivity	ConnectivityAntenna	Net VDD
16	0x7f99a0b59160	{50.17 674.24 50.17 674.24}	MET1	Connectivity	ConnectivityAntenna	Net VDD
17	0x7f99a0b59100	{50.17 683.2 50.17 683.2}	MET1	Connectivity	ConnectivityAntenna	Net VDD
18	0x7f99a0b590a0	{50.17 692.16 50.17 692.16}	MET1	Connectivity	ConnectivityAntenna	Net VDD
19	0x7f99a0b59040	{50.17 701.12 50.17 701.12}	MET1	Connectivity	ConnectivityAntenna	Net VDD
20	0x7f99a0b58fe0	{50.17 710.08 50.17 710.08}	MET1	Connectivity	ConnectivityAntenna	Net VDD
21	0x7f99a0b58f80	{48.0 681.16 48.0 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
22	0x7f99a0b58e30	{48.0 685.16 48.0 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
23	0x7f99a0b58d70	{125.16 721.75 125.16 721.75}	METTP	Connectivity	ConnectivityAntenna	Net VSS
24	0x7f9a2ce071c0	{114.3 650.72 114.74 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_fe_osc_slow_en Type: Metal Short # -1 -1 9 2 : 114.0800 650.5000 114.9600 652.6300 4: 114.0800 650.5000 114.9600 652.6300 4
