idx	marker_handle	box	layer	type	subType	message
1	0x7f99a0b59130	{219.58 683.2 219.58 683.2}	MET1	Connectivity	ConnectivityAntenna	Net VDD
2	0x7f99a0b590d0	{219.58 692.16 219.58 692.16}	MET1	Connectivity	ConnectivityAntenna	Net VDD
3	0x7f99a0b59070	{219.58 701.12 219.58 701.12}	MET1	Connectivity	ConnectivityAntenna	Net VDD
4	0x7f99a0b59010	{219.58 710.08 219.58 710.08}	MET1	Connectivity	ConnectivityAntenna	Net VDD
5	0x7f99a0b58fb0	{221.75 681.16 221.75 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
6	0x7f99a0b58e90	{219.58 669.76 219.58 669.76}	MET1	Connectivity	ConnectivityAntenna	Net VSS
7	0x7f99a0b58e60	{221.75 685.16 221.75 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
8	0x7f99cf449e80	{219.99 657.86 220.205 659.03}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_n_65559 Actual: 0.215000 Required: 0.230000 Type: ParallelRunLength Spacing # 215 230 3 2 : 220.2050 657.8600 220.4350 659.0300 1: 219.6100 657.8600 219.9900 659.0300 1
9	0x7f9a2ce06110	{219.94 657.635 219.96 658.365}	MET2	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_n_65559 & Special Wire of Net VDD Actual: 0.020000 Required: 0.280000 Type: ParallelRunLength Spacing # 20 280 3 2 : 219.9600 657.6350 220.7600 658.3650 2: 219.6600 657.6350 219.9400 658.3650 2
10	0x7f9a2ce06320	{146.86 650.72 147.14 652.41}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[1] Type: Metal Short # -1 -1 9 2 : 146.7200 650.5800 147.2800 652.5500 3: 146.7200 650.5800 147.2800 652.5500 3
11	0x7f99cf449f70	{163.015 650.72 163.295 652.41}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[5] Type: Metal Short # -1 -1 9 2 : 162.8750 650.5800 163.4350 652.5500 3: 162.8750 650.5800 163.4350 652.5500 3
12	0x7f99cf449d30	{167.335 650.72 167.615 652.41}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[3] Type: Metal Short # -1 -1 9 2 : 167.1950 650.5800 167.7550 652.5500 3: 167.1950 650.5800 167.7550 652.5500 3
13	0x7f9a2ce06080	{183.26 650.72 183.54 652.41}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[7] Type: Metal Short # -1 -1 9 2 : 183.1200 650.5800 183.6800 652.5500 3: 183.1200 650.5800 183.6800 652.5500 3
14	0x7f99cf449a90	{187.91 650.72 188.19 652.41}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[2] Type: Metal Short # -1 -1 9 2 : 187.7700 650.5800 188.3300 652.5500 3: 187.7700 650.5800 188.3300 652.5500 3
15	0x7f9a2ce060e0	{204.135 650.72 204.415 652.41}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[6] Type: Metal Short # -1 -1 9 2 : 203.9950 650.5800 204.5550 652.5500 3: 203.9950 650.5800 204.5550 652.5500 3
16	0x7f99a0b59190	{50.17 665.28 50.17 665.28}	MET1	Connectivity	ConnectivityAntenna	Net VDD
17	0x7f99a0b59160	{50.17 674.24 50.17 674.24}	MET1	Connectivity	ConnectivityAntenna	Net VDD
18	0x7f99a0b59100	{50.17 683.2 50.17 683.2}	MET1	Connectivity	ConnectivityAntenna	Net VDD
19	0x7f99a0b590a0	{50.17 692.16 50.17 692.16}	MET1	Connectivity	ConnectivityAntenna	Net VDD
20	0x7f99a0b59040	{50.17 701.12 50.17 701.12}	MET1	Connectivity	ConnectivityAntenna	Net VDD
21	0x7f99a0b58fe0	{50.17 710.08 50.17 710.08}	MET1	Connectivity	ConnectivityAntenna	Net VDD
22	0x7f99a0b58f80	{48.0 681.16 48.0 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
23	0x7f99a0b58e30	{48.0 685.16 48.0 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
