tile,ns,nf,instance,llx,lly,urx,ury,center_x,center_y,leaf_count,bbox_source,expected_llx,expected_lly,expected_urx,expected_ury,dx,dy,status
0_0,0,0,u_core_gen_pd_row[0].gen_pd_col[0].u_pd,291.2,73.92,355.6,105.28,323.4,89.6,25,hier_leaf_aggregate,50.4,291.2,87.9,328.7,254.25,-220.35,OUTSIDE_TILE_REGION
0_1,0,1,u_core_gen_pd_row[0].gen_pd_col[1].u_pd,222.32,78.4,266.56,118.72,244.44,98.56,25,hier_leaf_aggregate,50.4,328.7,87.9,366.2,175.29,-248.89,OUTSIDE_TILE_REGION
0_2,0,2,u_core_gen_pd_row[0].gen_pd_col[2].u_pd,553.28,154.56,604.8,199.36,579.04,176.96,26,hier_leaf_aggregate,50.4,366.2,87.9,403.7,509.89,-207.99,OUTSIDE_TILE_REGION
0_3,0,3,u_core_gen_pd_row[0].gen_pd_col[3].u_pd,524.72,176.96,591.92,212.8,558.32,194.88,25,hier_leaf_aggregate,50.4,403.7,87.9,441.2,489.17,-227.57,OUTSIDE_TILE_REGION
0_4,0,4,u_core_gen_pd_row[0].gen_pd_col[4].u_pd,444.64,64.96,497.84,114.24,471.24,89.6,30,hier_leaf_aggregate,50.4,441.2,87.9,478.7,402.09,-370.35,OUTSIDE_TILE_REGION
0_5,0,5,u_core_gen_pd_row[0].gen_pd_col[5].u_pd,436.24,168.0,484.96,199.36,460.6,183.68,25,hier_leaf_aggregate,50.4,478.7,87.9,516.2,391.45,-313.77,OUTSIDE_TILE_REGION
0_6,0,6,u_core_gen_pd_row[0].gen_pd_col[6].u_pd,100.8,235.2,169.12,284.48,134.96,259.84,31,hier_leaf_aggregate,50.4,516.2,87.9,553.7,65.81,-275.11,OUTSIDE_TILE_REGION
0_7,0,7,u_core_gen_pd_row[0].gen_pd_col[7].u_pd,209.44,226.24,275.52,280.0,242.48,253.12,25,hier_leaf_aggregate,50.4,553.7,87.9,591.2,173.33,-319.33,OUTSIDE_TILE_REGION
1_0,1,0,u_core_gen_pd_row[1].gen_pd_col[0].u_pd,296.24,82.88,350.56,123.2,323.4,103.04,25,hier_leaf_aggregate,87.9,291.2,125.4,328.7,216.75,-206.91,OUTSIDE_TILE_REGION
1_1,1,1,u_core_gen_pd_row[1].gen_pd_col[1].u_pd,221.2,96.32,274.96,141.12,248.08,118.72,32,hier_leaf_aggregate,87.9,328.7,125.4,366.2,141.43,-228.73,OUTSIDE_TILE_REGION
1_2,1,2,u_core_gen_pd_row[1].gen_pd_col[2].u_pd,525.84,150.08,584.08,190.4,554.96,170.24,26,hier_leaf_aggregate,87.9,366.2,125.4,403.7,448.31,-214.71,OUTSIDE_TILE_REGION
1_3,1,3,u_core_gen_pd_row[1].gen_pd_col[3].u_pd,526.4,194.88,591.92,230.72,559.16,212.8,24,hier_leaf_aggregate,87.9,403.7,125.4,441.2,452.51,-209.65,OUTSIDE_TILE_REGION
1_4,1,4,u_core_gen_pd_row[1].gen_pd_col[4].u_pd,428.4,87.36,487.76,123.2,458.08,105.28,26,hier_leaf_aggregate,87.9,441.2,125.4,478.7,351.43,-354.67,OUTSIDE_TILE_REGION
1_5,1,5,u_core_gen_pd_row[1].gen_pd_col[5].u_pd,427.28,194.88,481.04,235.2,454.16,215.04,25,hier_leaf_aggregate,87.9,478.7,125.4,516.2,347.51,-282.41,OUTSIDE_TILE_REGION
1_6,1,6,u_core_gen_pd_row[1].gen_pd_col[6].u_pd,130.48,235.2,186.48,288.96,158.48,262.08,26,hier_leaf_aggregate,87.9,516.2,125.4,553.7,51.83,-272.87,OUTSIDE_TILE_REGION
1_7,1,7,u_core_gen_pd_row[1].gen_pd_col[7].u_pd,201.04,248.64,280.56,284.48,240.8,266.56,31,hier_leaf_aggregate,87.9,553.7,125.4,591.2,134.15,-305.89,OUTSIDE_TILE_REGION
2_0,2,0,u_core_gen_pd_row[2].gen_pd_col[0].u_pd,295.12,185.92,355.6,235.2,325.36,210.56,25,hier_leaf_aggregate,125.4,291.2,162.9,328.7,181.21,-99.39,OUTSIDE_TILE_REGION
2_1,2,1,u_core_gen_pd_row[2].gen_pd_col[1].u_pd,165.2,266.56,274.4,315.84,219.8,291.2,25,hier_leaf_aggregate,125.4,328.7,162.9,366.2,75.65,-56.25,OUTSIDE_TILE_REGION
2_2,2,2,u_core_gen_pd_row[2].gen_pd_col[2].u_pd,525.28,217.28,580.16,266.56,552.72,241.92,26,hier_leaf_aggregate,125.4,366.2,162.9,403.7,408.57,-143.03,OUTSIDE_TILE_REGION
2_3,2,3,u_core_gen_pd_row[2].gen_pd_col[3].u_pd,526.4,244.16,580.16,315.84,553.28,280.0,25,hier_leaf_aggregate,125.4,403.7,162.9,441.2,409.13,-142.45,OUTSIDE_TILE_REGION
2_4,2,4,u_core_gen_pd_row[2].gen_pd_col[4].u_pd,420.56,221.76,474.32,257.6,447.44,239.68,30,hier_leaf_aggregate,125.4,441.2,162.9,478.7,303.29,-220.27,OUTSIDE_TILE_REGION
2_5,2,5,u_core_gen_pd_row[2].gen_pd_col[5].u_pd,445.76,235.2,483.28,320.32,464.52,277.76,25,hier_leaf_aggregate,125.4,478.7,162.9,516.2,320.37,-219.69,OUTSIDE_TILE_REGION
2_6,2,6,u_core_gen_pd_row[2].gen_pd_col[6].u_pd,113.68,284.48,157.36,324.8,135.52,304.64,30,hier_leaf_aggregate,125.4,516.2,162.9,553.7,-8.63,-230.31,OUTSIDE_TILE_REGION
2_7,2,7,u_core_gen_pd_row[2].gen_pd_col[7].u_pd,192.08,302.4,278.32,333.76,235.2,318.08,25,hier_leaf_aggregate,125.4,553.7,162.9,591.2,91.05,-254.37,OUTSIDE_TILE_REGION
3_0,3,0,u_core_gen_pd_row[3].gen_pd_col[0].u_pd,301.84,378.56,366.8,423.36,334.32,400.96,26,hier_leaf_aggregate,162.9,291.2,200.4,328.7,152.67,91.01,OUTSIDE_TILE_REGION
3_1,3,1,u_core_gen_pd_row[3].gen_pd_col[1].u_pd,189.84,356.16,272.72,400.96,231.28,378.56,25,hier_leaf_aggregate,162.9,328.7,200.4,366.2,49.63,31.11,OUTSIDE_TILE_REGION
3_2,3,2,u_core_gen_pd_row[3].gen_pd_col[2].u_pd,512.4,342.72,553.28,409.92,532.84,376.32,26,hier_leaf_aggregate,162.9,366.2,200.4,403.7,351.19,-8.63,OUTSIDE_TILE_REGION
3_3,3,3,u_core_gen_pd_row[3].gen_pd_col[3].u_pd,529.2,315.84,560.0,405.44,544.6,360.64,25,hier_leaf_aggregate,162.9,403.7,200.4,441.2,362.95,-61.81,OUTSIDE_TILE_REGION
3_4,3,4,u_core_gen_pd_row[3].gen_pd_col[4].u_pd,435.12,351.68,479.36,423.36,457.24,387.52,30,hier_leaf_aggregate,162.9,441.2,200.4,478.7,275.59,-72.43,OUTSIDE_TILE_REGION
3_5,3,5,u_core_gen_pd_row[3].gen_pd_col[5].u_pd,432.32,347.2,477.68,400.96,455.0,374.08,25,hier_leaf_aggregate,162.9,478.7,200.4,516.2,273.35,-123.37,OUTSIDE_TILE_REGION
