idx	marker_handle	box	layer	type	subType	message
1	0x7f99f8a94380	{221.75 681.16 221.75 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
2	0x7f99f8a94470	{221.75 685.16 221.75 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
3	0x7f9a2ce07130	{219.94 657.915 219.96 658.645}	MET2	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_n_65559 & Special Wire of Net VDD Actual: 0.020000 Required: 0.280000 Type: ParallelRunLength Spacing # 20 280 3 2 : 219.9600 657.9150 220.7600 658.6450 2: 219.6600 657.9150 219.9400 658.6450 2
4	0x7f99f8a94110	{219.94 657.915 219.96 658.645}	MET2	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_n_65559 & Special Wire of Net VDD Actual: 0.020000 Required: 0.280000 Type: ParallelRunLength Spacing # 20 280 3 2 : 219.6600 657.9150 219.9400 658.6450 2: 219.9600 657.9150 220.7600 658.6450 2     LEF Description:  SPACING 0.280000 
5	0x7f9a2ce07280	{146.78 650.72 147.22 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[1] Type: Metal Short # -1 -1 9 2 : 146.5600 650.5000 147.4400 652.6300 4: 146.5600 650.5000 147.4400 652.6300 4
6	0x7f9a2ce072e0	{162.935 650.72 163.375 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[5] Type: Metal Short # -1 -1 9 2 : 162.7150 650.5000 163.5950 652.6300 4: 162.7150 650.5000 163.5950 652.6300 4
7	0x7f9a2ce07340	{166.94 650.72 167.38 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[3] Type: Metal Short # -1 -1 9 2 : 166.7200 650.5000 167.6000 652.6300 4: 166.7200 650.5000 167.6000 652.6300 4
8	0x7f9a2ce073a0	{183.74 650.72 184.18 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[7] Type: Metal Short # -1 -1 9 2 : 183.5200 650.5000 184.4000 652.6300 4: 183.5200 650.5000 184.4000 652.6300 4
9	0x7f9a2ce07400	{188.22 650.72 188.66 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[2] Type: Metal Short # -1 -1 9 2 : 188.0000 650.5000 188.8800 652.6300 4: 188.0000 650.5000 188.8800 652.6300 4
10	0x7f9a2ce07460	{203.9 650.72 204.34 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[6] Type: Metal Short # -1 -1 9 2 : 203.6800 650.5000 204.5600 652.6300 4: 203.6800 650.5000 204.5600 652.6300 4
11	0x7f9a2ce07fa0	{146.78 650.72 147.22 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[1] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 146.5600 650.5000 147.4400 652.6300 4: 146.5600 650.5000 147.4400 652.6300 4
12	0x7f99f8a94020	{162.935 650.72 163.375 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[5] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 162.7150 650.5000 163.5950 652.6300 4: 162.7150 650.5000 163.5950 652.6300 4
13	0x7f99f8a94050	{166.94 650.72 167.38 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[3] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 166.7200 650.5000 167.6000 652.6300 4: 166.7200 650.5000 167.6000 652.6300 4
14	0x7f99f8a94080	{183.74 650.72 184.18 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[7] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 183.5200 650.5000 184.4000 652.6300 4: 183.5200 650.5000 184.4000 652.6300 4
15	0x7f99f8a940b0	{188.22 650.72 188.66 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[2] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 188.0000 650.5000 188.8800 652.6300 4: 188.0000 650.5000 188.8800 652.6300 4
16	0x7f99f8a940e0	{203.9 650.72 204.34 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[6] & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 203.6800 650.5000 204.5600 652.6300 4: 203.6800 650.5000 204.5600 652.6300 4
17	0x7f9a2ce071c0	{114.3 650.72 114.74 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_fe_osc_slow_en Type: Metal Short # -1 -1 9 2 : 114.0800 650.5000 114.9600 652.6300 4: 114.0800 650.5000 114.9600 652.6300 4
18	0x7f9a2ce07220	{126.105 650.72 126.545 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[4] Type: Metal Short # -1 -1 9 2 : 125.8850 650.5000 126.7650 652.6300 4: 125.8850 650.5000 126.7650 652.6300 4
19	0x7f9a2ce07f10	{114.3 650.72 114.74 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_fe_osc_slow_en & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 114.0800 650.5000 114.9600 652.6300 4: 114.0800 650.5000 114.9600 652.6300 4
