idx	marker_handle	box	layer	type	subType	message
1	0x7f99f8a94620	{715.82 450.87 716.635 451.22}	MET3	Antenna	AntSAreaRatio	Pin of Net max_hits_i[3] Actual:     467.552     Max:     380
2	0x7f99f8a94650	{691.725 452.03 692.02 453.03}	MET3	Antenna	AntSAreaRatio	Pin of Net max_hits_i[3] Actual:     467.552     Max:     380
3	0x7f99f8a94680	{695.66 452.59 695.94 453.49}	MET3	Antenna	AntSAreaRatio	Pin of Net max_hits_i[3] Actual:     467.552     Max:     380
4	0x7f99f8a946b0	{692.86 443.1 693.14 443.94}	MET3	Antenna	AntSAreaRatio	Pin of Net max_hits_i[3] Actual:     467.552     Max:     380
5	0x7f99f8a946e0	{701.185 447.55 701.26 447.89}	MET3	Antenna	AntSAreaRatio	Pin of Net max_hits_i[2] Actual:     577.361     Max:     380
6	0x7f99f8a94710	{716.84 452.645 717.22 453.46}	MET3	Antenna	AntSAreaRatio	Pin of Net max_hits_i[2] Actual:     577.361     Max:     380
7	0x7f99f8a94740	{704.62 446.99 704.9 447.89}	MET3	Antenna	AntSAreaRatio	Pin of Net max_hits_i[2] Actual:     577.361     Max:     380
8	0x7f99f8a947a0	{698.97 460.99 699.3 461.89}	MET3	Antenna	AntSAreaRatio	Pin of Net max_hits_i[1] Actual:     573.247     Max:     380
9	0x7f99f8a947d0	{715.26 452.62 716.075 452.95}	MET3	Antenna	AntSAreaRatio	Pin of Net max_hits_i[1] Actual:     573.247     Max:     380
10	0x7f99f8a94800	{695.66 456.49 696.5 456.87}	MET3	Antenna	AntSAreaRatio	Pin of Net max_hits_i[1] Actual:     573.247     Max:     380
11	0x7f99f8a94860	{699.58 460.99 699.91 461.89}	MET3	Antenna	AntSAreaRatio	Pin of Net max_hits_i[0] Actual:     757.319     Max:     380
12	0x7f99f8a95280	{221.75 681.16 221.75 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
13	0x7f99f8a95370	{221.75 685.16 221.75 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
14	0x7f9a2ce07130	{219.94 657.915 219.96 658.645}	MET2	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_n_65559 & Special Wire of Net VDD Actual: 0.020000 Required: 0.280000 Type: ParallelRunLength Spacing # 20 280 3 2 : 219.9600 657.9150 220.7600 658.6450 2: 219.6600 657.9150 219.9400 658.6450 2
15	0x7f99f8a95010	{219.94 657.915 219.96 658.645}	MET2	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_n_65559 & Special Wire of Net VDD Actual: 0.020000 Required: 0.280000 Type: ParallelRunLength Spacing # 20 280 3 2 : 219.6600 657.9150 219.9400 658.6450 2: 219.9600 657.9150 220.7600 658.6450 2     LEF Description:  SPACING 0.280000 
16	0x7f9a2ce07280	{146.78 650.72 147.22 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[1] Type: Metal Short # -1 -1 9 2 : 146.5600 650.5000 147.4400 652.6300 4: 146.5600 650.5000 147.4400 652.6300 4
17	0x7f9a2ce072e0	{162.935 650.72 163.375 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[5] Type: Metal Short # -1 -1 9 2 : 162.7150 650.5000 163.5950 652.6300 4: 162.7150 650.5000 163.5950 652.6300 4
18	0x7f9a2ce07340	{166.94 650.72 167.38 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[3] Type: Metal Short # -1 -1 9 2 : 166.7200 650.5000 167.6000 652.6300 4: 166.7200 650.5000 167.6000 652.6300 4
19	0x7f9a2ce073a0	{183.74 650.72 184.18 652.41}	METTP	Geometry	Metal_Short	Regular Wire of Net u_core_slow_phase_raw[7] Type: Metal Short # -1 -1 9 2 : 183.5200 650.5000 184.4000 652.6300 4: 183.5200 650.5000 184.4000 652.6300 4
