timestamp,stage,status
"2026-08-25 13:03:40 CEST","source_gate","start"
"2026-08-25 13:03:40 CEST","source_gate","done"
"2026-08-25 13:03:40 CEST","import_mmmc","start"
"2026-08-25 13:03:44 CEST","import_mmmc","done"
"2026-08-25 13:03:44 CEST","post_import_gate","start"
"2026-08-25 13:03:44 CEST","post_import_gate","done"
"2026-08-25 13:03:44 CEST","post_import_tc_timing","start"
"2026-08-25 13:03:53 CEST","post_import_tc_timing","done"
"2026-08-25 13:03:53 CEST","floorplan","start"
"2026-08-25 13:03:55 CEST","floorplan","done"
"2026-08-25 13:03:55 CEST","io_placement","start"
"2026-08-25 13:03:55 CEST","io_placement","done"
"2026-08-25 13:03:55 CEST","ro_macro_placement","start"
"2026-08-25 13:03:55 CEST","ro_macro_placement","done"
"2026-08-25 13:03:55 CEST","pg_connectivity","start"
"2026-08-25 13:03:55 CEST","pg_connectivity","done"
"2026-08-25 13:03:55 CEST","pd_matrix_placement","start"
"2026-08-25 13:03:58 CEST","pd_matrix_placement","done"
"2026-08-25 13:03:58 CEST","phase_buffer_placement","start"
"2026-08-25 13:04:01 CEST","phase_buffer_placement","done"
"2026-08-25 13:04:01 CEST","row_infrastructure","start"
"2026-08-25 13:04:01 CEST","row_infrastructure","done"
"2026-08-25 13:04:01 CEST","placement","start"
"2026-08-25 13:08:21 CEST","placement","done"
"2026-08-25 13:08:21 CEST","cts","start"
"2026-08-25 13:14:48 CEST","cts","done"
"2026-08-25 13:14:48 CEST","route","start"
"2026-08-25 13:21:32 CEST","route","fail"
