tile,ns,nf,instance,llx,lly,urx,ury,center_x,center_y,leaf_count,bbox_source,expected_llx,expected_lly,expected_urx,expected_ury,dx,dy,status
0_0,0,0,u_core_gen_pd_row[0].gen_pd_col[0].u_pd,332.08,51.52,370.72,118.72,351.4,85.12,25,hier_leaf_aggregate,50.4,291.2,87.9,328.7,282.25,-224.83,OUTSIDE_TILE_REGION
0_1,0,1,u_core_gen_pd_row[0].gen_pd_col[1].u_pd,286.72,109.76,311.92,181.44,299.32,145.6,26,hier_leaf_aggregate,50.4,328.7,87.9,366.2,230.17,-201.85,OUTSIDE_TILE_REGION
0_2,0,2,u_core_gen_pd_row[0].gen_pd_col[2].u_pd,523.04,82.88,592.48,127.68,557.76,105.28,27,hier_leaf_aggregate,50.4,366.2,87.9,403.7,488.61,-279.67,OUTSIDE_TILE_REGION
0_3,0,3,u_core_gen_pd_row[0].gen_pd_col[3].u_pd,570.64,132.16,612.08,212.8,591.36,172.48,24,hier_leaf_aggregate,50.4,403.7,87.9,441.2,522.21,-249.97,OUTSIDE_TILE_REGION
0_4,0,4,u_core_gen_pd_row[0].gen_pd_col[4].u_pd,421.12,96.32,475.44,132.16,448.28,114.24,32,hier_leaf_aggregate,50.4,441.2,87.9,478.7,379.13,-345.71,OUTSIDE_TILE_REGION
0_5,0,5,u_core_gen_pd_row[0].gen_pd_col[5].u_pd,498.96,172.48,593.04,208.32,546.0,190.4,25,hier_leaf_aggregate,50.4,478.7,87.9,516.2,476.85,-307.05,OUTSIDE_TILE_REGION
0_6,0,6,u_core_gen_pd_row[0].gen_pd_col[6].u_pd,111.44,244.16,216.72,266.56,164.08,255.36,32,hier_leaf_aggregate,50.4,516.2,87.9,553.7,94.93,-279.59,OUTSIDE_TILE_REGION
0_7,0,7,u_core_gen_pd_row[0].gen_pd_col[7].u_pd,218.4,230.72,271.6,266.56,245.0,248.64,25,hier_leaf_aggregate,50.4,553.7,87.9,591.2,175.85,-323.81,OUTSIDE_TILE_REGION
1_0,1,0,u_core_gen_pd_row[1].gen_pd_col[0].u_pd,273.84,64.96,334.88,118.72,304.36,91.84,25,hier_leaf_aggregate,87.9,291.2,125.4,328.7,197.71,-218.11,OUTSIDE_TILE_REGION
1_1,1,1,u_core_gen_pd_row[1].gen_pd_col[1].u_pd,272.16,123.2,301.84,203.84,287.0,163.52,32,hier_leaf_aggregate,87.9,328.7,125.4,366.2,180.35,-183.93,OUTSIDE_TILE_REGION
1_2,1,2,u_core_gen_pd_row[1].gen_pd_col[2].u_pd,483.84,73.92,574.0,123.2,528.92,98.56,26,hier_leaf_aggregate,87.9,366.2,125.4,403.7,422.27,-286.39,OUTSIDE_TILE_REGION
1_3,1,3,u_core_gen_pd_row[1].gen_pd_col[3].u_pd,549.92,150.08,600.32,212.8,575.12,181.44,25,hier_leaf_aggregate,87.9,403.7,125.4,441.2,468.47,-241.01,OUTSIDE_TILE_REGION
1_4,1,4,u_core_gen_pd_row[1].gen_pd_col[4].u_pd,424.48,114.24,463.12,226.24,443.8,170.24,27,hier_leaf_aggregate,87.9,441.2,125.4,478.7,337.15,-289.71,OUTSIDE_TILE_REGION
1_5,1,5,u_core_gen_pd_row[1].gen_pd_col[5].u_pd,484.96,176.96,585.2,226.24,535.08,201.6,25,hier_leaf_aggregate,87.9,478.7,125.4,516.2,428.43,-295.85,OUTSIDE_TILE_REGION
1_6,1,6,u_core_gen_pd_row[1].gen_pd_col[6].u_pd,115.92,262.08,158.48,302.4,137.2,282.24,26,hier_leaf_aggregate,87.9,516.2,125.4,553.7,30.55,-252.71,OUTSIDE_TILE_REGION
1_7,1,7,u_core_gen_pd_row[1].gen_pd_col[7].u_pd,202.72,280.0,260.4,315.84,231.56,297.92,31,hier_leaf_aggregate,87.9,553.7,125.4,591.2,124.91,-274.53,OUTSIDE_TILE_REGION
2_0,2,0,u_core_gen_pd_row[2].gen_pd_col[0].u_pd,277.76,203.84,368.48,239.68,323.12,221.76,25,hier_leaf_aggregate,125.4,291.2,162.9,328.7,178.97,-88.19,OUTSIDE_TILE_REGION
2_1,2,1,u_core_gen_pd_row[2].gen_pd_col[1].u_pd,263.2,235.2,305.76,297.92,284.48,266.56,26,hier_leaf_aggregate,125.4,328.7,162.9,366.2,140.33,-80.89,OUTSIDE_TILE_REGION
2_2,2,2,u_core_gen_pd_row[2].gen_pd_col[2].u_pd,493.92,221.76,553.84,266.56,523.88,244.16,26,hier_leaf_aggregate,125.4,366.2,162.9,403.7,379.73,-140.79,OUTSIDE_TILE_REGION
2_3,2,3,u_core_gen_pd_row[2].gen_pd_col[3].u_pd,508.48,244.16,569.52,275.52,539.0,259.84,25,hier_leaf_aggregate,125.4,403.7,162.9,441.2,394.85,-162.61,OUTSIDE_TILE_REGION
