idx	marker_handle	box	layer	type	subType	message
1	0x7fb58482f370	{561.82 630.65 562.1 631.03}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_3 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
2	0x7fb58482f3a0	{569.66 636.81 569.94 637.19}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_3 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
3	0x7fb58482eec0	{561.82 630.84 562.02 631.03}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_3 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][299] Type: Metal Short # -1 -1 9 2 : 561.8200 630.8400 562.0200 631.0300 1: 561.8200 630.8400 562.0200 631.0300 1
4	0x7fb58482ef50	{561.82 630.475 562.1 630.65}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_3 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][299] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 561.8200 630.3800 562.1000 630.4750 1: 561.8200 630.6500 562.1000 630.9300 1     LEF Description:  SPACING 0.230000 
5	0x7fb58482f100	{476.14 708.49 476.42 708.87}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_8 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
6	0x7fb58482ee60	{476.14 708.49 476.34 708.68}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_8 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][257] Type: Metal Short # -1 -1 9 2 : 476.1400 708.4900 476.3400 708.6800 1: 476.1400 708.4900 476.3400 708.6800 1
7	0x7fb58482ee90	{476.14 708.87 476.42 709.045}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_8 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][257] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 476.1400 708.5900 476.4200 708.8700 1: 476.1400 709.0450 476.4200 709.1400 1     LEF Description:  SPACING 0.230000 
8	0x7fb58482fc70	{434.14 657.53 434.42 657.91}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_4 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
9	0x7fb58482f1c0	{434.14 657.72 434.34 657.91}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_4 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][256] Type: Metal Short # -1 -1 9 2 : 434.1400 657.7200 434.3400 657.9100 1: 434.1400 657.7200 434.3400 657.9100 1
10	0x7fb58482f310	{434.14 657.355 434.42 657.53}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_4 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][256] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 434.1400 657.2600 434.4200 657.3550 1: 434.1400 657.5300 434.4200 657.8100 1     LEF Description:  SPACING 0.230000 
11	0x7fb58482ef80	{345.66 690.57 345.94 690.95}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_5 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
12	0x7fb58482efb0	{393.26 666.49 393.54 666.87}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_4 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
13	0x7fb58482efe0	{394.38 711.29 394.66 711.67}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_5 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
14	0x7fb58482f010	{405.02 711.29 405.3 711.67}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_5 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
15	0x7fb58482f040	{345.66 690.57 345.94 690.775}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_5 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][227] Type: Metal Short # -1 -1 9 2 : 345.6600 690.5700 345.9400 690.7750 1: 345.6600 690.5700 345.9400 690.7750 1
16	0x7fb58482f070	{345.715 690.57 345.94 690.87}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_5 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][227] Type: Metal Short # -1 -1 9 2 : 345.7150 690.5700 345.9400 690.8700 1: 345.7150 690.5700 345.9400 690.8700 1
17	0x7fb58482f0a0	{393.26 666.57 393.485 666.87}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_4 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][420] Type: Metal Short # -1 -1 9 2 : 393.2600 666.5700 393.4850 666.8700 1: 393.2600 666.5700 393.4850 666.8700 1
18	0x7fb581a45970	{393.26 666.665 393.54 666.87}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_4 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][420] Type: Metal Short # -1 -1 9 2 : 393.2600 666.6650 393.5400 666.8700 1: 393.2600 666.6650 393.5400 666.8700 1
19	0x7fb581a45070	{405.02 711.29 405.24 711.67}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_5 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][424] Type: Metal Short # -1 -1 9 2 : 405.0200 711.2900 405.2400 711.6700 1: 405.0200 711.2900 405.2400 711.6700 1
20	0x7fb581a45c70	{345.525 690.95 345.66 690.99}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_5 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][227] Actual: 0.135000 Required: 0.230000 Type: ParallelRunLength Spacing # 135 230 3 2 : 345.2950 690.9900 345.5250 691.2200 1: 345.6600 690.6700 345.9400 690.9500 1     LEF Description:  SPACING 0.230000 
21	0x7fb581a45f40	{345.64 690.95 345.66 691.01}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_5 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][227] Actual: 0.060000 Required: 0.230000 Type: ParallelRunLength Spacing # 60 230 3 2 : 345.4700 691.0100 345.6400 691.1800 1: 345.6600 690.6700 345.9400 690.9500 1     LEF Description:  SPACING 0.230000 
22	0x7fb581a45c40	{345.66 690.95 345.695 691.125}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_5 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][227] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 345.6000 691.1250 345.6950 691.2200 1: 345.6600 690.6700 345.9400 690.9500 1     LEF Description:  SPACING 0.230000 
23	0x7fb581a45340	{393.505 666.315 393.54 666.49}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_4 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][420] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 393.2600 666.4900 393.5400 666.7700 1: 393.5050 666.1000 393.7200 666.3150 1     LEF Description:  SPACING 0.230000 
24	0x7fb58482f0d0	{393.54 666.43 393.56 666.49}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_4 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][420] Actual: 0.060000 Required: 0.230000 Type: ParallelRunLength Spacing # 60 230 3 2 : 393.2600 666.4900 393.5400 666.7700 1: 393.5600 666.2200 393.7700 666.4300 1     LEF Description:  SPACING 0.230000 
25	0x7fb58482f3d0	{393.54 666.45 393.675 666.49}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_4 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][420] Actual: 0.135000 Required: 0.230000 Type: ParallelRunLength Spacing # 135 230 3 2 : 393.2600 666.4900 393.5400 666.7700 1: 393.6750 666.3300 393.7950 666.4500 1     LEF Description:  SPACING 0.230000 
26	0x7fb58482fcd0	{404.93 711.115 405.02 711.29}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_5 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][424] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 404.7050 710.8900 404.9300 711.1150 1: 405.0200 711.2900 405.3000 711.5700 1     LEF Description:  SPACING 0.230000 
27	0x7fb58482fa00	{405.02 711.115 405.3 711.29}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_5 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][424] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 405.0200 711.0200 405.3000 711.1150 1: 405.0200 711.2900 405.3000 711.5700 1     LEF Description:  SPACING 0.230000 
28	0x7fb58482f340	{550.62 448.65 550.9 449.03}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_11 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
29	0x7fb58482f130	{550.68 448.65 550.9 449.03}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_11 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[hit_level][59] Type: Metal Short # -1 -1 9 2 : 550.6800 448.6500 550.9000 449.0300 1: 550.6800 448.6500 550.9000 449.0300 1
30	0x7fb58482eef0	{550.62 449.03 550.9 449.205}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_11 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[hit_level][59] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 550.6200 448.7500 550.9000 449.0300 1: 550.6200 449.2050 550.9000 449.3000 1     LEF Description:  SPACING 0.230000 
31	0x7fb58482ef20	{550.9 449.03 550.99 449.205}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_11 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[hit_level][59] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 550.6200 448.7500 550.9000 449.0300 1: 550.9900 449.2050 551.2150 449.4300 1     LEF Description:  SPACING 0.230000 
32	0x7fb581a45d30	{240.8 683.2 240.8 683.2}	MET1	Connectivity	ConnectivityAntenna	Net VDD
33	0x7fb581a45d60	{240.8 692.16 240.8 692.16}	MET1	Connectivity	ConnectivityAntenna	Net VDD
34	0x7fb581a45d90	{221.75 681.16 221.75 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
35	0x7fb581a459d0	{240.8 678.72 240.8 678.72}	MET1	Connectivity	ConnectivityAntenna	Net VSS
36	0x7fb581a45a00	{240.8 687.68 240.8 687.68}	MET1	Connectivity	ConnectivityAntenna	Net VSS
37	0x7fb581a45a30	{240.8 696.64 240.8 696.64}	MET1	Connectivity	ConnectivityAntenna	Net VSS
38	0x7fb581a45a60	{221.75 685.16 221.75 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
39	0x7fb581a45df0	{48.0 681.16 48.0 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
40	0x7fb581a45eb0	{121.16 648.32 121.16 648.32}	METTP	Connectivity	ConnectivityAntenna	Net VDD
41	0x7fb581a45a90	{48.0 685.16 48.0 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
42	0x7fb581a45b50	{125.16 721.75 125.16 721.75}	METTP	Connectivity	ConnectivityAntenna	Net VSS
43	0x7fb581a45bb0	{125.16 648.32 125.16 648.32}	METTP	Connectivity	ConnectivityAntenna	Net VSS
44	0x7fb58482fc10	{256.62 558.97 256.9 559.35}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_6 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
45	0x7fb58482fc40	{267.26 558.97 267.54 559.35}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_6 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
46	0x7fb58482fca0	{256.62 559.145 256.9 559.35}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_6 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][343] Type: Metal Short # -1 -1 9 2 : 256.6200 559.1450 256.9000 559.3500 1: 256.6200 559.1450 256.9000 559.3500 1
47	0x7fb58482fa30	{256.675 559.05 256.9 559.35}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_6 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][343] Type: Metal Short # -1 -1 9 2 : 256.6750 559.0500 256.9000 559.3500 1: 256.6750 559.0500 256.9000 559.3500 1
48	0x7fb58482f160	{267.26 559.145 267.54 559.35}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_6 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][347] Type: Metal Short # -1 -1 9 2 : 267.2600 559.1450 267.5400 559.3500 1: 267.2600 559.1450 267.5400 559.3500 1
