idx	marker_handle	box	layer	type	subType	message
1	0x7ff66eecdcd0	{715.485 452.54 716.485 453.54}	MET3	Antenna	Antenna	Regular Wire of Net conv_arm_i Actual: 0.000000 Required: 0.000000 Type: Antenna # 0 0 48 0 
2	0x7ff66eecdd00	{715.82 452.59 716.15 453.49}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net conv_arm_i Actual: 0.000000 Required: 0.000000 Type: Antenna Side Area Ratio # 0 0 50 0 
3	0x7ff66eecdd30	{791.06 537.4 792.06 538.4}	MET3	Antenna	Antenna	Regular Wire of Net fifo_clr_i Actual: 0.000000 Required: 0.000000 Type: Antenna # 0 0 48 0 
4	0x7ff66eecdd60	{791.39 537.245 791.73 538.555}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net fifo_clr_i Actual: 0.000000 Required: 0.000000 Type: Antenna Side Area Ratio # 0 0 50 0 
5	0x7ff641b38da0	{48.0 681.16 48.0 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
6	0x7ff641b38e00	{221.75 681.16 221.75 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
7	0x7ff641b38e90	{121.16 648.32 121.16 648.32}	METTP	Connectivity	ConnectivityAntenna	Net VDD
8	0x7ff641b38ec0	{48.0 685.16 48.0 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
9	0x7ff641b38f20	{221.75 685.16 221.75 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
10	0x7ff641b38f80	{125.16 721.75 125.16 721.75}	METTP	Connectivity	ConnectivityAntenna	Net VSS
11	0x7ff641b39040	{125.16 648.32 125.16 648.32}	METTP	Connectivity	ConnectivityAntenna	Net VSS
12	0x7ff641b38410	{730.94 407.26 731.22 408.1}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[0] Actual: 0.000000 Required: 0.000000 Type: Antenna Side Area Ratio # 0 0 50 0 
13	0x7ff641b383e0	{730.58 407.18 731.58 408.18}	MET3	Antenna	Antenna	Regular Wire of Net max_hits_i[0] Actual: 0.000000 Required: 0.000000 Type: Antenna # 0 0 48 0 
14	0x7ff641b383b0	{735.98 429.61 736.795 429.94}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[1] Actual: 0.000000 Required: 0.000000 Type: Antenna Side Area Ratio # 0 0 50 0 
15	0x7ff641b38380	{735.887 429.275 736.887 430.275}	MET3	Antenna	Antenna	Regular Wire of Net max_hits_i[1] Actual: 0.000000 Required: 0.000000 Type: Antenna # 0 0 48 0 
16	0x7ff641b381a0	{736.447 431.015 737.447 432.015}	MET3	Antenna	Antenna	Regular Wire of Net max_hits_i[3] Actual: 0.000000 Required: 0.000000 Type: Antenna # 0 0 48 0 
17	0x7ff641b381d0	{736.54 431.34 737.355 431.69}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[3] Actual: 0.000000 Required: 0.000000 Type: Antenna Side Area Ratio # 0 0 50 0 
18	0x7ff641b38200	{736.002 411.38 737.002 412.38}	MET3	Antenna	Antenna	Regular Wire of Net max_hits_i[2] Actual: 0.000000 Required: 0.000000 Type: Antenna # 0 0 48 0 
19	0x7ff641b38230	{736.465 411.71 736.54 412.05}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[2] Actual: 0.000000 Required: 0.000000 Type: Antenna Side Area Ratio # 0 0 50 0 
20	0x7ff641b38260	{737.25 429.007 738.25 430.007}	MET3	Antenna	Antenna	Regular Wire of Net max_hits_i[2] Actual: 0.000000 Required: 0.000000 Type: Antenna # 0 0 48 0 
21	0x7ff641b38290	{737.56 429.1 737.94 429.915}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[2] Actual: 0.000000 Required: 0.000000 Type: Antenna Side Area Ratio # 0 0 50 0 
22	0x7ff641b382c0	{738.98 420.06 739.98 421.06}	MET3	Antenna	Antenna	Regular Wire of Net max_hits_i[2] Actual: 0.000000 Required: 0.000000 Type: Antenna # 0 0 48 0 
23	0x7ff641b382f0	{739.34 420.11 739.62 421.01}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[2] Actual: 0.000000 Required: 0.000000 Type: Antenna Side Area Ratio # 0 0 50 0 
24	0x7ff641b38320	{736.18 407.18 737.18 408.18}	MET3	Antenna	Antenna	Regular Wire of Net max_hits_i[2] Actual: 0.000000 Required: 0.000000 Type: Antenna # 0 0 48 0 
25	0x7ff641b38350	{736.54 407.26 736.82 408.1}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[2] Actual: 0.000000 Required: 0.000000 Type: Antenna Side Area Ratio # 0 0 50 0 
26	0x7ff641b38710	{714.7 425.15 714.98 426.05}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[0] Actual: 0.000000 Required: 0.000000 Type: Antenna Side Area Ratio # 0 0 50 0 
27	0x7ff641b386e0	{714.34 425.1 715.34 426.1}	MET3	Antenna	Antenna	Regular Wire of Net max_hits_i[0] Actual: 0.000000 Required: 0.000000 Type: Antenna # 0 0 48 0 
28	0x7ff641b386b0	{716.38 420.67 716.71 421.57}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[0] Actual: 0.000000 Required: 0.000000 Type: Antenna Side Area Ratio # 0 0 50 0 
29	0x7ff641b38680	{716.045 420.62 717.045 421.62}	MET3	Antenna	Antenna	Regular Wire of Net max_hits_i[0] Actual: 0.000000 Required: 0.000000 Type: Antenna # 0 0 48 0 
30	0x7ff641b38650	{715.82 407.26 716.1 408.1}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net max_hits_i[1] Actual: 0.000000 Required: 0.000000 Type: Antenna Side Area Ratio # 0 0 50 0 
31	0x7ff641b38620	{715.46 407.18 716.46 408.18}	MET3	Antenna	Antenna	Regular Wire of Net max_hits_i[1] Actual: 0.000000 Required: 0.000000 Type: Antenna # 0 0 48 0 
