timestamp,stage,status
"2026-08-28 14:29:29 CEST","source_gate","start"
"2026-08-28 14:29:29 CEST","source_gate","done"
"2026-08-28 14:29:29 CEST","import_mmmc","start"
"2026-08-28 14:29:33 CEST","import_mmmc","done"
"2026-08-28 14:29:33 CEST","post_import_gate","start"
"2026-08-28 14:29:33 CEST","post_import_gate","done"
"2026-08-28 14:29:33 CEST","post_import_tc_timing","start"
"2026-08-28 14:29:42 CEST","post_import_tc_timing","done"
"2026-08-28 14:29:42 CEST","floorplan","start"
"2026-08-28 14:29:45 CEST","floorplan","done"
"2026-08-28 14:29:45 CEST","io_placement","start"
"2026-08-28 14:29:45 CEST","io_placement","done"
"2026-08-28 14:29:45 CEST","ro_seed","start"
"2026-08-28 14:29:45 CEST","ro_seed","done"
"2026-08-28 14:29:45 CEST","macro_aware_placement","start"
"2026-08-28 14:29:46 CEST","macro_aware_placement","fail"
