timestamp,stage,status
"2026-08-28 14:40:22 CEST","source_gate","start"
"2026-08-28 14:40:23 CEST","source_gate","done"
"2026-08-28 14:40:23 CEST","import_mmmc","start"
"2026-08-28 14:40:27 CEST","import_mmmc","done"
"2026-08-28 14:40:27 CEST","post_import_gate","start"
"2026-08-28 14:40:27 CEST","post_import_gate","done"
"2026-08-28 14:40:27 CEST","post_import_tc_timing","start"
"2026-08-28 14:40:36 CEST","post_import_tc_timing","done"
"2026-08-28 14:40:36 CEST","floorplan","start"
"2026-08-28 14:40:39 CEST","floorplan","done"
"2026-08-28 14:40:39 CEST","io_placement","start"
"2026-08-28 14:40:39 CEST","io_placement","done"
"2026-08-28 14:40:39 CEST","ro_seed","start"
"2026-08-28 14:40:39 CEST","ro_seed","done"
"2026-08-28 14:40:39 CEST","macro_aware_placement","start"
"2026-08-28 14:41:04 CEST","macro_aware_placement","done"
"2026-08-28 14:41:04 CEST","pg_connectivity","start"
"2026-08-28 14:41:05 CEST","pg_connectivity","done"
"2026-08-28 14:41:05 CEST","pd_matrix_inventory","start"
"2026-08-28 14:41:05 CEST","pd_matrix_inventory","done"
"2026-08-28 14:41:05 CEST","phase_buffer_inventory","start"
"2026-08-28 14:41:07 CEST","phase_buffer_inventory","done"
"2026-08-28 14:41:07 CEST","row_infrastructure","start"
"2026-08-28 14:41:07 CEST","row_infrastructure","done"
"2026-08-28 14:41:07 CEST","placement","start"
"2026-08-28 14:45:03 CEST","placement","done"
"2026-08-28 14:45:03 CEST","pre_cts_tie_insertion","start"
"2026-08-28 14:45:10 CEST","pre_cts_tie_insertion","done"
"2026-08-28 14:45:10 CEST","cts","start"
"2026-08-28 14:51:45 CEST","cts","done"
"2026-08-28 14:51:45 CEST","route","start"
"2026-08-28 14:52:10 CEST","route","fail"
