pin	direction	side
async_rst_n	in	WEST
cal_start_async_i	in	WEST
cal_stop_async_i	in	WEST
clk_sys	in	WEST
soft_reset_i	in	WEST
start_spad_async_i	in	WEST
stop_spad_async_i	in	WEST
conv_arm_i	in	WEST
fifo_clr_i	in	WEST
input_sel_i[0]	in	WEST
max_hits_i[0]	in	WEST
max_hits_i[1]	in	WEST
max_hits_i[2]	in	WEST
max_hits_i[3]	in	WEST
pkt_ready_i	in	WEST
ro_fast_code_i[0]	in	WEST
ro_fast_code_i[1]	in	WEST
ro_fast_code_i[2]	in	WEST
ro_fast_code_i[3]	in	WEST
ro_fast_code_i[4]	in	WEST
ro_fast_code_i[5]	in	WEST
ro_fast_code_i[6]	in	WEST
ro_fast_code_i[7]	in	WEST
ro_slow_code_i[0]	in	WEST
ro_slow_code_i[1]	in	WEST
ro_slow_code_i[2]	in	WEST
ro_slow_code_i[3]	in	WEST
ro_slow_code_i[4]	in	WEST
ro_slow_code_i[5]	in	WEST
ro_slow_code_i[6]	in	WEST
ro_slow_code_i[7]	in	WEST
packet_active_o	out	EAST
packet_pending_o	out	EAST
pkt_data_o[0]	out	EAST
pkt_data_o[1]	out	EAST
pkt_data_o[2]	out	EAST
pkt_data_o[3]	out	EAST
pkt_data_o[4]	out	EAST
pkt_data_o[5]	out	EAST
pkt_data_o[6]	out	EAST
pkt_data_o[7]	out	EAST
pkt_data_o[8]	out	EAST
pkt_data_o[9]	out	EAST
pkt_data_o[10]	out	EAST
pkt_data_o[11]	out	EAST
pkt_data_o[12]	out	EAST
pkt_data_o[13]	out	EAST
pkt_data_o[14]	out	EAST
pkt_data_o[15]	out	EAST
pkt_eop_o	out	EAST
pkt_sop_o	out	EAST
pkt_valid_o	out	EAST
busy_o	out	EAST
fifo_full_o	out	EAST
ready_o	out	EAST
ro_fast_tap0_o	out	EAST
ro_slow_tap0_o	out	EAST
