tile,ns,nf,instance,llx,lly,urx,ury,center_x,center_y,leaf_count,bbox_source,expected_llx,expected_lly,expected_urx,expected_ury,dx,dy,status
0_0,0,0,u_core_gen_pd_row[0].gen_pd_col[0].u_pd,516.88,123.2,552.16,172.48,534.52,147.84,25,hier_leaf_aggregate,50.4,268.8,87.9,306.3,465.37,-139.71,OUTSIDE_TILE_REGION
0_1,0,1,u_core_gen_pd_row[0].gen_pd_col[1].u_pd,453.6,114.24,519.12,172.48,486.36,143.36,26,hier_leaf_aggregate,50.4,306.3,87.9,343.8,417.21,-181.69,OUTSIDE_TILE_REGION
0_2,0,2,u_core_gen_pd_row[0].gen_pd_col[2].u_pd,282.24,87.36,333.76,163.52,308.0,125.44,25,hier_leaf_aggregate,50.4,343.8,87.9,381.3,238.85,-237.11,OUTSIDE_TILE_REGION
0_3,0,3,u_core_gen_pd_row[0].gen_pd_col[3].u_pd,237.44,185.92,296.24,221.76,266.84,203.84,26,hier_leaf_aggregate,50.4,381.3,87.9,418.8,197.69,-196.21,OUTSIDE_TILE_REGION
0_4,0,4,u_core_gen_pd_row[0].gen_pd_col[4].u_pd,124.32,141.12,176.96,212.8,150.64,176.96,31,hier_leaf_aggregate,50.4,418.8,87.9,456.3,81.49,-260.59,OUTSIDE_TILE_REGION
0_5,0,5,u_core_gen_pd_row[0].gen_pd_col[5].u_pd,156.8,199.36,225.68,226.24,191.24,212.8,24,hier_leaf_aggregate,50.4,456.3,87.9,493.8,122.09,-262.25,OUTSIDE_TILE_REGION
0_6,0,6,u_core_gen_pd_row[0].gen_pd_col[6].u_pd,382.48,132.16,427.84,181.44,405.16,156.8,32,hier_leaf_aggregate,50.4,493.8,87.9,531.3,336.01,-355.75,OUTSIDE_TILE_REGION
0_7,0,7,u_core_gen_pd_row[0].gen_pd_col[7].u_pd,449.12,150.08,489.44,181.44,469.28,165.76,25,hier_leaf_aggregate,50.4,531.3,87.9,568.8,400.13,-384.29,OUTSIDE_TILE_REGION
1_0,1,0,u_core_gen_pd_row[1].gen_pd_col[0].u_pd,509.6,132.16,568.4,181.44,539.0,156.8,25,hier_leaf_aggregate,87.9,268.8,125.4,306.3,432.35,-130.75,OUTSIDE_TILE_REGION
1_1,1,1,u_core_gen_pd_row[1].gen_pd_col[1].u_pd,473.2,114.24,508.48,176.96,490.84,145.6,30,hier_leaf_aggregate,87.9,306.3,125.4,343.8,384.19,-179.45,OUTSIDE_TILE_REGION
1_2,1,2,u_core_gen_pd_row[1].gen_pd_col[2].u_pd,268.8,96.32,331.52,185.92,300.16,141.12,26,hier_leaf_aggregate,87.9,343.8,125.4,381.3,193.51,-221.43,OUTSIDE_TILE_REGION
1_3,1,3,u_core_gen_pd_row[1].gen_pd_col[3].u_pd,243.6,185.92,296.8,230.72,270.2,208.32,25,hier_leaf_aggregate,87.9,381.3,125.4,418.8,163.55,-191.73,OUTSIDE_TILE_REGION
1_4,1,4,u_core_gen_pd_row[1].gen_pd_col[4].u_pd,123.76,159.04,160.72,239.68,142.24,199.36,27,hier_leaf_aggregate,87.9,418.8,125.4,456.3,35.59,-238.19,OUTSIDE_TILE_REGION
1_5,1,5,u_core_gen_pd_row[1].gen_pd_col[5].u_pd,155.68,217.28,229.6,235.2,192.64,226.24,24,hier_leaf_aggregate,87.9,456.3,125.4,493.8,85.99,-248.81,OUTSIDE_TILE_REGION
1_6,1,6,u_core_gen_pd_row[1].gen_pd_col[6].u_pd,381.92,163.52,424.48,230.72,403.2,197.12,26,hier_leaf_aggregate,87.9,493.8,125.4,531.3,296.55,-315.43,OUTSIDE_TILE_REGION
1_7,1,7,u_core_gen_pd_row[1].gen_pd_col[7].u_pd,456.4,172.48,497.28,221.76,476.84,197.12,30,hier_leaf_aggregate,87.9,531.3,125.4,568.8,370.19,-352.93,OUTSIDE_TILE_REGION
2_0,2,0,u_core_gen_pd_row[2].gen_pd_col[0].u_pd,504.56,163.52,542.64,257.6,523.6,210.56,25,hier_leaf_aggregate,125.4,268.8,162.9,306.3,379.45,-76.99,OUTSIDE_TILE_REGION
2_1,2,1,u_core_gen_pd_row[2].gen_pd_col[1].u_pd,471.52,172.48,507.92,266.56,489.72,219.52,26,hier_leaf_aggregate,125.4,306.3,162.9,343.8,345.57,-105.53,OUTSIDE_TILE_REGION
2_2,2,2,u_core_gen_pd_row[2].gen_pd_col[2].u_pd,258.16,217.28,310.24,262.08,284.2,239.68,27,hier_leaf_aggregate,125.4,343.8,162.9,381.3,140.05,-122.87,OUTSIDE_TILE_REGION
2_3,2,3,u_core_gen_pd_row[2].gen_pd_col[3].u_pd,226.24,212.8,278.88,257.6,252.56,235.2,24,hier_leaf_aggregate,125.4,381.3,162.9,418.8,108.41,-164.85,OUTSIDE_TILE_REGION
2_4,2,4,u_core_gen_pd_row[2].gen_pd_col[4].u_pd,122.64,221.76,174.16,266.56,148.4,244.16,30,hier_leaf_aggregate,125.4,418.8,162.9,456.3,4.25,-193.39,OUTSIDE_TILE_REGION
2_5,2,5,u_core_gen_pd_row[2].gen_pd_col[5].u_pd,161.84,257.6,198.8,306.88,180.32,282.24,24,hier_leaf_aggregate,125.4,456.3,162.9,493.8,36.17,-192.81,OUTSIDE_TILE_REGION
2_6,2,6,u_core_gen_pd_row[2].gen_pd_col[6].u_pd,381.36,239.68,422.24,324.8,401.8,282.24,32,hier_leaf_aggregate,125.4,493.8,162.9,531.3,257.65,-230.31,OUTSIDE_TILE_REGION
2_7,2,7,u_core_gen_pd_row[2].gen_pd_col[7].u_pd,457.52,253.12,499.52,306.88,478.52,280.0,25,hier_leaf_aggregate,125.4,531.3,162.9,568.8,334.37,-270.05,OUTSIDE_TILE_REGION
3_0,3,0,u_core_gen_pd_row[3].gen_pd_col[0].u_pd,500.64,275.52,533.12,383.04,516.88,329.28,26,hier_leaf_aggregate,162.9,268.8,200.4,306.3,335.23,41.73,OUTSIDE_TILE_REGION
3_1,3,1,u_core_gen_pd_row[3].gen_pd_col[1].u_pd,460.88,324.8,504.56,374.08,482.72,349.44,26,hier_leaf_aggregate,162.9,306.3,200.4,343.8,301.07,24.39,OUTSIDE_TILE_REGION
3_2,3,2,u_core_gen_pd_row[3].gen_pd_col[2].u_pd,260.4,342.72,325.36,374.08,292.88,358.4,31,hier_leaf_aggregate,162.9,343.8,200.4,381.3,111.23,-4.15,OUTSIDE_TILE_REGION
3_3,3,3,u_core_gen_pd_row[3].gen_pd_col[3].u_pd,230.16,329.28,273.28,374.08,251.72,351.68,25,hier_leaf_aggregate,162.9,381.3,200.4,418.8,70.07,-48.37,OUTSIDE_TILE_REGION
3_4,3,4,u_core_gen_pd_row[3].gen_pd_col[4].u_pd,122.64,329.28,165.2,374.08,143.92,351.68,30,hier_leaf_aggregate,162.9,418.8,200.4,456.3,-37.73,-85.87,OUTSIDE_TILE_REGION
3_5,3,5,u_core_gen_pd_row[3].gen_pd_col[5].u_pd,159.6,342.72,219.52,374.08,189.56,358.4,25,hier_leaf_aggregate,162.9,456.3,200.4,493.8,7.91,-116.65,OUTSIDE_TILE_REGION
3_6,3,6,u_core_gen_pd_row[3].gen_pd_col[6].u_pd,367.92,347.2,420.56,383.04,394.24,365.12,31,hier_leaf_aggregate,162.9,493.8,200.4,531.3,212.59,-147.43,OUTSIDE_TILE_REGION
3_7,3,7,u_core_gen_pd_row[3].gen_pd_col[7].u_pd,448.56,351.68,505.12,396.48,476.84,374.08,25,hier_leaf_aggregate,162.9,531.3,200.4,568.8,295.19,-175.97,OUTSIDE_TILE_REGION
4_0,4,0,u_core_gen_pd_row[4].gen_pd_col[0].u_pd,500.08,423.36,551.04,477.12,525.56,450.24,30,hier_leaf_aggregate,200.4,268.8,237.9,306.3,306.41,162.69,OUTSIDE_TILE_REGION
4_1,4,1,u_core_gen_pd_row[4].gen_pd_col[1].u_pd,465.36,392.0,517.44,436.8,491.4,414.4,30,hier_leaf_aggregate,200.4,306.3,237.9,343.8,272.25,89.35,OUTSIDE_TILE_REGION
4_2,4,2,u_core_gen_pd_row[4].gen_pd_col[2].u_pd,261.52,378.56,322.0,409.92,291.76,394.24,26,hier_leaf_aggregate,200.4,343.8,237.9,381.3,72.61,31.69,OUTSIDE_TILE_REGION
4_3,4,3,u_core_gen_pd_row[4].gen_pd_col[3].u_pd,229.6,383.04,282.24,414.4,255.92,398.72,24,hier_leaf_aggregate,200.4,381.3,237.9,418.8,36.77,-1.33,OUTSIDE_TILE_REGION
4_4,4,4,u_core_gen_pd_row[4].gen_pd_col[4].u_pd,118.72,392.0,167.44,432.32,143.08,412.16,30,hier_leaf_aggregate,200.4,418.8,237.9,456.3,-76.07,-25.39,OUTSIDE_TILE_REGION
4_5,4,5,u_core_gen_pd_row[4].gen_pd_col[5].u_pd,159.6,383.04,202.16,418.88,180.88,400.96,30,hier_leaf_aggregate,200.4,456.3,237.9,493.8,-38.27,-74.09,OUTSIDE_TILE_REGION
4_6,4,6,u_core_gen_pd_row[4].gen_pd_col[6].u_pd,379.68,409.92,423.92,477.12,401.8,443.52,25,hier_leaf_aggregate,200.4,493.8,237.9,531.3,182.65,-69.03,OUTSIDE_TILE_REGION
4_7,4,7,u_core_gen_pd_row[4].gen_pd_col[7].u_pd,449.68,450.24,488.88,490.56,469.28,470.4,25,hier_leaf_aggregate,200.4,531.3,237.9,568.8,250.13,-79.65,OUTSIDE_TILE_REGION
5_0,5,0,u_core_gen_pd_row[5].gen_pd_col[0].u_pd,537.04,526.4,593.6,571.2,565.32,548.8,31,hier_leaf_aggregate,237.9,268.8,275.4,306.3,308.67,261.25,OUTSIDE_TILE_REGION
5_1,5,1,u_core_gen_pd_row[5].gen_pd_col[1].u_pd,472.64,508.48,516.32,553.28,494.48,530.88,26,hier_leaf_aggregate,237.9,306.3,275.4,343.8,237.83,205.83,OUTSIDE_TILE_REGION
5_2,5,2,u_core_gen_pd_row[5].gen_pd_col[2].u_pd,254.24,486.08,313.04,535.36,283.64,510.72,26,hier_leaf_aggregate,237.9,343.8,275.4,381.3,26.99,148.17,OUTSIDE_TILE_REGION
5_3,5,3,u_core_gen_pd_row[5].gen_pd_col[3].u_pd,229.6,454.72,266.0,535.36,247.8,495.04,25,hier_leaf_aggregate,237.9,381.3,275.4,418.8,-8.85,94.99,OUTSIDE_TILE_REGION
5_4,5,4,u_core_gen_pd_row[5].gen_pd_col[4].u_pd,120.4,459.2,172.48,517.44,146.44,488.32,30,hier_leaf_aggregate,237.9,418.8,275.4,456.3,-110.21,50.77,OUTSIDE_TILE_REGION
5_5,5,5,u_core_gen_pd_row[5].gen_pd_col[5].u_pd,160.16,450.24,211.12,495.04,185.64,472.64,25,hier_leaf_aggregate,237.9,456.3,275.4,493.8,-71.01,-2.41,OUTSIDE_TILE_REGION
5_6,5,6,u_core_gen_pd_row[5].gen_pd_col[6].u_pd,370.72,548.8,411.04,665.28,390.88,607.04,25,hier_leaf_aggregate,237.9,493.8,275.4,531.3,134.23,94.49,OUTSIDE_TILE_REGION
5_7,5,7,u_core_gen_pd_row[5].gen_pd_col[7].u_pd,444.64,544.32,505.12,575.68,474.88,560.0,25,hier_leaf_aggregate,237.9,531.3,275.4,568.8,218.23,9.95,OUTSIDE_TILE_REGION
6_0,6,0,u_core_gen_pd_row[6].gen_pd_col[0].u_pd,496.16,593.6,588.0,638.4,542.08,616.0,31,hier_leaf_aggregate,275.4,268.8,312.9,306.3,247.93,328.45,OUTSIDE_TILE_REGION
