idx	marker_handle	box	layer	type	subType	message
1	0x7ff0cb5a5010	{854.7 442.49 854.98 442.87}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_53 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
2	0x7ff0cb5a4fe0	{854.7 442.57 854.925 442.87}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_53 & Blockage of Cell u_core_u_fifo_mem_reg[30][34] Type: Metal Short # -1 -1 9 2 : 854.7000 442.5700 854.9250 442.8700 1: 854.7000 442.5700 854.9250 442.8700 1
3	0x7ff0cb5a4fb0	{854.7 442.665 854.98 442.87}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_53 & Blockage of Cell u_core_u_fifo_mem_reg[30][34] Type: Metal Short # -1 -1 9 2 : 854.7000 442.6650 854.9800 442.8700 1: 854.7000 442.6650 854.9800 442.8700 1
4	0x7ff0cb5a4f80	{854.945 442.315 854.98 442.49}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_53 & Blockage of Cell u_core_u_fifo_mem_reg[30][34] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 854.7000 442.4900 854.9800 442.7700 1: 854.9450 442.0900 855.1700 442.3150 1     LEF Description:  SPACING 0.230000 
5	0x7ff0cb5a4f50	{854.98 442.43 855.0 442.49}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_53 & Blockage of Cell u_core_u_fifo_mem_reg[30][34] Actual: 0.060000 Required: 0.230000 Type: ParallelRunLength Spacing # 60 230 3 2 : 854.7000 442.4900 854.9800 442.7700 1: 855.0000 442.2200 855.2100 442.4300 1     LEF Description:  SPACING 0.230000 
6	0x7ff0cb5a4f20	{854.98 442.45 855.115 442.49}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_53 & Blockage of Cell u_core_u_fifo_mem_reg[30][34] Actual: 0.135000 Required: 0.230000 Type: ParallelRunLength Spacing # 135 230 3 2 : 854.7000 442.4900 854.9800 442.7700 1: 855.1150 442.3350 855.2300 442.4500 1     LEF Description:  SPACING 0.230000 
7	0x7ff0a0726d70	{41.006 722.72 209.956 793.22}	POLY1	Placement	SPOffGridViolation	Block u_core_u_osc_slow_u_ro_tune4 is not on manufacturing grid CheckPlace
8	0x7ff09c1d8ef0	{41.011 779.285 43.041 781.12}	MET3	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_osc_slow_u_ro_tune4/VDD; Direction: INOUT; Use: POWER;
9	0x7ff09c1d8c20	{40.775 728.0 40.775 728.0}	MET1	Connectivity	ConnectivityAntenna	Net VDD
10	0x7ff09c1d8c50	{40.775 736.96 40.775 736.96}	MET1	Connectivity	ConnectivityAntenna	Net VDD
11	0x7ff09c1d8c80	{40.775 745.92 40.775 745.92}	MET1	Connectivity	ConnectivityAntenna	Net VDD
12	0x7ff09c1d8cb0	{210.19 754.88 210.19 754.88}	MET1	Connectivity	ConnectivityAntenna	Net VDD
13	0x7ff09c1d8ce0	{210.19 763.84 210.19 763.84}	MET1	Connectivity	ConnectivityAntenna	Net VDD
