timestamp,stage,status
"2026-08-28 15:10:37 CEST","source_gate","start"
"2026-08-28 15:10:37 CEST","source_gate","done"
"2026-08-28 15:10:37 CEST","import_mmmc","start"
"2026-08-28 15:10:41 CEST","import_mmmc","done"
"2026-08-28 15:10:41 CEST","post_import_gate","start"
"2026-08-28 15:10:41 CEST","post_import_gate","done"
"2026-08-28 15:10:41 CEST","post_import_tc_timing","start"
"2026-08-28 15:10:50 CEST","post_import_tc_timing","done"
"2026-08-28 15:10:50 CEST","floorplan","start"
"2026-08-28 15:10:53 CEST","floorplan","done"
"2026-08-28 15:10:53 CEST","io_placement","start"
"2026-08-28 15:10:53 CEST","io_placement","done"
"2026-08-28 15:10:53 CEST","ro_seed","start"
"2026-08-28 15:10:53 CEST","ro_seed","done"
"2026-08-28 15:10:53 CEST","macro_aware_placement","start"
"2026-08-28 15:11:19 CEST","macro_aware_placement","done"
"2026-08-28 15:11:19 CEST","pg_connectivity","start"
"2026-08-28 15:11:19 CEST","pg_connectivity","fail"
