timestamp,stage,status
"2026-08-28 15:18:24 CEST","source_gate","start"
"2026-08-28 15:18:24 CEST","source_gate","done"
"2026-08-28 15:18:24 CEST","import_mmmc","start"
"2026-08-28 15:18:29 CEST","import_mmmc","done"
"2026-08-28 15:18:29 CEST","post_import_gate","start"
"2026-08-28 15:18:29 CEST","post_import_gate","done"
"2026-08-28 15:18:29 CEST","post_import_tc_timing","start"
"2026-08-28 15:18:38 CEST","post_import_tc_timing","done"
"2026-08-28 15:18:38 CEST","floorplan","start"
"2026-08-28 15:18:41 CEST","floorplan","done"
"2026-08-28 15:18:41 CEST","io_placement","start"
"2026-08-28 15:18:41 CEST","io_placement","done"
"2026-08-28 15:18:41 CEST","ro_seed","start"
"2026-08-28 15:18:41 CEST","ro_seed","done"
"2026-08-28 15:18:41 CEST","macro_aware_placement","start"
"2026-08-28 15:19:06 CEST","macro_aware_placement","done"
"2026-08-28 15:19:06 CEST","pg_connectivity","start"
"2026-08-28 15:19:07 CEST","pg_connectivity","done"
"2026-08-28 15:19:07 CEST","pd_matrix_inventory","start"
"2026-08-28 15:19:07 CEST","pd_matrix_inventory","done"
"2026-08-28 15:19:07 CEST","phase_buffer_inventory","start"
"2026-08-28 15:19:09 CEST","phase_buffer_inventory","done"
"2026-08-28 15:19:09 CEST","row_infrastructure","start"
"2026-08-28 15:19:09 CEST","row_infrastructure","done"
"2026-08-28 15:19:09 CEST","placement","start"
"2026-08-28 15:23:08 CEST","placement","done"
"2026-08-28 15:23:08 CEST","pre_cts_tie_insertion","start"
"2026-08-28 15:23:15 CEST","pre_cts_tie_insertion","done"
"2026-08-28 15:23:15 CEST","cts","start"
"2026-08-28 15:31:56 CEST","cts","done"
"2026-08-28 15:31:56 CEST","route","start"
"2026-08-28 15:32:22 CEST","route","fail"
