tile,ns,nf,instance,llx,lly,urx,ury,center_x,center_y,leaf_count,bbox_source,expected_llx,expected_lly,expected_urx,expected_ury,dx,dy,status
0_0,0,0,u_core_gen_pd_row[0].gen_pd_col[0].u_pd,493.92,91.84,545.44,136.64,519.68,114.24,26,hier_leaf_aggregate,50.4,268.8,87.9,306.3,450.53,-173.31,OUTSIDE_TILE_REGION
0_1,0,1,u_core_gen_pd_row[0].gen_pd_col[1].u_pd,400.96,78.4,431.2,141.12,416.08,109.76,25,hier_leaf_aggregate,50.4,306.3,87.9,343.8,346.93,-215.29,OUTSIDE_TILE_REGION
0_2,0,2,u_core_gen_pd_row[0].gen_pd_col[2].u_pd,198.24,100.8,233.52,168.0,215.88,134.4,25,hier_leaf_aggregate,50.4,343.8,87.9,381.3,146.73,-228.15,OUTSIDE_TILE_REGION
0_3,0,3,u_core_gen_pd_row[0].gen_pd_col[3].u_pd,194.32,185.92,271.04,221.76,232.68,203.84,26,hier_leaf_aggregate,50.4,381.3,87.9,418.8,163.53,-196.21,OUTSIDE_TILE_REGION
0_4,0,4,u_core_gen_pd_row[0].gen_pd_col[4].u_pd,120.96,141.12,166.32,190.4,143.64,165.76,30,hier_leaf_aggregate,50.4,418.8,87.9,456.3,74.49,-271.79,OUTSIDE_TILE_REGION
0_5,0,5,u_core_gen_pd_row[0].gen_pd_col[5].u_pd,66.64,199.36,149.52,226.24,108.08,212.8,25,hier_leaf_aggregate,50.4,456.3,87.9,493.8,38.93,-262.25,OUTSIDE_TILE_REGION
0_6,0,6,u_core_gen_pd_row[0].gen_pd_col[6].u_pd,322.56,100.8,371.84,141.12,347.2,120.96,31,hier_leaf_aggregate,50.4,493.8,87.9,531.3,278.05,-391.59,OUTSIDE_TILE_REGION
0_7,0,7,u_core_gen_pd_row[0].gen_pd_col[7].u_pd,384.16,159.04,441.28,185.92,412.72,172.48,24,hier_leaf_aggregate,50.4,531.3,87.9,568.8,343.57,-377.57,OUTSIDE_TILE_REGION
1_0,1,0,u_core_gen_pd_row[1].gen_pd_col[0].u_pd,444.64,123.2,541.52,168.0,493.08,145.6,25,hier_leaf_aggregate,87.9,268.8,125.4,306.3,386.43,-141.95,OUTSIDE_TILE_REGION
1_1,1,1,u_core_gen_pd_row[1].gen_pd_col[1].u_pd,418.32,78.4,454.16,145.6,436.24,112.0,31,hier_leaf_aggregate,87.9,306.3,125.4,343.8,329.59,-213.05,OUTSIDE_TILE_REGION
1_2,1,2,u_core_gen_pd_row[1].gen_pd_col[2].u_pd,182.0,114.24,232.96,163.52,207.48,138.88,26,hier_leaf_aggregate,87.9,343.8,125.4,381.3,100.83,-223.67,OUTSIDE_TILE_REGION
1_3,1,3,u_core_gen_pd_row[1].gen_pd_col[3].u_pd,187.6,190.4,284.48,226.24,236.04,208.32,25,hier_leaf_aggregate,87.9,381.3,125.4,418.8,129.39,-191.73,OUTSIDE_TILE_REGION
1_4,1,4,u_core_gen_pd_row[1].gen_pd_col[4].u_pd,124.32,190.4,173.04,239.68,148.68,215.04,26,hier_leaf_aggregate,87.9,418.8,125.4,456.3,42.03,-222.51,OUTSIDE_TILE_REGION
1_5,1,5,u_core_gen_pd_row[1].gen_pd_col[5].u_pd,54.88,217.28,127.12,244.16,91.0,230.72,24,hier_leaf_aggregate,87.9,456.3,125.4,493.8,-15.65,-244.33,OUTSIDE_TILE_REGION
1_6,1,6,u_core_gen_pd_row[1].gen_pd_col[6].u_pd,348.32,136.64,385.84,199.36,367.08,168.0,26,hier_leaf_aggregate,87.9,493.8,125.4,531.3,260.43,-344.55,OUTSIDE_TILE_REGION
1_7,1,7,u_core_gen_pd_row[1].gen_pd_col[7].u_pd,372.4,181.44,445.2,221.76,408.8,201.6,36,hier_leaf_aggregate,87.9,531.3,125.4,568.8,302.15,-348.45,OUTSIDE_TILE_REGION
2_0,2,0,u_core_gen_pd_row[2].gen_pd_col[0].u_pd,443.52,168.0,527.52,208.32,485.52,188.16,25,hier_leaf_aggregate,125.4,268.8,162.9,306.3,341.37,-99.39,OUTSIDE_TILE_REGION
2_1,2,1,u_core_gen_pd_row[2].gen_pd_col[1].u_pd,423.92,194.88,455.28,275.52,439.6,235.2,25,hier_leaf_aggregate,125.4,306.3,162.9,343.8,295.45,-89.85,OUTSIDE_TILE_REGION
2_2,2,2,u_core_gen_pd_row[2].gen_pd_col[2].u_pd,159.04,199.36,226.24,235.2,192.64,217.28,26,hier_leaf_aggregate,125.4,343.8,162.9,381.3,48.49,-145.27,OUTSIDE_TILE_REGION
2_3,2,3,u_core_gen_pd_row[2].gen_pd_col[3].u_pd,221.2,208.32,269.92,253.12,245.56,230.72,25,hier_leaf_aggregate,125.4,381.3,162.9,418.8,101.41,-169.33,OUTSIDE_TILE_REGION
2_4,2,4,u_core_gen_pd_row[2].gen_pd_col[4].u_pd,122.08,217.28,155.12,266.56,138.6,241.92,30,hier_leaf_aggregate,125.4,418.8,162.9,456.3,-5.55,-195.63,OUTSIDE_TILE_REGION
2_5,2,5,u_core_gen_pd_row[2].gen_pd_col[5].u_pd,56.56,235.2,134.4,262.08,95.48,248.64,24,hier_leaf_aggregate,125.4,456.3,162.9,493.8,-48.67,-226.41,OUTSIDE_TILE_REGION
2_6,2,6,u_core_gen_pd_row[2].gen_pd_col[6].u_pd,314.72,208.32,374.64,244.16,344.68,226.24,30,hier_leaf_aggregate,125.4,493.8,162.9,531.3,200.53,-286.31,OUTSIDE_TILE_REGION
2_7,2,7,u_core_gen_pd_row[2].gen_pd_col[7].u_pd,371.84,221.76,394.8,288.96,383.32,255.36,24,hier_leaf_aggregate,125.4,531.3,162.9,568.8,239.17,-294.69,OUTSIDE_TILE_REGION
3_0,3,0,u_core_gen_pd_row[3].gen_pd_col[0].u_pd,423.36,320.32,499.52,383.04,461.44,351.68,26,hier_leaf_aggregate,162.9,268.8,200.4,306.3,279.79,64.13,OUTSIDE_TILE_REGION
3_1,3,1,u_core_gen_pd_row[3].gen_pd_col[1].u_pd,420.0,275.52,453.6,369.6,436.8,322.56,25,hier_leaf_aggregate,162.9,306.3,200.4,343.8,255.15,-2.49,OUTSIDE_TILE_REGION
3_2,3,2,u_core_gen_pd_row[3].gen_pd_col[2].u_pd,160.16,338.24,216.72,369.6,188.44,353.92,26,hier_leaf_aggregate,162.9,343.8,200.4,381.3,6.79,-8.63,OK
3_3,3,3,u_core_gen_pd_row[3].gen_pd_col[3].u_pd,202.16,342.72,259.84,369.6,231.0,356.16,24,hier_leaf_aggregate,162.9,381.3,200.4,418.8,49.35,-43.89,OUTSIDE_TILE_REGION
3_4,3,4,u_core_gen_pd_row[3].gen_pd_col[4].u_pd,110.88,333.76,161.84,369.6,136.36,351.68,30,hier_leaf_aggregate,162.9,418.8,200.4,456.3,-45.29,-85.87,OUTSIDE_TILE_REGION
3_5,3,5,u_core_gen_pd_row[3].gen_pd_col[5].u_pd,50.96,338.24,112.56,369.6,81.76,353.92,24,hier_leaf_aggregate,162.9,456.3,200.4,493.8,-99.89,-121.13,OUTSIDE_TILE_REGION
3_6,3,6,u_core_gen_pd_row[3].gen_pd_col[6].u_pd,341.04,329.28,383.6,374.08,362.32,351.68,31,hier_leaf_aggregate,162.9,493.8,200.4,531.3,180.67,-160.87,OUTSIDE_TILE_REGION
3_7,3,7,u_core_gen_pd_row[3].gen_pd_col[7].u_pd,403.76,396.48,434.0,450.24,418.88,423.36,25,hier_leaf_aggregate,162.9,531.3,200.4,568.8,237.23,-126.69,OUTSIDE_TILE_REGION
4_0,4,0,u_core_gen_pd_row[4].gen_pd_col[0].u_pd,447.44,548.8,549.36,642.88,498.4,595.84,30,hier_leaf_aggregate,200.4,268.8,237.9,306.3,279.25,308.29,OUTSIDE_TILE_REGION
4_1,4,1,u_core_gen_pd_row[4].gen_pd_col[1].u_pd,420.0,557.76,474.32,647.36,447.16,602.56,32,hier_leaf_aggregate,200.4,306.3,237.9,343.8,228.01,277.51,OUTSIDE_TILE_REGION
4_2,4,2,u_core_gen_pd_row[4].gen_pd_col[2].u_pd,151.2,486.08,215.04,530.88,183.12,508.48,25,hier_leaf_aggregate,200.4,343.8,237.9,381.3,-36.03,145.93,OUTSIDE_TILE_REGION
4_3,4,3,u_core_gen_pd_row[4].gen_pd_col[3].u_pd,193.76,486.08,284.48,521.92,239.12,504.0,26,hier_leaf_aggregate,200.4,381.3,237.9,418.8,19.97,103.95,OUTSIDE_TILE_REGION
4_4,4,4,u_core_gen_pd_row[4].gen_pd_col[4].u_pd,117.04,526.4,157.36,593.6,137.2,560.0,30,hier_leaf_aggregate,200.4,418.8,237.9,456.3,-81.95,122.45,OUTSIDE_TILE_REGION
4_5,4,5,u_core_gen_pd_row[4].gen_pd_col[5].u_pd,62.16,481.6,124.32,521.92,93.24,501.76,31,hier_leaf_aggregate,200.4,456.3,237.9,493.8,-125.91,26.71,OUTSIDE_TILE_REGION
4_6,4,6,u_core_gen_pd_row[4].gen_pd_col[6].u_pd,310.24,611.52,356.72,701.12,333.48,656.32,25,hier_leaf_aggregate,200.4,493.8,237.9,531.3,114.33,143.77,OUTSIDE_TILE_REGION
4_7,4,7,u_core_gen_pd_row[4].gen_pd_col[7].u_pd,374.08,535.36,432.88,571.2,403.48,553.28,24,hier_leaf_aggregate,200.4,531.3,237.9,568.8,184.33,3.23,OUTSIDE_TILE_REGION
5_0,5,0,u_core_gen_pd_row[5].gen_pd_col[0].u_pd,464.24,566.72,515.2,647.36,489.72,607.04,32,hier_leaf_aggregate,237.9,268.8,275.4,306.3,233.07,319.49,OUTSIDE_TILE_REGION
5_1,5,1,u_core_gen_pd_row[5].gen_pd_col[1].u_pd,417.76,611.52,474.32,683.2,446.04,647.36,25,hier_leaf_aggregate,237.9,306.3,275.4,343.8,189.39,322.31,OUTSIDE_TILE_REGION
5_2,5,2,u_core_gen_pd_row[5].gen_pd_col[2].u_pd,162.96,486.08,233.52,526.4,198.24,506.24,28,hier_leaf_aggregate,237.9,343.8,275.4,381.3,-58.41,143.69,OUTSIDE_TILE_REGION
5_3,5,3,u_core_gen_pd_row[5].gen_pd_col[3].u_pd,194.88,477.12,286.16,512.96,240.52,495.04,25,hier_leaf_aggregate,237.9,381.3,275.4,418.8,-16.13,94.99,OUTSIDE_TILE_REGION
5_4,5,4,u_core_gen_pd_row[5].gen_pd_col[4].u_pd,98.56,562.24,159.6,616.0,129.08,589.12,31,hier_leaf_aggregate,237.9,418.8,275.4,456.3,-127.57,151.57,OUTSIDE_TILE_REGION
5_5,5,5,u_core_gen_pd_row[5].gen_pd_col[5].u_pd,44.8,486.08,155.68,521.92,100.24,504.0,25,hier_leaf_aggregate,237.9,456.3,275.4,493.8,-156.41,28.95,OUTSIDE_TILE_REGION
5_6,5,6,u_core_gen_pd_row[5].gen_pd_col[6].u_pd,356.72,620.48,384.72,710.08,370.72,665.28,25,hier_leaf_aggregate,237.9,493.8,275.4,531.3,114.07,152.73,OUTSIDE_TILE_REGION
5_7,5,7,u_core_gen_pd_row[5].gen_pd_col[7].u_pd,371.84,521.92,435.68,548.8,403.76,535.36,24,hier_leaf_aggregate,237.9,531.3,275.4,568.8,147.11,-14.69,OUTSIDE_TILE_REGION
6_0,6,0,u_core_gen_pd_row[6].gen_pd_col[0].u_pd,448.0,539.84,543.76,580.16,495.88,560.0,30,hier_leaf_aggregate,275.4,268.8,312.9,306.3,201.73,272.45,OUTSIDE_TILE_REGION
6_1,6,1,u_core_gen_pd_row[6].gen_pd_col[1].u_pd,423.92,593.6,460.32,692.16,442.12,642.88,25,hier_leaf_aggregate,275.4,306.3,312.9,343.8,147.97,317.83,OUTSIDE_TILE_REGION
6_2,6,2,u_core_gen_pd_row[6].gen_pd_col[2].u_pd,152.32,418.88,211.12,459.2,181.72,439.04,26,hier_leaf_aggregate,275.4,343.8,312.9,381.3,-112.43,76.49,OUTSIDE_TILE_REGION
6_3,6,3,u_core_gen_pd_row[6].gen_pd_col[3].u_pd,196.56,427.84,278.88,450.24,237.72,439.04,25,hier_leaf_aggregate,275.4,381.3,312.9,418.8,-56.43,38.99,OUTSIDE_TILE_REGION
6_4,6,4,u_core_gen_pd_row[6].gen_pd_col[4].u_pd,113.68,441.28,141.68,548.8,127.68,495.04,31,hier_leaf_aggregate,275.4,418.8,312.9,456.3,-166.47,57.49,OUTSIDE_TILE_REGION
6_5,6,5,u_core_gen_pd_row[6].gen_pd_col[5].u_pd,47.04,432.32,121.52,459.2,84.28,445.76,25,hier_leaf_aggregate,275.4,456.3,312.9,493.8,-209.87,-29.29,OUTSIDE_TILE_REGION
6_6,6,6,u_core_gen_pd_row[6].gen_pd_col[6].u_pd,311.92,624.96,361.76,714.56,336.84,669.76,25,hier_leaf_aggregate,275.4,493.8,312.9,531.3,42.69,157.21,OUTSIDE_TILE_REGION
6_7,6,7,u_core_gen_pd_row[6].gen_pd_col[7].u_pd,372.4,481.6,441.84,521.92,407.12,501.76,24,hier_leaf_aggregate,275.4,531.3,312.9,568.8,112.97,-48.29,OUTSIDE_TILE_REGION
7_0,7,0,u_core_gen_pd_row[7].gen_pd_col[0].u_pd,459.2,499.52,535.92,539.84,497.56,519.68,25,hier_leaf_aggregate,312.9,268.8,350.4,306.3,165.91,232.13,OUTSIDE_TILE_REGION
7_1,7,1,u_core_gen_pd_row[7].gen_pd_col[1].u_pd,425.6,432.32,461.44,544.32,443.52,488.32,36,hier_leaf_aggregate,312.9,306.3,350.4,343.8,111.87,163.27,OUTSIDE_TILE_REGION
7_2,7,2,u_core_gen_pd_row[7].gen_pd_col[2].u_pd,160.16,365.12,225.68,392.0,192.92,378.56,25,hier_leaf_aggregate,312.9,343.8,350.4,381.3,-138.73,16.01,OUTSIDE_TILE_REGION
7_3,7,3,u_core_gen_pd_row[7].gen_pd_col[3].u_pd,204.4,365.12,275.52,392.0,239.96,378.56,27,hier_leaf_aggregate,312.9,381.3,350.4,418.8,-91.69,-21.49,OUTSIDE_TILE_REGION
7_4,7,4,u_core_gen_pd_row[7].gen_pd_col[4].u_pd,108.08,356.16,162.96,405.44,135.52,380.8,26,hier_leaf_aggregate,312.9,418.8,350.4,456.3,-196.13,-56.75,OUTSIDE_TILE_REGION
7_5,7,5,u_core_gen_pd_row[7].gen_pd_col[5].u_pd,50.4,378.56,112.56,400.96,81.48,389.76,24,hier_leaf_aggregate,312.9,456.3,350.4,493.8,-250.17,-85.29,OUTSIDE_TILE_REGION
7_6,7,6,u_core_gen_pd_row[7].gen_pd_col[6].u_pd,336.56,396.48,371.28,450.24,353.92,423.36,26,hier_leaf_aggregate,312.9,493.8,350.4,531.3,22.27,-89.19,OUTSIDE_TILE_REGION
7_7,7,7,u_core_gen_pd_row[7].gen_pd_col[7].u_pd,398.16,365.12,449.68,432.32,423.92,398.72,31,hier_leaf_aggregate,312.9,531.3,350.4,568.8,92.27,-151.33,OUTSIDE_TILE_REGION
