idx	marker_handle	box	layer	type	subType	message
1	0x7f7515782dd0	{1055.74 451.45 1056.02 451.83}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_67 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
2	0x7f7542a619a0	{1061.34 457.61 1061.62 457.99}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_67 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
3	0x7f7542a61190	{1055.74 451.45 1055.92 451.83}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_67 & Blockage of Cell u_core_u_fifo_mem_reg[11][2] Type: Metal Short # -1 -1 9 2 : 1055.7400 451.4500 1055.9200 451.8300 1: 1055.7400 451.4500 1055.9200 451.8300 1
4	0x7f75293f5850	{210.19 772.8 210.19 772.8}	MET1	Connectivity	ConnectivityAntenna	Net VDD
5	0x7f75293f57f0	{210.19 781.76 210.19 781.76}	MET1	Connectivity	ConnectivityAntenna	Net VDD
6	0x7f75293f4da0	{210.19 732.48 210.19 732.48}	MET1	Connectivity	ConnectivityAntenna	Net VSS
7	0x7f75293f4f80	{210.19 741.44 210.19 741.44}	MET1	Connectivity	ConnectivityAntenna	Net VSS
8	0x7f75293f4f50	{210.19 750.4 210.19 750.4}	MET1	Connectivity	ConnectivityAntenna	Net VSS
9	0x7f75293f4f20	{210.19 759.36 210.19 759.36}	MET1	Connectivity	ConnectivityAntenna	Net VSS
10	0x7f75293f5700	{40.775 728.0 40.775 728.0}	MET1	Connectivity	ConnectivityAntenna	Net VDD
11	0x7f75293f56d0	{40.775 736.96 40.775 736.96}	MET1	Connectivity	ConnectivityAntenna	Net VDD
12	0x7f75293f56a0	{40.775 745.92 40.775 745.92}	MET1	Connectivity	ConnectivityAntenna	Net VDD
13	0x7f75293f5880	{40.775 763.84 40.775 763.84}	MET1	Connectivity	ConnectivityAntenna	Net VDD
14	0x7f75293f5820	{40.775 772.8 40.775 772.8}	MET1	Connectivity	ConnectivityAntenna	Net VDD
15	0x7f75293f57c0	{40.775 781.76 40.775 781.76}	MET1	Connectivity	ConnectivityAntenna	Net VDD
16	0x7f75293f5790	{40.775 790.72 40.775 790.72}	MET1	Connectivity	ConnectivityAntenna	Net VDD
17	0x7f75293f5730	{41.016 763.915 42.696 765.585}	METTP	Connectivity	UnConnectedPin	Net VSS Pin: u_core_u_osc_slow_u_ro_tune4/VSS; Direction: INOUT; Use: GROUND;
18	0x7f751c0145c0	{41.006 722.72 209.956 793.22}	POLY1	Placement	SPOffGridViolation	Block u_core_u_osc_slow_u_ro_tune4 is not on manufacturing grid CheckPlace
19	0x7f7515783400	{430.78 550.01 431.06 550.39}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_8 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
20	0x7f75157833d0	{434.7 493.45 434.98 493.83}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_13 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
21	0x7f75157831c0	{430.78 550.01 431.0 550.39}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_8 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][235] Type: Metal Short # -1 -1 9 2 : 430.7800 550.0100 431.0000 550.3900 1: 430.7800 550.0100 431.0000 550.3900 1
22	0x7f7515783190	{434.76 493.45 434.98 493.83}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_13 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][404] Type: Metal Short # -1 -1 9 2 : 434.7600 493.4500 434.9800 493.8300 1: 434.7600 493.4500 434.9800 493.8300 1
23	0x7f7515783010	{430.69 549.835 430.78 550.01}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_8 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][235] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 430.4650 549.6100 430.6900 549.8350 1: 430.7800 550.0100 431.0600 550.2900 1     LEF Description:  SPACING 0.230000 
24	0x7f7515782fe0	{430.78 549.835 431.06 550.01}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_8 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][235] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 430.7800 549.7400 431.0600 549.8350 1: 430.7800 550.0100 431.0600 550.2900 1     LEF Description:  SPACING 0.230000 
25	0x7f7515782fb0	{434.7 493.83 434.98 494.005}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_13 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][404] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 434.7000 493.5500 434.9800 493.8300 1: 434.7000 494.0050 434.9800 494.1000 1     LEF Description:  SPACING 0.230000 
26	0x7f7515782f80	{434.98 493.83 435.07 494.005}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_13 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][404] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 434.7000 493.5500 434.9800 493.8300 1: 435.0700 494.0050 435.2950 494.2300 1     LEF Description:  SPACING 0.230000 
27	0x7f7515782f50	{461.58 547.21 461.86 547.59}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_8 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
28	0x7f7515782f20	{463.82 529.29 464.1 529.67}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_8 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
29	0x7f7515782ef0	{461.58 547.095 461.77 547.21}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_8 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][340] Actual: 0.115000 Required: 0.230000 Type: ParallelRunLength Spacing # 115 230 3 2 : 461.5400 546.8650 461.7700 547.0950 1: 461.5800 547.2100 461.8600 547.4900 1     LEF Description:  SPACING 0.230000 
