instance	master	placement_status	orientation	box
CTS_ccl_a_buf_00001	BUJIHDX12	placed	R180	{800.24 638.4 811.44 642.88}
CTS_ccl_a_buf_00002	BUJIHDX8	placed	R180	{723.52 387.52 731.36 392.0}
CTS_ccl_a_buf_00003	BUJIHDX8	placed	R180	{758.8 351.68 766.64 356.16}
CTS_ccl_a_buf_00004	BUJIHDX8	placed	R180	{476.56 459.2 484.4 463.68}
CTS_ccl_a_buf_00005	BUJIHDX8	placed	R180	{616.0 387.52 623.84 392.0}
CTS_ccl_a_buf_00006	BUJIHDX8	placed	MX	{498.96 548.8 506.8 553.28}
CTS_ccl_a_buf_00007	BUJIHDX12	placed	R180	{716.24 548.8 727.44 553.28}
CTS_ccl_a_buf_00008	BUJIHDX12	placed	R180	{722.96 593.6 734.16 598.08}
CTS_ccl_a_buf_00009	BUJIHDX12	placed	R0	{539.84 329.28 551.04 333.76}
CTS_ccl_a_buf_00010	BUJIHDX12	placed	R0	{568.96 266.56 580.16 271.04}
CTS_ccl_a_buf_00011	BUJIHDX8	placed	R180	{735.28 351.68 743.12 356.16}
CTS_ccl_a_buf_00012	BUJIHDX8	placed	R0	{757.68 383.04 765.52 387.52}
CTS_ccl_a_buf_00013	BUJIHDX12	placed	R0	{817.6 526.4 828.8 530.88}
CTS_ccl_a_buf_00014	BUJIHDX12	placed	MY	{971.6 768.32 982.8 772.8}
CTS_ccl_a_buf_00015	BUJIHDX12	placed	R0	{770.0 580.16 781.2 584.64}
CTS_ccl_a_buf_00016	BUJIHDX12	placed	MY	{760.48 759.36 771.68 763.84}
CTS_ccl_a_buf_00017	BUJIHDX12	placed	MY	{795.76 768.32 806.96 772.8}
CTS_ccl_a_buf_00018	BUJIHDX12	placed	R180	{976.08 754.88 987.28 759.36}
CTS_ccl_a_buf_00019	BUJIHDX12	placed	R0	{770.56 750.4 781.76 754.88}
CTS_ccl_a_buf_00020	BUJIHDX12	placed	R180	{355.04 369.6 366.24 374.08}
CTS_ccl_a_buf_00021	BUJIHDX12	placed	R180	{282.24 342.72 293.44 347.2}
CTS_ccl_a_buf_00022	BUJIHDX8	placed	R180	{278.32 566.72 286.16 571.2}
CTS_ccl_a_buf_00023	BUJIHDX8	placed	R180	{453.6 602.56 461.44 607.04}
CTS_ccl_a_buf_00024	BUJIHDX8	placed	R0	{507.36 624.96 515.2 629.44}
CTS_ccl_a_buf_00025	BUJIHDX8	placed	R180	{449.12 656.32 456.96 660.8}
CTS_ccl_a_buf_00026	BUJIHDX8	placed	MY	{397.6 669.76 405.44 674.24}
CTS_ccl_a_buf_00027	BUJIHDX8	placed	R180	{298.48 656.32 306.32 660.8}
CTS_ccl_a_buf_00028	BUJIHDX8	placed	R180	{234.08 584.64 241.92 589.12}
CTS_ccl_a_buf_00029	BUJIHDX8	placed	R0	{507.36 705.6 515.2 710.08}
CTS_ccl_a_buf_00030	BUJIHDX12	placed	R180	{700.56 701.12 711.76 705.6}
CTS_ccl_a_buf_00031	BUJIHDX8	placed	R180	{435.12 495.04 442.96 499.52}
CTS_ccl_a_buf_00032	BUJIHDX12	placed	R180	{381.92 342.72 393.12 347.2}
CTS_ccl_a_buf_00033	BUJIHDX12	placed	R180	{282.24 333.76 293.44 338.24}
CTS_ccl_a_buf_00034	BUJIHDX12	placed	MX	{449.12 342.72 460.32 347.2}
CTS_ccl_a_buf_00035	BUJIHDX12	placed	R180	{372.96 244.16 384.16 248.64}
CTS_ccl_a_buf_00036	BUJIHDX12	placed	R180	{496.16 208.32 507.36 212.8}
CTS_ccl_a_buf_00037	BUJIHDX12	placed	R0	{378.0 150.08 389.2 154.56}
CTS_ccl_a_buf_00038	BUJIHDX12	placed	R180	{547.12 208.32 558.32 212.8}
CTS_ccl_a_buf_00039	BUJIHDX12	placed	MY	{352.8 141.12 364.0 145.6}
CTS_ccl_a_buf_00040	BUJIHDX8	placed	R180	{831.6 342.72 839.44 347.2}
CTS_ccl_a_buf_00041	BUJIHDX8	placed	R0	{1019.76 356.16 1027.6 360.64}
CTS_ccl_a_buf_00042	BUJIHDX8	placed	R0	{986.16 338.24 994.0 342.72}
CTS_ccl_a_buf_00043	BUJIHDX8	placed	R180	{877.52 360.64 885.36 365.12}
CTS_ccl_a_buf_00044	BUJIHDX8	placed	R180	{877.52 262.08 885.36 266.56}
CTS_ccl_a_buf_00045	BUJIHDX8	placed	R0	{985.6 275.52 993.44 280.0}
CTS_ccl_a_buf_00046	BUJIHDX8	placed	R180	{960.4 280.0 968.24 284.48}
CTS_ccl_a_buf_00047	BUJIHDX12	placed	R180	{1043.84 459.2 1055.04 463.68}
CTS_ccl_a_buf_00048	BUJIHDX8	placed	R180	{889.28 360.64 897.12 365.12}
CTS_ccl_a_buf_00049	BUJIHDX12	placed	R180	{981.68 459.2 992.88 463.68}
CTS_ccl_a_buf_00050	BUJIHDX12	placed	R0	{1058.96 463.68 1070.16 468.16}
CTS_ccl_a_buf_00051	BUJIHDX12	placed	MX	{1082.48 548.8 1093.68 553.28}
