idx	marker_handle	box	layer	type	subType	message
1	0x7f9fa3bd9be0	{735.895 483.98 735.97 484.26}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_u_rst_status_sync/sync_q[0] & Regular Wire of Net u_core_u_rst_status_sync/sync_q[0] Actual: 0.075000 Required: 0.230000 Type: ParallelRunLength Spacing # 75 230 3 2 : 735.4200 483.9800 735.8950 484.2600 1: 735.9700 483.9800 736.2500 484.2600 1
2	0x7f9f0bf08a70	{683.29 540.565 683.58 540.795}	MET1	Geometry	Metal_Short	Regular Wire of Net u_core_n_58325 & Special Wire of Net VDD Type: Metal Short # -1 -1 9 2 : 683.2900 540.5650 683.5800 540.7950 1: 683.2900 540.5650 683.5800 540.7950 1
3	0x7f9f0bf08b00	{735.42 484.005 735.895 484.235}	MET1	Geometry	Metal_Short	Regular Wire of Net u_core_u_rst_status_sync/sync_q[0] & Regular Wire of Net u_core_u_rst_status_sync/MPTDC_TIE1_LTIEHI_NET Type: Metal Short # -1 -1 9 2 : 735.4200 484.0050 735.8950 484.2350 1: 735.4200 484.0050 735.8950 484.2350 1
4	0x7f9f0bf08b30	{840.14 537.765 840.615 537.995}	MET1	Geometry	Metal_Short	Regular Wire of Net u_core_n_57763 & Regular Wire of Net MPTDC_TIE1_LTIEHI_7_NET Type: Metal Short # -1 -1 9 2 : 840.1400 537.7650 840.6150 537.9950 1: 840.1400 537.7650 840.6150 537.9950 1
5	0x7f9f94a88ec0	{715.46 452.82 716.46 453.82}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net conv_arm_i Actual: 1199.815000 Required: 380.000000 Type: Antenna Side Area Ratio # 1199815 380000 50 0 PIN: u_core_g44649 (NA22JIHDX1) C  LAYER MET3: Area(126.5128) S.Area(511.1216) G.Area(0.4260) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (1199.8160 / 380.0000) 
6	0x7f9f94a89130	{791.06 537.94 792.06 538.94}	MET3	Antenna	Antenna_Side_Area_Ratio	Regular Wire of Net fifo_clr_i Actual: 513.358000 Required: 380.000000 Type: Antenna Side Area Ratio # 513358 380000 50 0 PIN: u_core_g80532 (NO2I1JIHDX2) B  LAYER MET3: Area(105.1880) S.Area(425.0608) G.Area(0.8280) D.Area(0.0000) Pro.D.Area(0.0000) VIO: S.PAR / Ratio (513.3584 / 380.0000) 
7	0x7f9f5323c650	{683.29 540.54 683.58 540.82}	MET1	Geometry	Metal_Short	Regular Wire of Net u_core_n_58325 & Pin of Cell u_core_g79079 Type: Metal Short # -1 -1 9 2 : 683.2900 540.5400 683.5800 540.8200 1: 683.2900 540.5400 683.5800 540.8200 1
8	0x7f9f5323c6e0	{735.42 484.005 735.895 484.235}	MET1	Geometry	Metal_Short	Regular Wire of Net u_core_u_rst_status_sync/sync_q[0] & Pin of Cell u_core_u_rst_status_sync/MPTDC_TIE1_LTIEHI Type: Metal Short # -1 -1 9 2 : 735.4200 484.0050 735.8950 484.2350 1: 735.4200 484.0050 735.8950 484.2350 1
9	0x7f9f5323c710	{840.14 537.765 840.615 537.995}	MET1	Geometry	Metal_Short	Regular Wire of Net u_core_n_57763 & Pin of Cell MPTDC_TIE1_LTIEHI_7 Type: Metal Short # -1 -1 9 2 : 840.1400 537.7650 840.6150 537.9950 1: 840.1400 537.7650 840.6150 537.9950 1
10	0x7f9f5323c740	{735.895 483.98 735.97 484.26}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_u_rst_status_sync/sync_q[0] Actual: 0.075000 Required: 0.230000 Type: ParallelRunLength Spacing # 75 230 3 2 : 735.4200 483.9500 735.8950 484.4550 1: 735.9700 483.9800 736.2500 484.2600 1     LEF Description:  SPACING 0.230000 
