polarity	inst_term	instance	master	pin	net
HIGH	{u_rst_core_sync/sync_q_reg[0]/D}	{u_rst_core_sync/sync_q_reg[0]}	DFRRQJIHDX1	D	0x0
HIGH	{u_core_gen_pd_row[0].gen_pd_col[0].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[0].gen_pd_col[0].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX2	SN	0x0
HIGH	{u_core_gen_pd_row[0].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[0].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX1	SN	0x0
HIGH	{u_core_gen_pd_row[0].gen_pd_col[2].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[0].gen_pd_col[2].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX1	SN	0x0
HIGH	{u_core_gen_pd_row[0].gen_pd_col[3].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[0].gen_pd_col[3].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX2	SN	0x0
HIGH	{u_core_gen_pd_row[0].gen_pd_col[4].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[0].gen_pd_col[4].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX4	SN	0x0
HIGH	{u_core_gen_pd_row[0].gen_pd_col[5].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[0].gen_pd_col[5].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX2	SN	0x0
HIGH	{u_core_gen_pd_row[0].gen_pd_col[6].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[0].gen_pd_col[6].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX2	SN	0x0
HIGH	{u_core_gen_pd_row[0].gen_pd_col[7].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[0].gen_pd_col[7].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX1	SN	0x0
HIGH	{u_core_gen_pd_row[1].gen_pd_col[0].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[1].gen_pd_col[0].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX1	SN	0x0
HIGH	{u_core_gen_pd_row[1].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[1].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX4	SN	0x0
HIGH	{u_core_gen_pd_row[1].gen_pd_col[2].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[1].gen_pd_col[2].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX4	SN	0x0
HIGH	{u_core_gen_pd_row[1].gen_pd_col[3].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[1].gen_pd_col[3].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX2	SN	0x0
HIGH	{u_core_gen_pd_row[1].gen_pd_col[4].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[1].gen_pd_col[4].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX2	SN	0x0
HIGH	{u_core_gen_pd_row[1].gen_pd_col[5].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[1].gen_pd_col[5].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX2	SN	0x0
HIGH	{u_core_gen_pd_row[1].gen_pd_col[6].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[1].gen_pd_col[6].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX1	SN	0x0
HIGH	{u_core_gen_pd_row[1].gen_pd_col[7].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[1].gen_pd_col[7].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX1	SN	0x0
HIGH	{u_core_gen_pd_row[2].gen_pd_col[0].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[2].gen_pd_col[0].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX1	SN	0x0
HIGH	{u_core_gen_pd_row[2].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[2].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX2	SN	0x0
HIGH	{u_core_gen_pd_row[2].gen_pd_col[2].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[2].gen_pd_col[2].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX4	SN	0x0
HIGH	{u_core_gen_pd_row[2].gen_pd_col[3].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[2].gen_pd_col[3].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX2	SN	0x0
HIGH	{u_core_gen_pd_row[2].gen_pd_col[4].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[2].gen_pd_col[4].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX4	SN	0x0
HIGH	{u_core_gen_pd_row[2].gen_pd_col[5].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[2].gen_pd_col[5].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX2	SN	0x0
HIGH	{u_core_gen_pd_row[2].gen_pd_col[6].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[2].gen_pd_col[6].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX4	SN	0x0
HIGH	{u_core_gen_pd_row[2].gen_pd_col[7].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[2].gen_pd_col[7].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX1	SN	0x0
HIGH	{u_core_gen_pd_row[3].gen_pd_col[0].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[3].gen_pd_col[0].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX1	SN	0x0
HIGH	{u_core_gen_pd_row[3].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[3].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX2	SN	0x0
HIGH	{u_core_gen_pd_row[3].gen_pd_col[2].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[3].gen_pd_col[2].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX4	SN	0x0
HIGH	{u_core_gen_pd_row[3].gen_pd_col[3].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[3].gen_pd_col[3].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX1	SN	0x0
HIGH	{u_core_gen_pd_row[3].gen_pd_col[4].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[3].gen_pd_col[4].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX4	SN	0x0
HIGH	{u_core_gen_pd_row[3].gen_pd_col[5].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[3].gen_pd_col[5].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX2	SN	0x0
HIGH	{u_core_gen_pd_row[3].gen_pd_col[6].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[3].gen_pd_col[6].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX1	SN	0x0
HIGH	{u_core_gen_pd_row[3].gen_pd_col[7].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[3].gen_pd_col[7].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX1	SN	0x0
HIGH	{u_core_gen_pd_row[4].gen_pd_col[0].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[4].gen_pd_col[0].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX4	SN	0x0
HIGH	{u_core_gen_pd_row[4].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[4].gen_pd_col[1].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX4	SN	0x0
HIGH	{u_core_gen_pd_row[4].gen_pd_col[2].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[4].gen_pd_col[2].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX4	SN	0x0
HIGH	{u_core_gen_pd_row[4].gen_pd_col[3].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[4].gen_pd_col[3].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX2	SN	0x0
HIGH	{u_core_gen_pd_row[4].gen_pd_col[4].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[4].gen_pd_col[4].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX4	SN	0x0
HIGH	{u_core_gen_pd_row[4].gen_pd_col[5].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[4].gen_pd_col[5].u_pd/nfast_hit_latched_reg[0]}	DFRSQJIHDX1	SN	0x0
HIGH	{u_core_gen_pd_row[4].gen_pd_col[6].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[4].gen_pd_col[6].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX1	SN	0x0
HIGH	{u_core_gen_pd_row[4].gen_pd_col[7].u_pd/nfast_hit_latched_reg[0]/SN}	{u_core_gen_pd_row[4].gen_pd_col[7].u_pd/nfast_hit_latched_reg[0]}	DFRSJIHDX1	SN	0x0
