net	sink_count	tie_high_source_count	inst_term_count	wire_count	via_count	contract_status	route_status
MPTDC_TIE1_LTIEHI_1_NET	2	1	3	7	5	PASS	PASS
MPTDC_TIE1_LTIEHI_2_NET	2	1	3	8	4	PASS	PASS
MPTDC_TIE1_LTIEHI_3_NET	1	1	2	3	4	PASS	PASS
MPTDC_TIE1_LTIEHI_4_NET	1	1	2	2	2	PASS	PASS
MPTDC_TIE1_LTIEHI_5_NET	1	1	2	4	6	PASS	PASS
MPTDC_TIE1_LTIEHI_6_NET	2	1	3	7	8	PASS	PASS
MPTDC_TIE1_LTIEHI_7_NET	2	1	3	11	12	PASS	PASS
MPTDC_TIE1_LTIEHI_NET	3	1	4	9	9	PASS	PASS
u_core_gen_pd_row[0].gen_pd_col[0].u_pd/MPTDC_TIE1_LTIEHI_NET	1	1	2	3	4	PASS	PASS
u_core_gen_pd_row[0].gen_pd_col[1].u_pd/MPTDC_TIE1_LTIEHI_NET	1	1	2	3	4	PASS	PASS
u_core_gen_pd_row[0].gen_pd_col[2].u_pd/MPTDC_TIE1_LTIEHI_NET	1	1	2	4	2	PASS	PASS
u_core_gen_pd_row[0].gen_pd_col[3].u_pd/MPTDC_TIE1_LTIEHI_NET	1	1	2	2	2	PASS	PASS
u_core_gen_pd_row[0].gen_pd_col[4].u_pd/MPTDC_TIE1_LTIEHI_NET	1	1	2	2	4	PASS	PASS
u_core_gen_pd_row[0].gen_pd_col[5].u_pd/MPTDC_TIE1_LTIEHI_NET	1	1	2	2	2	PASS	PASS
u_core_gen_pd_row[0].gen_pd_col[6].u_pd/MPTDC_TIE1_LTIEHI_NET	1	1	2	4	4	PASS	PASS
u_core_gen_pd_row[0].gen_pd_col[7].u_pd/MPTDC_TIE1_LTIEHI_NET	1	1	2	2	2	PASS	PASS
u_core_gen_pd_row[1].gen_pd_col[0].u_pd/MPTDC_TIE1_LTIEHI_NET	1	1	2	3	2	PASS	PASS
