idx	marker_handle	box	layer	type	subType	message
1	0x7f5bdd92dbe0	{204.16 724.52 206.16 725.22}	MET3	Geometry	Metal_Short	Special Wire of Net VDD & Special Wire of Net VSS Type: Metal Short # -1 -1 9 2 : 204.1600 724.5200 206.1600 725.2200 3: 204.1600 724.5200 206.1600 725.2200 3
2	0x7f5bdd92db80	{200.16 726.22 202.16 726.44}	MET3	Geometry	Metal_Short	Special Wire of Net VDD & Special Wire of Net VSS Type: Metal Short # -1 -1 9 2 : 200.1600 726.2200 202.1600 726.4400 3: 200.1600 726.2200 202.1600 726.4400 3
3	0x7f5bdd92da30	{225.82 705.2 226.1 706.0}	MET2	Geometry	Metal_Short	Regular Wire of Net FE_OFN141_u_core_fast_tag_col_0__3 & Special Wire of Net VSS Type: Metal Short # -1 -1 9 2 : 225.8200 705.2000 226.1000 706.0000 2: 225.8200 705.2000 226.1000 706.0000 2
4	0x7f5bdd92da00	{225.26 669.36 225.54 670.16}	MET2	Geometry	Metal_Short	Regular Wire of Net FE_OFN141_u_core_fast_tag_col_0__3 & Special Wire of Net VSS Type: Metal Short # -1 -1 9 2 : 225.2600 669.3600 225.5400 670.1600 2: 225.2600 669.3600 225.5400 670.1600 2
5	0x7f5bdd92d970	{209.53 645.72 226.35 645.82}	MET3	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_slow_phase[6] & Special Wire of Net VSS Actual: 0.100000 Required: 0.280000 Type: ParallelRunLength Spacing # 100 280 3 2 : 209.5300 643.7200 226.3500 645.7200 3: 209.5300 645.8200 226.3500 646.1000 3     LEF Description:  SPACING 0.280000 
6	0x7f5bdd92d910	{223.35 655.92 223.58 656.72}	MET2	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net FE_OFN138_u_core_fast_tag_col_0__1 & Special Wire of Net VDD Actual: 0.230000 Required: 0.280000 Type: ParallelRunLength Spacing # 230 280 3 2 : 222.5500 655.9200 223.3500 656.7200 2: 223.5800 655.9200 223.8600 656.7200 2     LEF Description:  SPACING 0.280000 
7	0x7f5bdd92d8e0	{223.35 646.96 223.58 647.76}	MET2	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net FE_OFN138_u_core_fast_tag_col_0__1 & Special Wire of Net VDD Actual: 0.230000 Required: 0.280000 Type: ParallelRunLength Spacing # 230 280 3 2 : 222.5500 646.9600 223.3500 647.7600 2: 223.5800 646.9600 223.8600 647.7600 2     LEF Description:  SPACING 0.280000 
8	0x7f5bdd92d8b0	{208.46 647.5 223.35 647.78}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_fe_osc_slow_en & Special Wire of Net VDD Type: Metal Short # -1 -1 9 2 : 208.4600 647.5000 223.3500 647.7800 3: 208.4600 647.5000 223.3500 647.7800 3
9	0x7f5bdd92d880	{208.46 646.72 208.74 647.78}	MET3	Geometry	Metal_Short	Regular Wire of Net u_core_fe_osc_slow_en & Special Wire of Net VDD Type: Metal Short # -1 -1 9 2 : 208.4600 646.7200 208.7400 647.7800 3: 208.4600 646.7200 208.7400 647.7800 3
10	0x7f5bdd92d850	{204.16 647.24 206.16 648.04}	MET3	Geometry	Metal_Short	Special Wire of Net VSS & Special Wire of Net VDD Type: Metal Short # -1 -1 9 2 : 204.1600 647.2400 206.1600 648.0400 3: 204.1600 647.2400 206.1600 648.0400 3
