terminal	direction	net	pin_index	fig_index	obj_type	layer	purpose	llx	lly	urx	ury	text
rstb	input	rstb	0	0	rect	MET2	pin	-4.295000	-85.825000	-4.015000	-85.595000	ABSENT
code<0>	input	code<0>	0	0	rect	MET1	pin	-2.775000	-18.885000	-2.545000	-18.655000	ABSENT
code<7>	input	code<7>	0	0	rect	MET1	pin	-1.805000	-18.885000	-1.575000	-18.655000	ABSENT
code<6>	input	code<6>	0	0	rect	MET1	pin	-2.290000	-18.885000	-2.060000	-18.655000	ABSENT
code<5>	input	code<5>	0	0	rect	MET1	pin	-5.200000	-18.885000	-4.970000	-18.655000	ABSENT
code<4>	input	code<4>	0	0	rect	MET1	pin	-4.715000	-18.885000	-4.485000	-18.655000	ABSENT
code<3>	input	code<3>	0	0	rect	MET1	pin	-4.230000	-18.885000	-4.000000	-18.655000	ABSENT
code<2>	input	code<2>	0	0	rect	MET1	pin	-3.745000	-18.885000	-3.515000	-18.655000	ABSENT
code<1>	input	code<1>	0	0	rect	MET1	pin	-3.260000	-18.885000	-3.030000	-18.655000	ABSENT
S<0>	output	S<0>	0	0	rect	MET2	pin	23.305000	-85.825000	23.585000	-85.595000	ABSENT
S<7>	output	S<7>	0	0	rect	MET2	pin	64.455000	-85.825000	64.735000	-85.595000	ABSENT
S<1>	output	S<1>	0	0	rect	MET2	pin	27.655000	-85.825000	27.935000	-85.595000	ABSENT
S<2>	output	S<2>	0	0	rect	MET2	pin	68.805000	-85.825000	69.085000	-85.595000	ABSENT
S<3>	output	S<3>	0	0	rect	MET2	pin	48.230000	-85.825000	48.510000	-85.595000	ABSENT
S<4>	output	S<4>	0	0	rect	MET2	pin	7.080000	-85.825000	7.360000	-85.595000	ABSENT
S<5>	output	S<5>	0	0	rect	MET2	pin	43.910000	-85.825000	44.190000	-85.595000	ABSENT
S<6>	output	S<6>	0	0	rect	MET2	pin	85.030000	-85.825000	85.310000	-85.595000	ABSENT
VDD	inputOutput	VDD	-1	-1	ABSENT	ABSENT	ABSENT	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	ABSENT
VSS	inputOutput	VSS	0	0	rect	METTP	pin	-68.695000	-53.315000	-67.015000	-45.650000	ABSENT
VSS	inputOutput	VSS	1	0	rect	MET1	pin	-68.695000	-53.315000	-67.015000	-45.650000	ABSENT
gnd!	inputOutput	gnd!	-1	-1	ABSENT	ABSENT	ABSENT	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	ABSENT
vdd!	inputOutput	vdd!	-1	-1	ABSENT	ABSENT	ABSENT	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	ABSENT
