obj_type	text	net	layer	purpose	llx	lly	urx	ury
label	rstb	ABSENT	MET2	TEXT	-4.326000	-85.760000	-4.034000	-85.660000
label	code<0>	ABSENT	MET1	TEXT	-2.999000	-18.820000	-2.321000	-18.720000
label	code<7>	ABSENT	MET1	TEXT	-2.029000	-18.820000	-1.351000	-18.720000
label	code<6>	ABSENT	MET1	TEXT	-2.514000	-18.820000	-1.836000	-18.720000
label	code<5>	ABSENT	MET1	TEXT	-5.424000	-18.820000	-4.746000	-18.720000
label	code<4>	ABSENT	MET1	TEXT	-4.939000	-18.820000	-4.261000	-18.720000
label	code<3>	ABSENT	MET1	TEXT	-4.454000	-18.820000	-3.776000	-18.720000
label	code<2>	ABSENT	MET1	TEXT	-3.969000	-18.820000	-3.291000	-18.720000
label	code<1>	ABSENT	MET1	TEXT	-3.477000	-18.820000	-2.813000	-18.720000
label	S<0>	ABSENT	MET2	TEXT	23.210000	-85.760000	23.630000	-85.660000
label	S<7>	ABSENT	MET2	TEXT	64.360000	-85.760000	64.780000	-85.660000
label	S<1>	ABSENT	MET2	TEXT	27.567000	-85.760000	27.973000	-85.660000
label	S<2>	ABSENT	MET2	TEXT	68.710000	-85.760000	69.130000	-85.660000
label	S<3>	ABSENT	MET2	TEXT	48.135000	-85.760000	48.555000	-85.660000
label	S<4>	ABSENT	MET2	TEXT	6.985000	-85.760000	7.405000	-85.660000
label	S<5>	ABSENT	MET2	TEXT	43.815000	-85.760000	44.235000	-85.660000
label	S<6>	ABSENT	MET2	TEXT	84.935000	-85.760000	85.355000	-85.660000
label	VSS	ABSENT	MET1	TEXT	-68.594000	-53.235000	-68.316000	-53.135000
label	VSS	ABSENT	MET1	TEXT	-68.594000	-53.235000	-68.316000	-53.135000
