obj_type	net	layer	purpose	llx	lly	urx	ury	text
rect	VDD	MET1	drawing	-66.670000	-36.465000	-64.990000	-30.115000	ABSENT
rect	VDD	MET1	drawing	-68.700000	-31.950000	-66.670000	-30.115000	ABSENT
rect	VSS	MET1	pin	-68.695000	-53.315000	-67.015000	-45.650000	ABSENT
rect	vdd!	MET1	drawing	-7.620000	-80.800000	4.945000	-79.160000	ABSENT
rect	VDD	METTP	pin	-68.700000	-31.950000	-66.670000	-30.115000	ABSENT
rect	VDD	MET2	drawing	-68.700000	-31.950000	-66.670000	-30.115000	ABSENT
pathSeg	vdd!	MET2	drawing	-7.500000	-80.960000	-5.500000	-71.790000	ABSENT
pathSeg	vdd!	MET1	drawing	18.875000	-78.355000	80.770000	-78.015000	ABSENT
pathSeg	vdd!	MET2	drawing	25.780000	-73.255000	27.780000	-59.460000	ABSENT
pathSeg	vdd!	MET1	drawing	25.805000	-63.785000	29.495000	-61.785000	ABSENT
pathSeg	vdd!	MET2	drawing	21.030000	-60.815000	21.830000	-54.180000	ABSENT
pathSeg	vdd!	MET2	drawing	21.030000	-60.815000	27.180000	-60.015000	ABSENT
pathSeg	vdd!	MET2	drawing	26.380000	-60.460000	27.180000	-60.015000	ABSENT
pathSeg	vdd!	MET1	drawing	55.885000	-63.785000	59.575000	-61.785000	ABSENT
pathSeg	vdd!	MET2	drawing	57.700000	-72.485000	59.700000	-59.460000	ABSENT
pathSeg	vdd!	MET1	drawing	-7.605000	-73.210000	28.195000	-71.210000	ABSENT
pathSeg	vdd!	MET1	drawing	57.280000	-72.350000	78.080000	-70.350000	ABSENT
pathSeg	vdd!	MET1	drawing	70.155000	-79.265000	72.155000	-70.350000	ABSENT
rect	VSS	METTP	pin	-68.695000	-53.315000	-67.015000	-45.650000	ABSENT
rect	VDD	MET2	drawing	-68.700000	-31.950000	-66.670000	-30.115000	ABSENT
rect	VDD	MET3	drawing	-68.700000	-31.950000	-66.670000	-30.115000	ABSENT
rect	VDD	MET3	drawing	-68.700000	-31.950000	-66.670000	-30.115000	ABSENT
