path	negative_patterns	positive_patterns	report_level
.drcSummaryReport	0	0	NO
.lvsExtractionReport	0	0	YES
.lvsResults	0	0	YES
.mptdc_axis_core.info.short	0	0	NO
.mptdc_axis_core_lvs.sum.lnn	0	0	YES
.mptdc_axis_core_lvs.sum.mdb	0	0	YES
.mptdc_axis_core_lvs.sum.snn	0	0	YES
.mptdc_axis_core_lvs.sum.xrf	0	0	YES
.probeData	0	0	NO
REPORTDB/cell.id	0	0	NO
REPORTDB/cellrule.idx	0	0	NO
REPORTDB/rule.id	0	0	NO
edbToEcdb.log	0	0	NO
mptdc_axis_core.lmap	0	0	NO
mptdc_axis_core.lmap.perc	0	0	NO
mptdc_axis_core.spi	0	0	NO
mptdc_axis_core_lvs.sum	0	0	YES
mptdc_axis_core_lvs.sum.cls	1	0	YES
mptdc_axis_core_lvs.sum.cps	0	0	YES
pvs_file.index	0	0	NO
pvs_lvs_replay.stdout	1	0	YES
result.sum	0	0	YES
svdb/mismatched	1	0	NO
svdb/mptdc_axis_core.ecdbmap	0	0	NO
svdb/mptdc_axis_core.lvsfile	0	0	YES
svdb/mptdc_axis_core.net	0	0	NO
svdb/mptdc_axis_core.ports	0	0	NO
