instance,ns,nf,x_um,y_um,orientation,width_um,height_um,master,parent,placement_status,row,col,expected_x_um,expected_y_um,dx_um,dy_um
u_core_gen_pd_row[0].gen_pd_col[0].u_pd,0,0,,,r0,,,,u_core,,0,0,329.28,390.32,,
u_core_gen_pd_row[0].gen_pd_col[1].u_pd,0,1,,,r0,,,,u_core,,1,0,329.28,427.84,,
u_core_gen_pd_row[0].gen_pd_col[2].u_pd,0,2,,,r0,,,,u_core,,2,0,329.28,465.36,,
u_core_gen_pd_row[0].gen_pd_col[3].u_pd,0,3,,,r0,,,,u_core,,3,0,329.28,502.88,,
u_core_gen_pd_row[0].gen_pd_col[4].u_pd,0,4,,,r0,,,,u_core,,4,0,329.28,539.84,,
u_core_gen_pd_row[0].gen_pd_col[5].u_pd,0,5,,,r0,,,,u_core,,5,0,329.28,577.92,,
u_core_gen_pd_row[0].gen_pd_col[6].u_pd,0,6,,,r0,,,,u_core,,6,0,329.28,615.44,,
u_core_gen_pd_row[0].gen_pd_col[7].u_pd,0,7,,,r0,,,,u_core,,7,0,329.28,652.96,,
u_core_gen_pd_row[1].gen_pd_col[0].u_pd,1,0,,,r0,,,,u_core,,0,1,366.8,390.32,,
u_core_gen_pd_row[1].gen_pd_col[1].u_pd,1,1,,,r0,,,,u_core,,1,1,366.8,427.84,,
u_core_gen_pd_row[1].gen_pd_col[2].u_pd,1,2,,,r0,,,,u_core,,2,1,366.8,465.36,,
u_core_gen_pd_row[1].gen_pd_col[3].u_pd,1,3,,,r0,,,,u_core,,3,1,366.8,502.88,,
u_core_gen_pd_row[1].gen_pd_col[4].u_pd,1,4,,,r0,,,,u_core,,4,1,366.8,539.84,,
u_core_gen_pd_row[1].gen_pd_col[5].u_pd,1,5,,,r0,,,,u_core,,5,1,366.8,577.92,,
u_core_gen_pd_row[1].gen_pd_col[6].u_pd,1,6,,,r0,,,,u_core,,6,1,366.8,615.44,,
u_core_gen_pd_row[1].gen_pd_col[7].u_pd,1,7,,,r0,,,,u_core,,7,1,366.8,652.96,,
u_core_gen_pd_row[2].gen_pd_col[0].u_pd,2,0,,,r0,,,,u_core,,0,2,404.32,390.32,,
u_core_gen_pd_row[2].gen_pd_col[1].u_pd,2,1,,,r0,,,,u_core,,1,2,404.32,427.84,,
u_core_gen_pd_row[2].gen_pd_col[2].u_pd,2,2,,,r0,,,,u_core,,2,2,404.32,465.36,,
u_core_gen_pd_row[2].gen_pd_col[3].u_pd,2,3,,,r0,,,,u_core,,3,2,404.32,502.88,,
u_core_gen_pd_row[2].gen_pd_col[4].u_pd,2,4,,,r0,,,,u_core,,4,2,404.32,539.84,,
