stage,startpoint,endpoint,expected_family,matched,status,slack_ps,notes
pre_place,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[7].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_pre_place.rpt
pre_place,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[6].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_pre_place.rpt
pre_place,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[5].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_pre_place.rpt
pre_place,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[4].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_pre_place.rpt
pre_place,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[2].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_pre_place.rpt
pre_place,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[1].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_pre_place.rpt
pre_place,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[0].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_pre_place.rpt
post_place,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[7].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_place.rpt
post_place,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[6].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_place.rpt
post_place,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[5].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_place.rpt
post_place,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[4].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_place.rpt
post_place,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[2].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_place.rpt
post_place,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[1].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_place.rpt
post_place,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[0].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_place.rpt
post_cts,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[7].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_cts.rpt
post_cts,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[6].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_cts.rpt
post_cts,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[5].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_cts.rpt
post_cts,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[4].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_cts.rpt
post_cts,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[2].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_cts.rpt
post_cts,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[1].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_cts.rpt
post_cts,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[0].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_cts.rpt
post_route,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[7].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_route.rpt
post_route,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[6].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_route.rpt
post_route,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[5].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_route.rpt
post_route,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[4].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_route.rpt
post_route,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[2].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_route.rpt
post_route,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[1].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_route.rpt
post_route,"(R) u_core_gen_fast_tag_col[0].u_fast_tag_tag_o_reg[5]/C","(F) u_core_gen_pd_row[0].gen_pd_col[0].u_pd/nfast_hit_latched_reg[5]/D",FAST_TAG_TO_PD_TS,REVIEW_TIMING_REPORT,unknown,,see timing_post_route.rpt
