idx	marker_handle	box	layer	type	subType	message
1	0x7f23761d47d0	{125.16 608.0 125.16 608.0}	METTP	Connectivity	ConnectivityAntenna	Net VSS
2	0x7f23761d4830	{125.16 681.93 125.16 681.93}	METTP	Connectivity	ConnectivityAntenna	Net VSS
3	0x7f23761d4890	{205.16 608.0 205.16 608.0}	METTP	Connectivity	ConnectivityAntenna	Net VSS
4	0x7f23761d4920	{50.46 648.7 56.065 651.7}	MET2	Connectivity	UnConnectedPin	Net VSS Pin: u_core_u_osc_slow_u_ro_tune4/VSS; Direction: INOUT; Use: GROUND;
5	0x7f23761d49b0	{121.16 608.0 121.16 608.0}	METTP	Connectivity	ConnectivityAntenna	Net VDD
6	0x7f23761d4a10	{121.16 681.93 121.16 681.93}	METTP	Connectivity	ConnectivityAntenna	Net VDD
7	0x7f23761d4a70	{201.16 608.0 201.16 608.0}	METTP	Connectivity	ConnectivityAntenna	Net VDD
8	0x7f23761d4ad0	{201.16 683.3 201.16 683.3}	METTP	Connectivity	ConnectivityAntenna	Net VDD
9	0x7f23761d4b60	{47.0 681.16 47.0 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
10	0x7f23761d4b90	{221.745 681.16 221.745 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
11	0x7f23761d4bc0	{52.43 627.355 57.575 630.59}	MET1	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_osc_slow_u_ro_tune4/VDD; Direction: INOUT; Use: POWER;
12	0x7f235ca901a0	{265.705 202.17 265.965 202.43}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net u_core_gen_pd_row[7].gen_pd_col[3].u_pd/n_30 Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 265.5800 202.1600 265.8600 202.7090 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
13	0x7f235caa6380	{298.63 201.19 298.89 201.45}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net u_core_fast_phase[2] Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 298.6200 201.1800 298.9000 201.7290 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
14	0x7f235caa6500	{299.75 193.35 300.01 193.61}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net u_core_gen_fast_tag_col[2].u_fast_tag_n_41 Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 299.7400 193.0710 300.0200 193.6200 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
15	0x7f235caa6530	{300.07 169.365 300.33 169.625}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net u_core_n_58229 Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 300.3000 169.3550 300.5800 169.9040 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
16	0x7f235caa6710	{300.45 192.015 300.71 192.275}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net u_core_n_42002 Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 300.3000 192.0050 300.5800 192.5540 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
17	0x7f235caa6c80	{302.69 170.56 302.95 170.82}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net u_core_n_72446 Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 302.5400 170.5500 302.8200 171.0990 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
18	0x7f235caa6da0	{303.11 170.39 303.37 170.65}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net u_core_pd_hit_level[60] Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 303.1000 170.3800 303.3800 170.9290 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
19	0x7f235caa6e90	{303.67 193.91 303.93 194.17}	VIA1	Geometry	Cut_Enclosure	Regular Wire of Net u_core_fast_tag_col[2][0] Actual: 0.010000 Required: 0.060000 Type: Enclosure # 10 60 160 1 : 303.6600 193.9000 303.9400 194.1800 2     LEF Description:   ENCLOSURE ABOVE   0.010000 0.060000 ;
