idx	marker_handle	box	layer	type	subType	message
1	0x7f2364b23880	{1041.04 772.8 1041.04 772.8}	MET1	Connectivity	ConnectivityAntenna	Net VDD
2	0x7f2364b72ad0	{811.58 771.21 811.86 771.59}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_67 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
3	0x7f2364b72aa0	{811.68 771.21 811.86 771.59}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_67 & Blockage of Cell u_core_u_fifo_mem_reg[10][2] Type: Metal Short # -1 -1 9 2 : 811.6800 771.2100 811.8600 771.5900 1: 811.6800 771.2100 811.8600 771.5900 1
4	0x7f2364b23850	{47.0 681.16 47.0 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
5	0x7f2364b237f0	{221.745 681.16 221.745 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
6	0x7f2364b73c10	{201.16 683.3 201.16 683.3}	METTP	Connectivity	ConnectivityAntenna	Net VDD
7	0x7f2364b73a00	{125.16 681.93 125.16 681.93}	METTP	Connectivity	ConnectivityAntenna	Net VSS
8	0x7f2364b72ec0	{327.18 550.01 327.46 550.39}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_13 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
9	0x7f2364b72e90	{338.38 550.01 338.66 550.39}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_13 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
10	0x7f2364b72e00	{327.18 550.01 327.36 550.39}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_13 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][234] Type: Metal Short # -1 -1 9 2 : 327.1800 550.0100 327.3600 550.3900 1: 327.1800 550.0100 327.3600 550.3900 1
11	0x7f2364b72d10	{338.94 612.73 339.22 613.11}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_13 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
12	0x7f2364b72ce0	{350.14 612.73 350.42 613.11}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_13 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
13	0x7f2364b72cb0	{352.94 618.89 353.22 619.27}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_13 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
14	0x7f2364b72c80	{410.06 618.89 410.34 619.27}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_42 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
15	0x7f2364b72c50	{338.99 612.77 339.22 613.11}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_13 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][441] Type: Metal Short # -1 -1 9 2 : 338.9900 612.7700 339.2200 613.1100 1: 338.9900 612.7700 339.2200 613.1100 1
16	0x7f2364b72c20	{350.14 612.86 350.42 613.11}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_13 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][441] Type: Metal Short # -1 -1 9 2 : 350.1400 612.8600 350.4200 613.1100 1: 350.1400 612.8600 350.4200 613.1100 1
17	0x7f2364b72bf0	{352.99 618.89 353.22 619.23}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_13 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][442] Type: Metal Short # -1 -1 9 2 : 352.9900 618.8900 353.2200 619.2300 1: 352.9900 618.8900 353.2200 619.2300 1
18	0x7f2364b72bc0	{349.97 612.77 350.14 613.11}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_13 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][441] Actual: 0.170000 Required: 0.230000 Type: ParallelRunLength Spacing # 170 230 3 2 : 349.6300 612.7700 349.9700 613.1100 1: 350.1400 612.7700 350.4200 613.1100 1     LEF Description:  SPACING 0.230000 
19	0x7f2364b72b90	{350.28 612.525 350.42 612.73}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_13 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][441] Actual: 0.205000 Required: 0.230000 Type: ParallelRunLength Spacing # 205 230 3 2 : 350.1400 612.7300 350.4200 613.0100 1: 350.2800 612.1500 350.6550 612.5250 1     LEF Description:  SPACING 0.230000 
20	0x7f2364b72b60	{410.06 618.775 410.25 618.89}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_42 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[stop_slow_phase_disc][2] Actual: 0.115000 Required: 0.230000 Type: ParallelRunLength Spacing # 115 230 3 2 : 410.0200 618.5450 410.2500 618.7750 1: 410.0600 618.8900 410.3400 619.1700 1     LEF Description:  SPACING 0.230000 
21	0x7f2364b72b30	{410.06 619.27 410.34 619.445}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_42 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[stop_slow_phase_disc][2] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 410.0600 618.9900 410.3400 619.2700 1: 410.0600 619.4450 410.3400 619.5400 1     LEF Description:  SPACING 0.230000 
22	0x7f2364b72b00	{410.34 618.89 410.48 619.08}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_42 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[stop_slow_phase_disc][2] Actual: 0.140000 Required: 0.230000 Type: ParallelRunLength Spacing # 140 230 3 2 : 410.0600 618.8900 410.3400 619.1700 1: 410.4800 618.7950 410.7650 619.0800 1     LEF Description:  SPACING 0.230000 
23	0x7f2364b72e60	{365.82 532.09 366.1 532.47}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_44 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
24	0x7f2364b72dd0	{365.735 532.05 365.82 532.09}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_44 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][221] Actual: 0.085000 Required: 0.230000 Type: ParallelRunLength Spacing # 85 230 3 2 : 365.5050 531.8200 365.7350 532.0500 1: 365.8200 532.0900 366.1000 532.3700 1     LEF Description:  SPACING 0.230000 
25	0x7f2364b72da0	{365.82 531.915 366.1 532.09}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_44 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][221] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 365.8200 531.8200 366.1000 531.9150 1: 365.8200 532.0900 366.1000 532.3700 1     LEF Description:  SPACING 0.230000 
26	0x7f2364b72d70	{365.82 532.47 366.1 532.585}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_44 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][221] Actual: 0.115000 Required: 0.230000 Type: ParallelRunLength Spacing # 115 230 3 2 : 365.8200 532.1900 366.1000 532.4700 1: 365.8200 532.5850 366.1000 532.8150 1     LEF Description:  SPACING 0.230000 
27	0x7f2364b72f20	{312.62 496.25 312.9 496.63}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_9 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
28	0x7f2364b72ef0	{323.82 496.25 324.1 496.63}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_9 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
29	0x7f2364b72e30	{323.87 496.29 324.1 496.63}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_9 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][227] Type: Metal Short # -1 -1 9 2 : 323.8700 496.2900 324.1000 496.6300 1: 323.8700 496.2900 324.1000 496.6300 1
30	0x7f2364b73bb0	{50.46 648.7 56.065 651.7}	MET2	Connectivity	UnConnectedPin	Net VSS Pin: u_core_u_osc_slow_u_ro_tune4/VSS; Direction: INOUT; Use: GROUND;
31	0x7f2364b73ac0	{224.56 633.92 224.56 633.92}	MET1	Connectivity	ConnectivityAntenna	Net VSS
32	0x7f2364b73a90	{224.56 642.88 224.56 642.88}	MET1	Connectivity	ConnectivityAntenna	Net VSS
33	0x7f2364b73a60	{224.56 651.84 224.56 651.84}	MET1	Connectivity	ConnectivityAntenna	Net VSS
34	0x7f2364b72d40	{54.0 610.4 56.0 626.935}	MET1	Geometry	Metal_Short	Special Wire of Net VDD & Blockage of Cell u_core_u_osc_slow_u_ro_tune4 Type: Metal Short # -1 -1 9 2 : 53.8850 610.2850 56.1150 627.0500 1: 53.8850 610.2850 56.1150 627.0500 1
35	0x7f2364b72fb0	{609.42 300.3 609.7 300.58}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_52 & Pin of Cell u_core_g71502 Type: Metal Short # -1 -1 9 2 : 609.4200 300.3000 609.7000 300.5800 1: 609.4200 300.3000 609.7000 300.5800 1
36	0x7f2364b72f50	{609.75 300.3 609.93 300.58}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_52 & Blockage of Cell u_core_g71502 Actual: 0.180000 Required: 0.230000 Type: ParallelRunLength Spacing # 180 230 3 2 : 609.4700 300.3000 609.7500 300.5800 1: 609.9300 300.3000 610.2600 300.5800 1     LEF Description:  SPACING 0.230000 
37	0x7f2364b73010	{469.37 268.94 469.75 269.22}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_26 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
38	0x7f2364b72fe0	{469.565 268.94 469.75 269.22}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_26 & Blockage of Cell u_core_u_drain_ctrl_pd_scan_q_reg[3] Type: Metal Short # -1 -1 9 2 : 469.5650 268.9400 469.7500 269.2200 1: 469.5650 268.9400 469.7500 269.2200 1
39	0x7f2364b72f80	{469.335 268.94 469.37 269.22}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_26 & Blockage of Cell u_core_u_drain_ctrl_pd_scan_q_reg[3] Actual: 0.035000 Required: 0.230000 Type: ParallelRunLength Spacing # 35 230 3 2 : 469.1050 268.9400 469.3350 269.2200 1: 469.3700 268.9400 469.6500 269.2200 1     LEF Description:  SPACING 0.230000 
40	0x7f2364b73880	{284.62 350.09 284.9 350.47}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_8 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
41	0x7f2364b737f0	{327.18 361.85 327.46 362.23}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_8 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
42	0x7f2364b737c0	{334.46 352.89 334.74 353.27}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_8 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
