timestamp,stage,status
"2026-07-08 02:27:01 CEST","source_gate","start"
"2026-07-08 02:27:01 CEST","source_gate","done"
"2026-07-08 02:27:01 CEST","import_mmmc","start"
"2026-07-08 02:27:05 CEST","import_mmmc","done"
"2026-07-08 02:27:05 CEST","post_import_gate","start"
"2026-07-08 02:27:05 CEST","post_import_gate","done"
"2026-07-08 02:27:05 CEST","post_import_tc_timing","start"
"2026-07-08 02:27:14 CEST","post_import_tc_timing","done"
"2026-07-08 02:27:14 CEST","floorplan","start"
"2026-07-08 02:27:16 CEST","floorplan","done"
"2026-07-08 02:27:16 CEST","io_placement","start"
"2026-07-08 02:27:16 CEST","io_placement","done"
"2026-07-08 02:27:16 CEST","ro_macro_placement","start"
"2026-07-08 02:27:16 CEST","ro_macro_placement","done"
"2026-07-08 02:27:16 CEST","pg_connectivity","start"
"2026-07-08 02:27:16 CEST","pg_connectivity","done"
"2026-07-08 02:27:16 CEST","pd_matrix_placement","start"
"2026-07-08 02:27:16 CEST","pd_matrix_placement","done"
"2026-07-08 02:27:16 CEST","phase_buffer_placement","start"
"2026-07-08 02:27:18 CEST","phase_buffer_placement","done"
"2026-07-08 02:27:18 CEST","row_infrastructure","start"
"2026-07-08 02:27:18 CEST","row_infrastructure","done"
"2026-07-08 02:27:18 CEST","placement","start"
"2026-07-08 02:31:18 CEST","placement","done"
"2026-07-08 02:31:18 CEST","cts","start"
"2026-07-08 02:37:26 CEST","cts","done"
"2026-07-08 02:37:26 CEST","route","start"
"2026-07-08 02:37:42 CEST","route","fail"
